Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
bandwidth blocking probability;1;all;all;all; ;0.009554745;0.007947143;0.007884037;0.00909104;0.010406297;0.006918249;0.008543598;0.01053628;0.007042866;0.008724479;;0.008664873;0.001261961;0.000782157
bandwidth blocking probability;2;all;all;all; ;0.007938654;0.006274688;0.00812651;0.008392426;0.008117615;0.005889589;0.008086683;0.007424317;0.006982119;0.005945022;;0.007317762;0.00097534;0.000604511
bandwidth blocking probability;3;all;all;all; ;0.011440828;0.009718831;0.01049204;0.009837944;0.009831187;0.009526909;0.01154424;0.007487609;0.009938172;0.011022504;;0.010084026;0.001171478;0.000726076
bandwidth blocking probability;4;all;all;all; ;0.021895674;0.022734729;0.021836087;0.019733666;0.021074244;0.023318174;0.017040844;0.0211793;0.020048787;0.021028551;;0.020989006;0.001767141;0.001095265
bandwidth blocking probability;5;all;all;all; ;0.039345026;0.03358265;0.037361351;0.036581422;0.036135656;0.039427704;0.041936231;0.035060634;0.039061656;0.036996766;;0.03754891;0.002437872;0.001510981
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
bandwidth blocking probabilities per pair;1;all;12;20; ;0;0.003635694;0;0.005062336;0;0.047566668;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;16; ;0;0;0.020434525;0.006087955;0;0;0.016727306;0.012055624;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;18; ;0.021101407;6.09E-04;0.005201926;0.00697177;0;0.028773663;0;0.029097116;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;22; ;0.014961631;0.003090935;0;0.028962504;0.004460974;0.015846232;0.014297124;0.022729684;0;0.009416439;;;;
bandwidth blocking probabilities per pair;1;all;16;13; ;0;0;0;0;0.002665733;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;6; ;0.006061735;0.011966078;0;0.004295666;0.058966219;0;0.063960383;0;0;0.035961199;;;;
bandwidth blocking probabilities per pair;1;all;18;15; ;0;0;0.029492612;0;0;0;0;0;0;0.014681617;;;;
bandwidth blocking probabilities per pair;1;all;2;24; ;0;0.003627877;0.004267755;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;3; ;0.003261052;5.90E-04;0;0.08658113;0.001127099;0;0;0.024513605;0.007516107;0;;;;
bandwidth blocking probabilities per pair;1;all;16;24; ;0.008773635;0.014306573;0;0;0;0;0;0.003886533;0;0.020887437;;;;
bandwidth blocking probabilities per pair;1;all;23;11; ;0.03733638;0;0;0;0.008503261;0.00733374;0;0.061558652;0;0;;;;
bandwidth blocking probabilities per pair;1;all;26;23; ;0.012515535;0.048192869;9.37E-04;0.069565514;0.005144828;0.02881667;0.073333291;0.014916983;0.009577517;0.004482192;;;;
bandwidth blocking probabilities per pair;1;all;10;20; ;0;0.044489804;0;0;0;0;0;0.007987976;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;21; ;9.81E-04;0.003275841;0.007410105;0.039313169;0;0;0.004183651;0;0;0.004862394;;;;
bandwidth blocking probabilities per pair;1;all;14;20; ;0;0;6.67E-04;0;2.01E-04;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;10; ;0.0067074;0.038414896;0.062728564;0.008570766;0.023213101;0.071386892;0.020718837;0.011661346;0.008819612;2.96E-04;;;;
bandwidth blocking probabilities per pair;1;all;26;19; ;0;0;0.095126293;0.003580134;0;0.007087668;0.06196412;0.001054235;0.003876505;0.001240912;;;;
bandwidth blocking probabilities per pair;1;all;5;8; ;0;0.009063612;0.026373288;0.020510235;2.80E-04;9.50E-04;0;0;0;0.038044044;;;;
bandwidth blocking probabilities per pair;1;all;12;1; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;19;27; ;0.036150823;0.02840214;0;7.79E-04;0.060166282;0;0.012551974;0.005967733;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;25; ;0.016256529;0.025502106;0.001912009;0.015769439;0.049927851;0.005196437;0.005809813;0.029998738;0.01369836;0;;;;
bandwidth blocking probabilities per pair;1;all;14;2; ;0;0;0.003304757;0;0;0;0;0;0.014945801;0.037879279;;;;
bandwidth blocking probabilities per pair;1;all;1;22; ;0.002478951;0.011942214;0;0.014898664;0.011700863;0.002956376;0.002325538;0.001809787;0.033029448;0.003670372;;;;
bandwidth blocking probabilities per pair;1;all;23;1; ;0.038281046;0.047423713;0.019156323;0.076604997;0;6.45E-04;0.025808194;0.00109726;0.003232222;0.02348889;;;;
bandwidth blocking probabilities per pair;1;all;24;4; ;0;0;0;0.006800089;0;0;0;0.004512128;0;0;;;;
bandwidth blocking probabilities per pair;1;all;28;26; ;0;0.022459837;5.72E-04;0;0.026549408;0.028226702;0.043224472;0.040340157;0;0;;;;
bandwidth blocking probabilities per pair;1;all;18;5; ;4.21E-04;0.026523879;0;0.001234236;4.75E-04;0;0.008202728;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;17;13; ;0.034943104;0.00107355;0.040809183;0.014519157;0.015824898;0.0051948;0.017708889;0.009536182;0.009960029;0.024447032;;;;
bandwidth blocking probabilities per pair;1;all;9;27; ;0;0.00673768;0;0.01050748;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;25;13; ;0;0.003159282;0.073809594;0.017324997;0.004256976;0.003983114;0.02259083;0.002872588;0.004941869;0;;;;
bandwidth blocking probabilities per pair;1;all;10;11; ;0.001195553;0.025048254;0.005045222;5.68E-04;0.031315787;0;0.008930481;0.032891254;0.066336422;0.002994666;;;;
bandwidth blocking probabilities per pair;1;all;2;10; ;0.012609671;0.039053619;0.011335349;0;0;0;0;0.00638334;0.016896577;0;;;;
bandwidth blocking probabilities per pair;1;all;7;2; ;0;0.004845534;0.007816943;0.001491347;0;0.005738798;0.001025776;0;6.53E-04;0.008331441;;;;
bandwidth blocking probabilities per pair;1;all;9;20; ;0;0;0;5.00E-04;0;6.52E-04;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;18; ;0;0;0;0;0;0;0;0.006706659;0.012624455;0;;;;
bandwidth blocking probabilities per pair;1;all;17;3; ;0.002440212;0.004875432;0;0;0;0;0.038208812;0.012692943;0.002987606;0;;;;
bandwidth blocking probabilities per pair;1;all;13;1; ;0.004969636;0;0.00647907;0.003386172;0.024616484;0;0;0.018951135;0;0;;;;
bandwidth blocking probabilities per pair;1;all;25;26; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;8;12; ;0;0;0.033983194;0;0.004013036;0;0;0;0.001959969;0;;;;
bandwidth blocking probabilities per pair;1;all;27;10; ;0;0;0;0;0;0;0;0.020783782;0;0;;;;
bandwidth blocking probabilities per pair;1;all;3;27; ;0;0.012295449;0;7.44E-05;0;0;0.007277891;0.005880824;8.03E-04;0.002997857;;;;
bandwidth blocking probabilities per pair;1;all;15;20; ;0.009185578;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;3; ;0;0.001236116;0.012415871;0;0.00656473;0;0.001576031;0.007821627;0.006662481;0.004915738;;;;
bandwidth blocking probabilities per pair;1;all;23;14; ;0.012223335;0;0;0.007584934;0;0;0;0.008108941;0.014884466;0.007842432;;;;
bandwidth blocking probabilities per pair;1;all;12;5; ;0.003556709;0;0;0.004552766;0;0;0.031564748;4.95E-04;0.006552854;0;;;;
bandwidth blocking probabilities per pair;1;all;9;24; ;0.001609839;0;0;0;9.57E-04;0.038662322;0;0.006746797;0.024305658;0;;;;
bandwidth blocking probabilities per pair;1;all;19;25; ;0.014978154;0.009977065;0;0.024858087;0.020143753;0;0.002917844;0.002812897;0;0.029907675;;;;
bandwidth blocking probabilities per pair;1;all;23;21; ;0.010911311;0.051668471;0.018385661;0.010899807;3.38E-04;0;0.013428308;0.017686289;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;25; ;0.040368772;0;0;0;0.002482787;0;0;0;0;0.007404094;;;;
bandwidth blocking probabilities per pair;1;all;20;9; ;0;0.003425013;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;28; ;0.015377487;0;0;0.017526516;0;0;0;8.68E-04;0;0.013571547;;;;
bandwidth blocking probabilities per pair;1;all;13;5; ;0;0.004793846;0.035209875;0.009166526;0;0;0;0;0;0.013835983;;;;
bandwidth blocking probabilities per pair;1;all;3;17; ;0.048348474;0.021878803;0.028579447;0.022091749;0.009358781;0;0.019940569;0.024612127;0.043494062;0.007378989;;;;
bandwidth blocking probabilities per pair;1;all;13;4; ;0;0;0;0;0.025153566;0;0.021223964;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;3; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;7;21; ;0;0;0;0;0;0;0;0.010243357;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;8; ;0;0;0;0.008643438;0;0;0;0.004698562;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;6; ;0.056684925;0.051887549;0.020823631;0.016768749;0.013166163;0.003242554;0.014011613;0.042428862;0.003202595;0.026774046;;;;
bandwidth blocking probabilities per pair;1;all;2;9; ;0.011703149;0;0;0.016857737;0;0;0.086315667;0.003228556;0.049767614;4.90E-04;;;;
bandwidth blocking probabilities per pair;1;all;15;17; ;0.031185875;0.002984956;0.002314699;8.29E-04;0.006870239;0.049852643;0.066403663;0.002164687;0;0.029239849;;;;
bandwidth blocking probabilities per pair;1;all;20;6; ;0;0;0.004545069;0;0;0;0;0.003359424;0.010934512;0.001425432;;;;
bandwidth blocking probabilities per pair;1;all;13;23; ;0.004517164;0.011356113;0.001968568;0.006019114;0.01491129;0.064302529;0.008836601;0.037672977;0.001254078;0.047804391;;;;
bandwidth blocking probabilities per pair;1;all;27;9; ;0;0.002142892;0;0;0.022315885;0;4.69E-04;0.027572987;0.076952378;0;;;;
bandwidth blocking probabilities per pair;1;all;4;19; ;0;1.33E-04;0;0;0.006644024;0;9.78E-04;4.89E-04;0;0;;;;
bandwidth blocking probabilities per pair;1;all;7;17; ;0.092165749;3.78E-04;3.41E-05;0.031894721;0.013466717;0.019715917;0.010908681;0.001878312;0.066643894;0.042491395;;;;
bandwidth blocking probabilities per pair;1;all;17;2; ;0.050671092;0;0.005866943;0.017806016;0.004012366;0.054520148;0.043033462;0.027649505;0.005492386;0.022569278;;;;
bandwidth blocking probabilities per pair;1;all;5;7; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;12; ;0.034144835;0;0;0;3.23E-05;0.039674348;0;0;0.00114325;0;;;;
bandwidth blocking probabilities per pair;1;all;24;13; ;0.044666976;0;8.08E-04;0;0;0.071400872;0;0.001112493;0;0;;;;
bandwidth blocking probabilities per pair;1;all;4;28; ;0.010898596;0.004456104;0;0.045553332;0;0.006650156;1.57E-04;0.052689674;4.68E-04;0.001073254;;;;
bandwidth blocking probabilities per pair;1;all;19;2; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;20;8; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;26; ;0;0.00100427;0.017316668;0.007395543;0.0049868;0.008620724;5.63E-04;0;0.036291887;5.37E-04;;;;
bandwidth blocking probabilities per pair;1;all;22;1; ;0.00845779;5.34E-05;0.005048415;0;0.007538017;0;0.018261084;0;8.07E-04;0.028489003;;;;
bandwidth blocking probabilities per pair;1;all;8;5; ;0.002697054;0.041987896;0;0;0;0.001978694;0.003126904;0.00815864;0;0.001780328;;;;
bandwidth blocking probabilities per pair;1;all;12;28; ;0.064596156;0.061677446;0.007930074;0.014292812;0.012565417;0.008429974;0.006542462;0.088240068;0.065340227;0.014021162;;;;
bandwidth blocking probabilities per pair;1;all;28;24; ;0.066287165;0.068061928;0.033085949;0.102440464;0.006283791;0.069143037;0.011441386;0.002488065;0.021153166;0.020952314;;;;
bandwidth blocking probabilities per pair;1;all;22;20; ;0;0.005796189;0;0;0.028122743;0.01698326;0;0.034023396;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;4; ;0;0.025650106;0.001928963;0;0.01809881;0;0.002968174;0.001462268;0.001307515;0.00861713;;;;
bandwidth blocking probabilities per pair;1;all;16;4; ;0;0.007809895;0.015612502;0;0.008879637;0;0.008222981;0.011149398;0.005820849;0.00802276;;;;
bandwidth blocking probabilities per pair;1;all;11;16; ;0;0.003712625;0.001651526;0.015144674;0.01670273;0;0.001123675;0;3.71E-04;0;;;;
bandwidth blocking probabilities per pair;1;all;13;27; ;0;0;0.003695088;0;0;0;0;0;0.012340102;8.46E-04;;;;
bandwidth blocking probabilities per pair;1;all;26;12; ;0.010795458;0;0;0;0.003883989;0;0;0.002333401;0;0;;;;
bandwidth blocking probabilities per pair;1;all;26;9; ;0;0.009471469;5.06E-04;0;0.003786034;0;0.007408624;0.019464078;0.016638593;0.008340582;;;;
bandwidth blocking probabilities per pair;1;all;17;16; ;0.016311254;0.008666212;0.001236703;0.034279818;0.105129393;0;0.022710566;0.00187345;0.005993631;9.93E-04;;;;
bandwidth blocking probabilities per pair;1;all;6;24; ;0;0.003272267;0;0.009699791;0.014737449;0.020401385;0;0.006890342;0.003295578;0;;;;
bandwidth blocking probabilities per pair;1;all;12;7; ;0;0.031781723;0.0013148;0;0;0;0;0.001275602;0.006695024;0.001566566;;;;
bandwidth blocking probabilities per pair;1;all;27;28; ;0;0;0;0.012908555;0;0;0.00136567;0;0.004948478;0.043441988;;;;
bandwidth blocking probabilities per pair;1;all;5;1; ;0;0;2.30E-04;0.009152718;0;0;0.00123212;0.025384239;9.61E-04;0;;;;
bandwidth blocking probabilities per pair;1;all;3;16; ;0.001809135;0;0;0;0;0;0;0.009201071;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;22; ;0.041349304;0.050066975;0.070766624;0.060098347;9.78E-04;0;0.024097732;0.006379514;0.002524045;0;;;;
bandwidth blocking probabilities per pair;1;all;5;10; ;0.01968385;0;0;0.013726797;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;3;13; ;0;0;0;0;0;0;0;0.029900767;0;0.015817949;;;;
bandwidth blocking probabilities per pair;1;all;17;5; ;0.010512841;0.014620531;0;0.001974927;0.017301451;0.041146617;0.051029352;0.014947696;0.015622466;0.007806119;;;;
bandwidth blocking probabilities per pair;1;all;28;22; ;0;0;0;0;0.014328656;0;0;0.002152328;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;26; ;0.007070681;0;0.006471405;0;0.003887529;0.008782562;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;28; ;0.032865392;0.001570717;0.034737271;4.36E-04;0.058582466;0.027500877;0.00154405;0.053380905;0.004723222;0.004141533;;;;
bandwidth blocking probabilities per pair;1;all;19;13; ;0;0;0;0.00652272;0;0;0;0;0;0.006514896;;;;
bandwidth blocking probabilities per pair;1;all;9;26; ;7.08E-04;0;0.00127976;0;0.001406105;0.005108621;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;2; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;21;9; ;0.017490163;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;8; ;0;0;0;0;0;0;0;0;0;0;;;;
