Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;458849.4394770735;457842.8965092885;458437.5601582321;459177.5621941004;457450.9212156851;458991.67999980913;460947.8808365545;457580.22958467697;458892.86976568674;459699.17841336335
Power Consumption Average;2;all;all;all; ;498518.2566424569;500391.51772554213;497732.41568414756;495966.9670042074;497186.7951272114;497328.2871010804;499626.46346374083;503176.37151399744;500340.669752593;500728.5872665245
Power Consumption Average;3;all;all;all; ;541691.8877957304;538453.0430817575;539197.8538782928;541175.5266617335;536084.9788952488;537991.2576170774;538521.5818601684;533376.9608327368;533997.3241042374;535707.599901021
Power Consumption Average;4;all;all;all; ;570893.8989579305;574341.8870323254;575899.7412308721;575135.9918840093;576522.3601920406;572791.2996049057;572465.504493261;570585.4754852677;575119.512983611;572545.63865688
Power Consumption Average;5;all;all;all; ;608017.3170732497;606374.408950037;607505.4090163372;605808.9798077684;606959.7930048943;605360.8374016648;605068.8514684074;605699.9744796808;606967.2979874874;610925.0798875531


Energy Efficiency Average;1;all;all;all; ;1.2949636847439417E8;1.2975555554640767E8;1.2908793847899206E8;1.2969901668427896E8;1.2918303320761998E8;1.2942281634360859E8;1.290510702594038E8;1.2854034192635636E8;1.2877688140465102E8;1.2931258280845618E8
Energy Efficiency Average;2;all;all;all; ;1.3334766265464683E8;1.3409980900663409E8;1.331045008941508E8;1.3320005011327952E8;1.3359314389805278E8;1.3409380431789932E8;1.3402839001446527E8;1.341101056004625E8;1.336443027364016E8;1.3396234054639493E8
Energy Efficiency Average;3;all;all;all; ;1.3816713296959937E8;1.3764958181731915E8;1.3785106292168933E8;1.3779744185152358E8;1.3714241242745078E8;1.371126197674611E8;1.3670872794530883E8;1.365093999531557E8;1.3676107187520447E8;1.3678658365273365E8
Energy Efficiency Average;4;all;all;all; ;1.397476234256157E8;1.4036030756449977E8;1.4026604656844455E8;1.402499935064436E8;1.406781673789552E8;1.4027845203350705E8;1.4015769693214023E8;1.3952363752541083E8;1.4018219380198795E8;1.3969626432294333E8
Energy Efficiency Average;5;all;all;all; ;1.4211435646852764E8;1.4170981923837066E8;1.4186885585483456E8;1.419432298804497E8;1.42482411303057E8;1.418592016284709E8;1.4190618192380193E8;1.4195805453734174E8;1.4198306593589556E8;1.4254976670447317E8


Energy Efficiency Geral;1;all;all;all; ;1.8540317093215388E8;1.8514730309840247E8;1.8467054259302863E8;1.8505678329070824E8;1.848191836435632E8;1.8506154598490933E8;1.8467371742832872E8;1.8489097455990654E8;1.848835828776948E8;1.8501276465684292E8
Energy Efficiency Geral;2;all;all;all; ;1.8463113920429978E8;1.8515392651302743E8;1.8494375168520057E8;1.8464801649199894E8;1.8472034147719333E8;1.84771318723222E8;1.8523709690693232E8;1.8488044582653815E8;1.8511166717531022E8;1.8498663444647455E8
