Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;média;desvio;confianca
External Fragmentation (Vertical);1;all; ;0,407025523;0,401198286;0,40162812;0,406265801;0,406683201;0,403050965;0,409110958;0,401401487;0,406446281;0,400768869;;0,404357949;0,00305288;0,00189216
External Fragmentation (Vertical);2;all; ;0,46388457;0,469567126;0,472320164;0,46348271;0,463563556;0,463902038;0,470405827;0,47427227;0,473068016;0,471475804;;0,468594208;0,004400786;0,002727585
External Fragmentation (Vertical);3;all; ;0,533564928;0,526280848;0,53537484;0,528607086;0,528979803;0,525326116;0,527719593;0,520191121;0,524510124;0,52447324;;0,52750277;0,004472043;0,00277175
External Fragmentation (Vertical);4;all; ;0,572934358;0,573621898;0,576851341;0,577592848;0,578499485;0,574328028;0,574832903;0,571007717;0,575032021;0,577212451;;0,575191305;0,002345458;0,001453703
External Fragmentation (Vertical);5;all; ;0,607046664;0,611436251;0,610068691;0,610053075;0,612222059;0,607245098;0,608440611;0,60757088;0,606987113;0,611776288;;0,609284673;0,002075456;0,001286357
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation (Horizontal);1;all; ;0.32421609572873866;0.31933240145766445;0.31745262898512594;0.32574169276275977;0.324612453575977;0.31550531092153267;0.328035178577825;0.32156444605070356;0.32710512767686445;0.31678405896384365;;;;
External Fragmentation (Horizontal);2;all; ;0.38719207264396394;0.40152965478117447;0.4013551635897072;0.39310391684489465;0.38352426596123146;0.38531996488566955;0.40137160928378907;0.40602487828476264;0.3993879624899986;0.39747807747798336;;;;
External Fragmentation (Horizontal);3;all; ;0.4834226475488312;0.4722642031667904;0.4823890145237491;0.469875404281961;0.4774955990256636;0.47549163940219547;0.46908265275200595;0.46040491253200666;0.4666319605412123;0.47354541608435985;;;;
External Fragmentation (Horizontal);4;all; ;0.5365510888137444;0.5368114294898274;0.5406372742963511;0.5339444224897262;0.534449400697702;0.5297071289641356;0.5305093348686979;0.5277278656454697;0.5324139667929421;0.535290377582162;;;;
External Fragmentation (Horizontal);5;all; ;0.5653187462700097;0.5763336368972601;0.5719279603967755;0.5724593619992907;0.5757529355669275;0.5724380478537388;0.5759679134613644;0.5687612841558798;0.5738504762168247;0.5736223793109232;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation Per Link;1;<17-23>; ;0.4125082351381114;0.42042063574676886;0.43026930971489324;0.41947097040377196;0.41416131464582123;0.4240368255955104;0.42284167574993337;0.4122221703894229;0.39301696413076553;0.4173758412422096;;;;
External Fragmentation Per Link;1;<12-11>; ;0.4006194401513606;0.39984576613494766;0.4110471437332741;0.4026032394573667;0.41533997868622297;0.40442657269560706;0.3959594871199847;0.3940186218935505;0.42004963413666807;0.4116770016599547;;;;
External Fragmentation Per Link;1;<16-9>; ;0.4056035333849956;0.4116496018255847;0.4161974774646253;0.41615583006572365;0.4372775929702664;0.42732050912046954;0.4109631158799386;0.4261409277970858;0.4359801428807566;0.41093116926533524;;;;
External Fragmentation Per Link;1;<12-13>; ;0.40659642663378737;0.39580515780182074;0.3956589301741703;0.4128288616832777;0.4089910241659193;0.39763458181001843;0.41430835584535675;0.39333930014201857;0.39499614635433655;0.4043514967733322;;;;
External Fragmentation Per Link;1;<22-16>; ;0.42936543734400284;0.42808958089345495;0.4327543519074262;0.4520899625635024;0.4499306761348966;0.44727821483595936;0.44221591023690654;0.446915230005771;0.4676957573921303;0.4423079490042551;;;;
External Fragmentation Per Link;1;<6-10>; ;0.3088754412598358;0.3126359915114794;0.3256710038715238;0.3051366047798162;0.3291291434392294;0.29503503218246696;0.31356224803952826;0.29502125656956835;0.321211034675934;0.3047044931392138;;;;
External Fragmentation Per Link;1;<12-3>; ;0.44929031704083633;0.43282804657772694;0.44697056246156325;0.45255957352042464;0.43974766405179583;0.4514781925624149;0.4504897523187174;0.4364367067866515;0.44532295583915105;0.4460581238124536;;;;
External Fragmentation Per Link;1;<27-22>; ;0.336779639047244;0.3306263987463081;0.3272780094076445;0.35158201421213037;0.34854266923618904;0.3420897977321167;0.34513727385244697;0.3316839770434099;0.34056761169532984;0.33057832978417445;;;;
External Fragmentation Per Link;1;<22-10>; ;0.21088973961001228;0.22143459041631042;0.20125855779485932;0.2093626540562422;0.2377549764419579;0.20652525051652204;0.18759505713421257;0.21127511886509687;0.21872795162376465;0.1901347000654737;;;;
External Fragmentation Per Link;1;<27-28>; ;0.26197426744495006;0.2490248727157094;0.26095155926618313;0.2713838161109512;0.262827160500294;0.25706955031518003;0.27047963370237316;0.2683102985031704;0.26228242024667797;0.24352318085469463;;;;
External Fragmentation Per Link;1;<23-24>; ;0.37364249540379696;0.3753944725050787;0.37427465170674623;0.3686697857156479;0.3682563612640128;0.379379377306212;0.37755708447953773;0.3853211069783514;0.3584831355860618;0.37899271257967565;;;;
External Fragmentation Per Link;1;<27-26>; ;0.39879952288616194;0.3649899297862149;0.35994915770062136;0.3858928452529151;0.3729540426368411;0.3821631621887434;0.3913089317779482;0.370576481746044;0.3852052656054842;0.39616600155913867;;;;
External Fragmentation Per Link;1;<1-2>; ;0.2807897208468523;0.29195094967278773;0.26538797219575266;0.2860128449085395;0.2752225093378315;0.28223301748842256;0.289934943371143;0.2852801762196407;0.26920508127731296;0.294156168898678;;;;
External Fragmentation Per Link;1;<1-4>; ;0.42088553300028075;0.42000261252191595;0.4239418489396071;0.4308821253402305;0.40736091105400724;0.4187468950605207;0.43219454378295724;0.4254701982349915;0.42998035078246827;0.425097970715554;;;;
External Fragmentation Per Link;1;<3-2>; ;0.42056729478880195;0.4060952356767808;0.43169031053360696;0.43217325709731164;0.41988243551145304;0.429338134315172;0.4334847304277672;0.4174573768913367;0.42250414562387306;0.42738555634351316;;;;
External Fragmentation Per Link;1;<3-4>; ;0.38292017426765257;0.37992000685886385;0.37326872176073755;0.37460085665358017;0.3803700728516128;0.36063026578461715;0.3874918458507179;0.3559446052793512;0.3730453005749402;0.3800314788353853;;;;
External Fragmentation Per Link;1;<10-9>; ;0.3974310516886392;0.39988241372939226;0.38059953030025023;0.3797323962749693;0.41424733889143917;0.40288463980317946;0.3877717829272771;0.3670527737987769;0.3964636851391986;0.37452317048304135;;;;
External Fragmentation Per Link;1;<5-6>; ;0.48045696244696084;0.4461808246153309;0.4620892187725442;0.4833438986203037;0.46944455641546523;0.46225945445130084;0.47668259682085373;0.4775401246028128;0.4962756828853793;0.45437476378167035;;;;
External Fragmentation Per Link;1;<10-6>; ;0.2983856310640497;0.3182681546169797;0.3195967363896722;0.33171290710319373;0.3045377734029702;0.316213464739963;0.31914863487977646;0.3210761612852302;0.3210881982019395;0.31832481119099315;;;;
External Fragmentation Per Link;1;<12-4>; ;0.4298800585813685;0.40444746219889877;0.4176413918523887;0.4217216134274921;0.4035537968502231;0.42558086211396234;0.42985387288208926;0.4240517229839417;0.42614271770016904;0.40377990487808024;;;;
External Fragmentation Per Link;1;<5-7>; ;0.5468537681578943;0.5526671718540438;0.5495468504598895;0.5211669802995413;0.5477123887243374;0.5338920315005354;0.5338755289495306;0.533415262247105;0.5244325277442554;0.5398807958232997;;;;
External Fragmentation Per Link;1;<7-5>; ;0.5321594645824987;0.5310142557474709;0.5177694102549353;0.5550204560068684;0.5397424002418701;0.5233966879021961;0.5467093489296302;0.547621077444847;0.5464395213686539;0.5181854771324221;;;;
External Fragmentation Per Link;1;<15-13>; ;0.3958295277708804;0.37226849548220625;0.3638177814653349;0.37708981590980867;0.38185639447346537;0.39626360244869313;0.39432775165952993;0.3765386218554316;0.3858192393222648;0.4027297204441432;;;;
External Fragmentation Per Link;1;<19-18>; ;0.48529026314375673;0.49409433503917055;0.4897532966341897;0.48221899710129656;0.4946439430061899;0.4821051567489146;0.47606612931478637;0.472792785110546;0.4824332928582235;0.4874454590381852;;;;
External Fragmentation Per Link;1;<9-15>; ;0.39994547500938266;0.3890524484152111;0.41516395444767407;0.3890011994064973;0.39893896420134556;0.3978524516631222;0.38641807515925203;0.3941811377634926;0.40105957961325783;0.3762721159374101;;;;
External Fragmentation Per Link;1;<16-22>; ;0.44632390790363907;0.4345355850616678;0.4142778842500155;0.4383598674114747;0.4337749561798323;0.42082607623388957;0.4674905017305843;0.4146961963844526;0.42294353753446623;0.45098129236710605;;;;
External Fragmentation Per Link;1;<7-9>; ;0.45859217954907444;0.4665682418025248;0.4592824205069099;0.4546568613613266;0.4648176557698683;0.44306560320942096;0.46117980687613486;0.45571494443555116;0.4536566118697178;0.4642448811297155;;;;
External Fragmentation Per Link;1;<9-7>; ;0.46171601557772235;0.4455346065080116;0.44869134186979165;0.47187743748769273;0.4647673708690505;0.4405726327883763;0.4658234090298976;0.4775114818493776;0.474093776847234;0.44215177617379126;;;;
External Fragmentation Per Link;1;<9-16>; ;0.4123874247256346;0.4043734559692418;0.3790381528770682;0.40031701160551536;0.4089622532325359;0.3934850036021241;0.44332420479927953;0.396972516907904;0.39681191551981676;0.3971682839266974;;;;
External Fragmentation Per Link;1;<9-8>; ;0.400206192054068;0.3867398969777694;0.37099451394317723;0.3949856092603084;0.40822712143021983;0.390513192186931;0.39673722174027953;0.39080859751960134;0.3988271947289695;0.3771657470154557;;;;
External Fragmentation Per Link;1;<21-16>; ;0.4210909593761069;0.405566361338637;0.40432300571608976;0.4155055384051847;0.43536947589952546;0.4087141861347243;0.4365907417648625;0.3952102037568468;0.414540128000814;0.4247661746010274;;;;
External Fragmentation Per Link;1;<19-14>; ;0.4907772634856867;0.4641966998300461;0.4689296653238798;0.4876338741556762;0.4690010940693575;0.4652268558177561;0.47718891919931616;0.47019975090869315;0.48812868201327386;0.48122289469061796;;;;
External Fragmentation Per Link;1;<21-15>; ;0.3860267113837713;0.37129501612652666;0.3809243290571697;0.3813725273359658;0.40366116525132595;0.3864647438542362;0.39701906776170676;0.3878971431982564;0.3966064906621867;0.3930968246337273;;;;
External Fragmentation Per Link;1;<11-12>; ;0.43191843337243224;0.3783286990118458;0.3960397934663286;0.40518431510089886;0.3986616819717966;0.4147277922424074;0.4014211574322372;0.39200572729125915;0.3997174050987544;0.38996004562769493;;;;
External Fragmentation Per Link;1;<15-14>; ;0.4238267478375085;0.42445438702649585;0.43455953758680405;0.42860421407452215;0.43808780277439896;0.4312942240205936;0.42352514467251307;0.427520001815055;0.4373543670441552;0.4349450067491265;;;;
External Fragmentation Per Link;1;<9-10>; ;0.3861611230293898;0.3865232692173223;0.38609440356073366;0.40811380716531304;0.37920411119627234;0.3784300399170726;0.39491081737909045;0.3881532299033414;0.4008291692030116;0.4102268189002678;;;;
External Fragmentation Per Link;1;<22-27>; ;0.3303301656736582;0.3145917342342695;0.31998141180866546;0.33759580279694684;0.3243928097790396;0.31342565790066523;0.33067522963447044;0.31972578047884337;0.3113498848143505;0.3286157229364764;;;;
External Fragmentation Per Link;1;<16-21>; ;0.3971069177781817;0.4117025362865149;0.39625733572461913;0.40468268597130574;0.4114843617136599;0.41813417700292266;0.4183574782564697;0.41743343102669495;0.40583139279849756;0.399425975002469;;;;
External Fragmentation Per Link;1;<9-13>; ;0.4959425404193628;0.5048548533120755;0.5084423050456979;0.49066783682396004;0.5031010463641306;0.48627603379731;0.4966556273833547;0.48918874615818303;0.48851122822447296;0.5016970316891309;;;;
External Fragmentation Per Link;1;<26-21>; ;0.43660400959569023;0.40233002705990345;0.40897112249762924;0.41986789414040276;0.43640003872619143;0.41026802443834454;0.42648648787333465;0.4079268323850232;0.4260939900449941;0.41686631744557984;;;;
External Fragmentation Per Link;1;<26-25>; ;0.28312165220010144;0.286038465500706;0.29561232583427455;0.28705887358053556;0.29067833968894374;0.2869719277388993;0.288783150290044;0.2920135720179818;0.26474828334874045;0.30233154703628934;;;;
External Fragmentation Per Link;1;<26-27>; ;0.3959069552514296;0.38299515735199197;0.38911510389186416;0.37690297903339454;0.3795729686652809;0.3927900601101212;0.4078140342070555;0.38455389889647523;0.37100439770957;0.37414573056418293;;;;
External Fragmentation Per Link;1;<11-14>; ;0.4556832293239038;0.4605597538493984;0.4472378497174306;0.4719985125087346;0.455552937423928;0.4398677775588468;0.46975375789628715;0.4655035803025769;0.46811215526055794;0.44198248296250764;;;;
External Fragmentation Per Link;1;<11-17>; ;0.44727666238728286;0.45415261056837264;0.44405757751878283;0.44468474996076673;0.4557654857404822;0.45702060996026345;0.43806949610838025;0.44064985292905956;0.44430004503304404;0.44182585554436554;;;;
External Fragmentation Per Link;1;<11-18>; ;0.3755908736635121;0.38613740500510624;0.38086431238049634;0.3680137127032414;0.36154676331818236;0.3776851011826789;0.37188268497882176;0.36015691602418753;0.37967722131413123;0.36415228169200387;;;;
External Fragmentation Per Link;1;<14-11>; ;0.4302032429724008;0.4458550822516151;0.43827744497779425;0.4310109098962564;0.42299511979660187;0.44712612986307726;0.43616861623754355;0.42877280497213804;0.42516686449846874;0.42296825211563593;;;;
External Fragmentation Per Link;1;<20-19>; ;0.41453878731685506;0.4056637490453014;0.42212422482947864;0.40804142143804495;0.41517495428654705;0.43130463919555384;0.4083349094814419;0.39207846767846777;0.40109864145557816;0.4290082207511248;;;;
External Fragmentation Per Link;1;<18-19>; ;0.4832095794073267;0.46575385693090654;0.4526475352419816;0.4796206947177975;0.4669267321329295;0.4456438834173686;0.469606879626599;0.47109426964548134;0.4754483425203636;0.46225877048775815;;;;
External Fragmentation Per Link;1;<4-12>; ;0.4240116720021352;0.4334592153052987;0.43130385375824887;0.41439262987873515;0.43724810681929543;0.4279473879867306;0.42704746685007144;0.4264222249301707;0.4236456915416183;0.4215114259036893;;;;
External Fragmentation Per Link;1;<15-21>; ;0.39255956233649614;0.38292022888721067;0.3834206062318961;0.3798991914466603;0.38418534479137034;0.38195416856926456;0.4096643306537924;0.384198455798299;0.3833922969911255;0.3901441799251208;;;;
External Fragmentation Per Link;1;<14-15>; ;0.43017640614506014;0.41899242656289365;0.41973934304585114;0.4352109577780138;0.4221697594940804;0.43182457523204965;0.44645878756533036;0.4317593053431028;0.43155827800259505;0.42889217437974797;;;;
External Fragmentation Per Link;1;<20-15>; ;0.4038393837718039;0.39612072920343594;0.3788691629272656;0.406657257272023;0.39178386072174337;0.39577285264915485;0.408372994236863;0.40175896235171854;0.40607123785214766;0.3934884900395426;;;;
External Fragmentation Per Link;1;<21-26>; ;0.42497267960158996;0.4158375138779911;0.42854244886364923;0.42096788885394326;0.4204388515893509;0.4233609046459787;0.45134400587383644;0.4278800187546174;0.4175665426826521;0.422741729664069;;;;
External Fragmentation Per Link;1;<14-13>; ;0.4994793206011871;0.49184791308539294;0.4892713123966912;0.5242959850188443;0.49810596120476425;0.4820581354252284;0.505693227789621;0.5108945459489919;0.5002761894078618;0.48529625945474825;;;;
External Fragmentation Per Link;1;<15-9>; ;0.39161182353363194;0.37648536674323224;0.3853860032809595;0.41210441958712174;0.39727654401819223;0.39282721516784586;0.41265096255161254;0.4106678733735156;0.41558037943172493;0.3753467400677048;;;;
External Fragmentation Per Link;1;<25-28>; ;0.43700465674575306;0.43769366056041176;0.43608715951810206;0.43352158456471573;0.4305778154208414;0.4323423845726991;0.43704663841686797;0.4078491301593659;0.4292735365613854;0.3994969295163915;;;;
External Fragmentation Per Link;1;<24-18>; ;0.4951713992407754;0.46581548696304614;0.472595524773074;0.48696893746225056;0.47757755936050955;0.4686460899689073;0.4902705050289866;0.46968977399919165;0.4790017660734817;0.4731714128197289;;;;
