Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.42935344332580483;0.42705506936217374;0.42297368295362275;0.42664358537845026;0.4279002564396984;0.4255906075502315;0.42658832521257284;0.4282923091657887;0.42714517514555694;0.4246478469448214
Percentage of cicuits by modulation;1;16QAM;all; ;0.1507292424300425;0.15245347193029388;0.15290633806180445;0.1512079420034813;0.15311746469169824;0.15273230563642437;0.15375943441291678;0.15102959486639211;0.15033883745346951;0.15444085548823608
Percentage of cicuits by modulation;1;32QAM;all; ;0.03451938904413735;0.033458172507356596;0.034427090796198115;0.034287189885039884;0.03342327860068129;0.03397126903068773;0.033629502245151426;0.034642275644095395;0.03409372912093157;0.03349515490911871
Percentage of cicuits by modulation;1;BPSK;all; ;0.024777016422309842;0.024869109947643978;0.025466876820939007;0.024646607624476367;0.024543575611436445;0.024798358230325012;0.02526989586318907;0.024509146633464228;0.025513028538703828;0.024330574721431165
Percentage of cicuits by modulation;1;64QAM;all; ;0.006086590360984573;0.006152787862574999;0.0063714954386970436;0.005987107634040437;0.0058560110230795725;0.006385720421896625;0.006124008789528996;0.006206302078344986;0.006223155483439916;0.006202098583742666
Percentage of cicuits by modulation;1;8QAM;all; ;0.3545343184167209;0.35601138838995683;0.35785451592873857;0.35722756747451173;0.35515941363340603;0.3565217391304348;0.35462883347664087;0.35532037161191454;0.3566860742578983;0.35688346935265
Percentage of cicuits by modulation;2;QPSK;all; ;0.4253913707521955;0.42666704808765055;0.42908611347368625;0.424004358173008;0.42795181183304193;0.4251922673231427;0.4275968814492089;0.42660340251656387;0.42777496682545896;0.42393170545593284
Percentage of cicuits by modulation;2;16QAM;all; ;0.15208094692630775;0.15222511466468328;0.15255970413126785;0.15429461631829955;0.15146217267108042;0.15182916356558082;0.15473324161125124;0.15291276039180493;0.14880332986472425;0.15384395268981305
Percentage of cicuits by modulation;2;32QAM;all; ;0.034077892325315;0.034203926729029;0.033906403799657876;0.034540432567785835;0.03515710832784003;0.03423598786282705;0.03323970037453183;0.03375785232848987;0.03463517551480205;0.03512972148035101
Percentage of cicuits by modulation;2;BPSK;all; ;0.024608629247804506;0.024010450934958186;0.025210003727028602;0.02558515162810257;0.02559399272018572;0.025810576134043244;0.02483184284949935;0.02609168846543066;0.025689982720598765;0.025486455551316293
Percentage of cicuits by modulation;2;64QAM;all; ;0.006624665903016419;0.00642694357830096;0.006183044886803451;0.006403455954736168;0.006611064935561224;0.006307131543291158;0.0062294580753649775;0.006339144215530904;0.006109843530725831;0.006590995803128577
Percentage of cicuits by modulation;2;8QAM;all; ;0.35721649484536083;0.35646651600537804;0.35305472998155596;0.3551719853580679;0.35322384951229063;0.35662487357111505;0.3533688756401437;0.35429515208217977;0.35698670154369017;0.35501716901945823
Percentage of cicuits by modulation;3;QPSK;all; ;0.42637890146878826;0.42729593056046805;0.42516463875056154;0.4269405082898285;0.4259227418615314;0.42428789906327663;0.4291071906930466;0.4280861458601704;0.42785964979391206;0.4233446146197824
Percentage of cicuits by modulation;3;16QAM;all; ;0.15446182680538556;0.15124893651597854;0.15184997562677421;0.15144474403839903;0.15169837994803606;0.15329764863314854;0.15345757912058475;0.15211023005944713;0.15401608538066502;0.15240253159716247
Percentage of cicuits by modulation;3;32QAM;all; ;0.034711597307221544;0.03526465218097869;0.035498886478116665;0.03494731608437076;0.03454073055173468;0.034343337793920854;0.03450882094064521;0.03418925753108331;0.03409297388277372;0.034656494388038014
Percentage of cicuits by modulation;3;BPSK;all; ;0.024384179926560588;0.025179477865193242;0.02453571394435258;0.024133249192052474;0.024606449640837535;0.024479067099980885;0.024377176533619073;0.02458038721743528;0.024988763185326154;0.025010038432857224
Percentage of cicuits by modulation;3;64QAM;all; ;0.006521572827417381;0.006978367062107467;0.006279689934335662;0.007085078308760255;0.006810713739874675;0.006604855668132288;0.006811832689143163;0.006698537199782441;0.006416938422255587;0.006615805273523395
Percentage of cicuits by modulation;3;8QAM;all; ;0.35354192166462667;0.354032635815274;0.35667109526585933;0.35544910408658903;0.35642098425798563;0.3569871917415408;0.3517374000229612;0.3543354421320814;0.3526255893350675;0.35797051568863647
Percentage of cicuits by modulation;4;QPSK;all; ;0.42468689626005635;0.42603368182124207;0.4242261155372743;0.42401445056159265;0.42569276789750593;0.4264698807931728;0.42347706853071754;0.42306248014096304;0.4270543275785916;0.4251239764733018
Percentage of cicuits by modulation;4;16QAM;all; ;0.15431713107584655;0.1554249660969675;0.15548806858043496;0.15469979534776468;0.15340444564140546;0.15353531466176626;0.15619096932562399;0.15469347275580847;0.15357286885718127;0.1521931342021297
Percentage of cicuits by modulation;4;32QAM;all; ;0.03456396159132633;0.033951121925884606;0.03426138602442986;0.03509833876190201;0.035559360181596084;0.0348480329430328;0.034011257179568315;0.0348267329115996;0.034624469494747755;0.034482758620689655
Percentage of cicuits by modulation;4;BPSK;all; ;0.024596545526196906;0.024400565531436047;0.024766224904615917;0.024788862306517164;0.023507459097598278;0.023985683635279063;0.02401020241827997;0.025121079946464852;0.023726307299368195;0.024401260908007535
Percentage of cicuits by modulation;4;64QAM;all; ;0.006122703986005248;0.006501687938214729;0.006573573082948113;0.0069946867283505795;0.00658862908422865;0.006205682288309264;0.0067025285504703274;0.00682669439710371;0.006049200161312004;0.006237265982393419
Percentage of cicuits by modulation;4;8QAM;all; ;0.35571276156056864;0.35368797668625507;0.35468463187029686;0.35440386629387294;0.3552473380976656;0.3549554056784398;0.3556079739953399;0.3554695398480603;0.3549728266087992;0.3575616038134779
Percentage of cicuits by modulation;5;QPSK;all; ;0.4207923192552005;0.4228599626515467;0.4241309189503244;0.4217048259838327;0.4216967715095636;0.4217238772701723;0.4237043215144697;0.424152739090065;0.42455922571134863;0.4223644030827396
Percentage of cicuits by modulation;5;16QAM;all; ;0.15565145711099257;0.15552824839624194;0.1570349569090733;0.1560966164867612;0.15582279583208367;0.1562324346326052;0.15520017068818373;0.15490560198081088;0.15614756483115774;0.15703552905821336
Percentage of cicuits by modulation;5;32QAM;all; ;0.03544586141686466;0.034958539346498826;0.03441464123172267;0.035761653516627134;0.036029063186308184;0.03556684046285349;0.0343025060128792;0.03603760445682451;0.03540741315437283;0.035209151277204205
Percentage of cicuits by modulation;5;BPSK;all; ;0.02366290064491102;0.023212160501591663;0.023085116684419482;0.02371847620891621;0.02269714882789447;0.023132983156629774;0.023682985491504382;0.02370589600742804;0.02370192214442268;0.022975134506325434
Percentage of cicuits by modulation;5;64QAM;all; ;0.006507297677350531;0.006502114154676781;0.007001065168974533;0.006050631685948013;0.006665957179206858;0.006754792316787161;0.006410505081852743;0.006586583101207057;0.0066431328432608565;0.006785904706509621
Percentage of cicuits by modulation;5;8QAM;all; ;0.3579401638946807;0.35693897494944415;0.3543333010554856;0.3566677961179147;0.35708826346494327;0.3565890721609521;0.35669951121111027;0.3546115753636645;0.3535407413154373;0.3556298773690078


Average of slots by modulation;1;QPSK;all; ;2.6080178386862154;2.5997726143616005;2.5678941586664754;2.602670288261061;2.607723810617369;2.6048680379897866;2.5901786567306773;2.6001340867732976;2.5932041614966117;2.5860935379675465
Average of slots by modulation;1;16QAM;all; ;0.684693565057612;0.6904402491688004;0.6979318909108277;0.6946288184548289;0.7010755157499904;0.694936285973369;0.7000668768510557;0.6889186859496217;0.681788679965639;0.7045641329485293
Average of slots by modulation;1;32QAM;all; ;0.1461451594380431;0.14000458592884166;0.14515928738596742;0.14320281566212054;0.14073563746316073;0.14037130721137783;0.1421706315085507;0.14546499377454267;0.143533454233082;0.13851034957282926
Average of slots by modulation;1;BPSK;all; ;0.22115568655973664;0.22214048228684985;0.22687108945885276;0.21346047169991775;0.2170934282542963;0.21834582160072544;0.22807872360752843;0.21688535580883056;0.22537940250071586;0.21193211138930831
Average of slots by modulation;1;64QAM;all; ;0.02408796845691536;0.024840447892383537;0.026393466112623585;0.023900610187647046;0.023404906801393194;0.025733785138166373;0.024381389127734784;0.025380710659898477;0.025952085520664313;0.02508552971082357
Average of slots by modulation;1;8QAM;all; ;1.9352677716954407;1.9391982267741812;1.9489611692219515;1.9503529141720384;1.9265797833658667;1.941707631365437;1.937116652335913;1.9360118762570635;1.9393528681874583;1.9468760153666789
Average of slots by modulation;2;QPSK;all; ;2.580393279877816;2.612752810595875;2.6122074521459084;2.5876652234997275;2.595712361353931;2.590131867712448;2.597158526331881;2.596805605941993;2.598736026119581;2.5713945059137733
Average of slots by modulation;2;16QAM;all; ;0.6919243986254295;0.6967417112452442;0.6937624831566976;0.7056799610058204;0.6940471754893812;0.6926203698402702;0.7064797829244057;0.7025853015866954;0.6765601580922014;0.705618084700496
Average of slots by modulation;2;32QAM;all; ;0.14077892325315006;0.1436717491012768;0.14036563106239427;0.1446894323861953;0.14707708769214603;0.14557928283811378;0.13896850875181532;0.1411891623546484;0.1466648846289702;0.14534528805799313
Average of slots by modulation;2;BPSK;all; ;0.21700076365024817;0.2066824956374975;0.22332546516183904;0.218921734476398;0.22682067008684187;0.22738115684815174;0.21682718031032638;0.23061501155175376;0.2291955054463527;0.22396985883250667
Average of slots by modulation;2;64QAM;all; ;0.02668003054600993;0.02564102564102564;0.02502843053869898;0.025919660521260428;0.026635330983157072;0.025772408923493827;0.02488916915080639;0.025480686613331298;0.025327210760961918;0.026659671880961466
Average of slots by modulation;2;8QAM;all; ;1.9404639175257732;1.9385721505468623;1.9208818723062662;1.9298295916124284;1.9105404450049202;1.9331596725253335;1.9310555682947337;1.9392053157161133;1.946815721391135;1.9378576879053797
Average of slots by modulation;3;QPSK;all; ;2.5882229192166464;2.611496142779302;2.5933781290920734;2.596064482817968;2.594442534005808;2.56972854138788;2.5995465156327735;2.602982852889818;2.5953886025227844;2.5812348228455613
