Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.021291643800309373;0.021349289581602465;0.02129930724894743;0.02133951730239765;0.021473917475512708;0.021294337358438286;0.02160844138619947;0.021387784664706658;0.021563648476775405;0.021228870487463348
Relative Fragmentation per spectrum size (c);1;all;3; ;0.043560425019912856;0.04330905371448754;0.04347254144621159;0.04362541201830984;0.043660733684291714;0.043328893940559186;0.04408425259685628;0.04314650175678765;0.04380530793589864;0.043268224607120515
Relative Fragmentation per spectrum size (c);1;all;5; ;0.08260890731511902;0.0815691992914149;0.08186260041054601;0.08246551833223709;0.08226397966278792;0.08165171138836455;0.08322677013533056;0.08190273587779381;0.08249192289254685;0.0817369868974334
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.02496382108529356;0.025126429464562956;0.025256520733093805;0.024859734943480732;0.0249303630312548;0.02508588579893104;0.025194938667320102;0.02561363606935307;0.025312710750607946;0.02517397649655878
Relative Fragmentation per spectrum size (c);2;all;3; ;0.050930449171289964;0.050931218456393125;0.051312334273991726;0.05025699202423877;0.05082331203028001;0.05072806237631524;0.05109790802450605;0.05203873645037438;0.051474240148195294;0.05157727340922086
Relative Fragmentation per spectrum size (c);2;all;5; ;0.09599913363361329;0.0960074938332647;0.09686755628513737;0.09468706020860942;0.09539361568484064;0.09547066043084855;0.09639433287452616;0.09788507670953907;0.09678162892606189;0.09708721276123461
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.029439987116521737;0.029423122126088663;0.029563300464994884;0.029301294998703122;0.028928298301385737;0.029178518718328116;0.029223042035050315;0.028719652076255035;0.02891436035918762;0.029069666889597393
Relative Fragmentation per spectrum size (c);3;all;3; ;0.059939010993927684;0.059427386121167165;0.05971653910662588;0.05998057501308054;0.059120943350833045;0.05930490449452174;0.0593171067908829;0.05839930918222984;0.05853754163451955;0.058841299586060956
Relative Fragmentation per spectrum size (c);3;all;5; ;0.11263797571237637;0.11145378785614811;0.11229994413616953;0.11250598339446351;0.1109298590676342;0.11111009843879914;0.1111935557017332;0.10986063206086875;0.10998979473709107;0.11114511475449479
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.03335224469412063;0.03358582854678437;0.033803996965342184;0.03367254939829622;0.03361729733311492;0.03316558169143397;0.033354240328905514;0.033020282238660756;0.033429368689157316;0.03348879736003632
Relative Fragmentation per spectrum size (c);4;all;3; ;0.06706531055970735;0.06790765320616393;0.06787917771214515;0.06789744705044633;0.0677323255679336;0.06681936044093847;0.0668908907348005;0.06699175254407254;0.0676397407282716;0.06790141642359443
Relative Fragmentation per spectrum size (c);4;all;5; ;0.1255565204242622;0.1273341892596285;0.12740162840593752;0.1275984230283088;0.1274456849412415;0.12601747795485638;0.12605196385326234;0.12557269786031985;0.12685527642647473;0.12713990001663292
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.0370333896328794;0.03745703260617246;0.03732342382635195;0.037259563005993146;0.03715575515524288;0.03714267957641063;0.03730829992202472;0.03691734945198105;0.0371297254890575;0.0375878081716239
Relative Fragmentation per spectrum size (c);5;all;3; ;0.07456880633143906;0.07504993945211816;0.07502220518050738;0.07449612164403542;0.0748778668112358;0.07523354513809302;0.07477900434182848;0.07420789280071106;0.07486194392561815;0.07522710221772001
Relative Fragmentation per spectrum size (c);5;all;5; ;0.13907703569073904;0.14085543120796895;0.1404287834006548;0.1401399661774328;0.14018516490324584;0.14012064290207266;0.13990883456196387;0.1390009511383955;0.13966302784839968;0.1412920350801194


