Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
bandwidth blocking probability;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;0;0;#NÚM!
bandwidth blocking probability;2;all;all;all; ;1.12E-04;3.02E-05;3.24E-05;0;3.68E-05;1.48E-04;0;0;0;0;;3.5875E-05;5.23959E-05;3.24747E-05
bandwidth blocking probability;3;all;all;all; ;4.08E-04;4.06E-04;4.39E-05;3.15E-04;2.27E-04;9.02E-04;1.78E-04;1.59E-04;3.68E-04;3.55E-04;;0.000336262;0.000232352;0.000144011
bandwidth blocking probability;4;all;all;all; ;0.001714856;0.002233547;0.001369312;0.001760397;0.001080222;0.00155603;0.002527208;0.002171944;0.001779805;0.001683281;;0.00178766;0.000426817;0.000264539
bandwidth blocking probability;5;all;all;all; ;0.00799277;0.005138072;0.006587422;0.00635938;0.006445709;0.005487902;0.005592175;0.00701447;0.007054821;0.007087532;;0.006476025;0.000873945;0.000541667
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
bandwidth blocking probabilities per pair;1;all;12;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;16; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;18; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;22; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;13; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;6; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;18;15; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;2;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;3; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;11; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;26;23; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;21; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;26;19; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;8; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;1; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;19;27; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;25; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;2; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;22; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;1; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;4; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;28;26; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;18;5; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;17;13; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;9;27; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;25;13; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;11; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;2;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;7;2; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;9;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;18; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;17;3; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;13;1; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;25;26; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;8;12; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;3;27; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;15;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;3; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;14; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;5; ;0;0;0;0;0;0;0;0;0;0;;;;
