Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probability;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;0;0;#NÚM!
blocking probability;2;all;all;all; ;1.90E-05;9.50E-06;9.50E-06;0;9.50E-06;9.50E-06;0;0;0;0;;5.69849E-06;6.6407E-06;4.11587E-06
blocking probability;3;all;all;all; ;1.33E-04;9.50E-05;2.85E-05;1.33E-04;5.70E-05;4.18E-04;8.55E-05;5.70E-05;1.14E-04;1.42E-04;;0.000126317;0.000109214;6.76904E-05
blocking probability;4;all;all;all; ;7.22E-04;9.78E-04;7.12E-04;6.36E-04;4.75E-04;5.03E-04;0.001187186;8.93E-04;6.08E-04;8.64E-04;;0.0007579;0.000223087;0.000138268
blocking probability;5;all;all;all; ;0.003096181;0.002165427;0.002469347;0.002279397;0.002716282;0.00207995;0.002336382;0.002754271;0.002925226;0.002982211;;0.002580467;0.000362126;0.000224444
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability fragmentation;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;4;all;all;all; ;1.90E-05;2.85E-05;9.50E-06;0;9.50E-06;0;2.85E-05;9.50E-06;0;2.85E-05;;;;
blocking probability fragmentation;5;all;all;all; ;5.70E-05;7.60E-05;6.65E-05;1.14E-04;9.50E-05;1.04E-04;4.75E-05;7.60E-05;6.65E-05;1.52E-04;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per QoT;2;all;all;all; ;0;9.50E-06;9.50E-06;0;9.50E-06;9.50E-06;0;0;0;0;;;;
blocking probability per QoT;3;all;all;all; ;1.33E-04;5.70E-05;2.85E-05;8.55E-05;5.70E-05;1.90E-04;8.55E-05;5.70E-05;9.50E-05;9.50E-05;;;;
blocking probability per QoT;4;all;all;all; ;5.22E-04;7.69E-04;4.27E-04;5.32E-04;4.08E-04;5.03E-04;7.69E-04;5.60E-04;5.41E-04;6.17E-04;;;;
blocking probability per QoT;5;all;all;all; ;0.002431357;0.001614573;0.00219392;0.001975477;0.002165427;0.001871005;0.002089447;0.002203417;0.00215593;0.002488342;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT for other;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per QoT for other;2;all;all;all; ;1.90E-05;0;0;0;0;0;0;0;0;0;;;;
blocking probability per QoT for other;3;all;all;all; ;0;3.80E-05;0;4.75E-05;0;2.28E-04;0;0;1.90E-05;4.75E-05;;;;
blocking probability per QoT for other;4;all;all;all; ;1.80E-04;1.80E-04;2.56E-04;1.04E-04;5.70E-05;0;3.89E-04;3.23E-04;6.65E-05;2.18E-04;;;;
blocking probability per QoT for other;5;all;all;all; ;5.98E-04;4.65E-04;1.99E-04;1.90E-04;4.37E-04;9.50E-05;1.99E-04;4.27E-04;6.84E-04;3.42E-04;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per other;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;4;all;all;all; ;0;0;1.90E-05;0;0;0;0;0;0;0;;;;
blocking probability per other;5;all;all;all; ;9.50E-06;9.50E-06;9.50E-06;0;1.90E-05;9.50E-06;0;4.75E-05;1.90E-05;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per lack of transponder;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per lack of transmitters;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probabilities per pair;1;all;12;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;27;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;18;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;2;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;26;23; ;0;0;0;0;0;0;0;0;0;0;;;;
