Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;461726.84880644246;459354.0591532151;460791.67204927123;463564.5497165012;459186.72843491216;464553.7655919314;461124.83173377306;459868.4388025544;461559.54732845497;462528.0234020084
Power Consumption Average;2;all;all;all; ;497939.34056965867;503169.7566319944;499106.879267748;502441.969598913;502550.1158494111;500152.33419950854;501005.4776488016;504119.76881062717;501318.2857138806;501422.98029670224
Power Consumption Average;3;all;all;all; ;541264.1378818738;536734.9500561259;541234.3752810823;540909.1051915138;542011.5361200834;541296.3869658441;540250.2152332058;543045.2342690354;540903.9675592348;542097.6599270613
Power Consumption Average;4;all;all;all; ;577478.9378417925;581722.528922697;578805.5770343088;574480.3968048424;577496.9060867492;579049.8320806095;580427.080876805;575924.4557908925;578281.1846372471;578924.6677755906
Power Consumption Average;5;all;all;all; ;611146.7408196307;608872.4565237361;610727.815252391;611496.7153933408;608886.7537335443;607481.7520145214;609804.4000127162;609802.4760082002;608288.7191881634;607412.3788198469


Energy Efficiency Average;1;all;all;all; ;1.2945999821607897E8;1.2878807675222959E8;1.2957511143213421E8;1.3012740246692203E8;1.291087775790895E8;1.2968176753859803E8;1.299258581790905E8;1.2940109818295072E8;1.2910130052694964E8;1.3006152504941589E8
Energy Efficiency Average;2;all;all;all; ;1.3323553548039484E8;1.344101543018738E8;1.3342538057158443E8;1.3469193764928764E8;1.345154536387066E8;1.3401852896493936E8;1.3400038505461338E8;1.3391519045972097E8;1.3338616637004596E8;1.3403910815777792E8
Energy Efficiency Average;3;all;all;all; ;1.379595194902561E8;1.368488269232244E8;1.380440855197178E8;1.3787795857225227E8;1.3754012237135106E8;1.3853133326238123E8;1.37977730216235E8;1.382116632569649E8;1.3784931867940295E8;1.3827445593928516E8
Energy Efficiency Average;4;all;all;all; ;1.413271745362092E8;1.4126894668480662E8;1.4091278273695472E8;1.399067910524156E8;1.4086456401787466E8;1.4082903306831905E8;1.4090322135473096E8;1.4111858035369173E8;1.4074344810235924E8;1.412905106053818E8
Energy Efficiency Average;5;all;all;all; ;1.4383289922716287E8;1.425287290323175E8;1.4275375846950975E8;1.4293578366134757E8;1.4302879411280736E8;1.4314827817101634E8;1.4293162658440137E8;1.4331314008099973E8;1.4317414041035628E8;1.429855896164616E8


Energy Efficiency Geral;1;all;all;all; ;1.8493588722180086E8;1.8477813765449938E8;1.8505712455746198E8;1.8535720840249607E8;1.8510662127717975E8;1.8532757238490084E8;1.852901561297498E8;1.848778917385979E8;1.849777753872762E8;1.854592150127061E8
Energy Efficiency Geral;2;all;all;all; ;1.8454024416641036E8;1.851601880755036E8;1.8450038991730818E8;1.8521520986024687E8;1.8518463601026836E8;1.851072080484243E8;1.8499277791207176E8;1.8501553834840828E8;1.8490402168058133E8;1.852737122559905E8
Energy Efficiency Geral;3;all;all;all; ;1.8510283810012394E8;1.8484522948997834E8;1.8509647624581477E8;1.8527100626579487E8;1.8511104245631117E8;1.8525874076711586E8;1.8520360036657467E8;1.8549084283381113E8;1.8500138970224077E8;1.8515884879740676E8
Energy Efficiency Geral;4;all;all;all; ;1.8534442684468988E8;1.8503178969105762E8;1.8504631444162136E8;1.8501532096668062E8;1.8510380862822452E8;1.8509245429121184E8;1.853664772301008E8;1.852135962553576E8;1.8484768307696435E8;1.853700182816098E8
Energy Efficiency Geral;5;all;all;all; ;1.8500425659949735E8;1.8460096609736934E8;1.8485063128183916E8;1.8484717991982922E8;1.848693209888601E8;1.84700778468881E8;1.8493959663953993E8;1.8460859500895202E8;1.8483008332858542E8;1.851341497581332E8


Energy Efficiency Established;1;all;all;all; ;1.6431501242866245E8;1.6421223981516165E8;1.643439354525293E8;1.6461891494553515E8;1.6434447164348477E8;1.6462493545851016E8;1.6451107475695455E8;1.6418335682978284E8;1.643900742471825E8;1.6470725024027637E8
Energy Efficiency Established;2;all;all;all; ;1.6402335281199282E8;1.6450969958103493E8;1.639356806837635E8;1.6453099250463608E8;1.6460419493666798E8;1.6456320810606626E8;1.6440822367739284E8;1.6442024871813646E8;1.6433859614014494E8;1.6454251839488697E8
Energy Efficiency Established;3;all;all;all; ;1.6452802401908785E8;1.6421200305469894E8;1.644459021422906E8;1.6455091130775714E8;1.643899520545852E8;1.6455362174265242E8;1.6451527693859264E8;1.6483949712696585E8;1.6438486590592942E8;1.6453172533014816E8
Energy Efficiency Established;4;all;all;all; ;1.6462543871180588E8;1.643480561432864E8;1.644716529084478E8;1.6443780347833553E8;1.6451718524766523E8;1.644309696141682E8;1.6467340372747076E8;1.6446950534363878E8;1.642942359040138E8;1.6471685622975096E8
Energy Efficiency Established;5;all;all;all; ;1.6454698520070866E8;1.64137484163254E8;1.642897640721994E8;1.6437562229711363E8;1.6434005241375908E8;1.6419916999678278E8;1.6432844872914797E8;1.6412135120602623E8;1.642894431568941E8;1.6449944277386683E8


Average Power Consumption Established;1;all;all;all; ;3318009.7900478547;3314471.0052603735;3321779.583251537;3350498.5982179325;3300149.792098174;3348360.4793295413;3310765.9931245875;3317062.8763439665;3321543.692610223;3344767.3279243833
Average Power Consumption Established;2;all;all;all; ;3309738.0227162065;3334831.024068548;3298521.8334612306;3327018.4158609896;3331539.878029844;3317952.8599145324;3327845.5725296577;3331722.40351137;3314891.8903198154;3332638.96615786
Average Power Consumption Established;3;all;all;all; ;3329268.5719293854;3295747.049613502;3332404.694544686;3339246.708751073;3328028.12565278;3337192.525194532;3311374.290872286;3336982.4967545536;3311530.559221677;3332166.6372542623
Average Power Consumption Established;4;all;all;all; ;3321170.5747353225;3333019.1433762386;3318089.0929294154;3297536.8234444982;3328820.830247484;3332797.0621257164;3339360.244509324;3319505.6343834084;3335297.5072298325;3334875.536401183
Average Power Consumption Established;5;all;all;all; ;3344778.427951667;3289231.1581255114;3307170.176997015;3297040.687212723;3292000.965648245;3297819.9399253125;3308576.071623475;3301995.1190931066;3306006.1413235767;3312666.2648244114


Average Data Transmitted Established;1;all;all;all; ;5.451988198901369E14;5.4427670757621644E14;5.459143294174203E14;5.515554437651726E14;5.423613739267305E14;5.5122362780145194E14;5.446576717977018E14;5.4460651785360725E14;5.4602881424345525E14;5.5090742927594194E14
Average Data Transmitted Established;2;all;all;all; ;5.428743274152479E14;5.486120499230319E14;5.407454220187225E14;5.473976420428106E14;5.483854395225075E14;5.4601296697223294E14;5.4712517925227744E14;5.478026262451269E14;5.447646796115098E14;5.4836080839254675E14
Average Data Transmitted Established;3;all;all;all; ;5.477579795683922E14;5.412012245786474E14;5.480002962976052E14;5.4947608900641775E14;5.4709438401237144E14;5.49147116473268E14;5.4477165851018994E14;5.5006651668650756E14;5.443655069210429E14;5.4824712591500175E14
Average Data Transmitted Established;4;all;all;all; ;5.46749162902543E14;5.4777521730224644E14;5.457315976115932E14;5.4223971213614125E14;5.476482331861121E14;5.480150524525827E14;5.499038177355494E14;5.4595744967246094E14;5.479701554628873E14;5.493102142735072E14
Average Data Transmitted Established;5;all;all;all; ;5.503732064838125E14;5.398861271261077E14;5.433342081254535E14;5.4195311469949444E14;5.410076112407782E14;5.4149929693457644E14;5.43693173352264E14;5.419279006212641E14;5.431419080313225E14;5.4493175465940244E14


