Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.4290775089988698;0.42638022243116697;0.4283082124777996;0.4310909764367325;0.4291819813659287;0.42945740851544767;0.42972333817705216;0.4289065542164098;0.42706404156100713;0.42904901653512645
Percentage of cicuits by modulation;1;16QAM;all; ;0.15346990720954307;0.15098156537595805;0.15101955532761585;0.14986086180205335;0.15038322363734793;0.1509910628638725;0.15210226894986276;0.14998432914494117;0.15176035938494267;0.15122850006173366
Percentage of cicuits by modulation;1;32QAM;all; ;0.03263336847403862;0.03467532837564464;0.03435241378655346;0.034551861032756835;0.033450152434681024;0.034608845960243516;0.03312723784558984;0.034494876105270154;0.033488142386338814;0.03259537852238083
Percentage of cicuits by modulation;1;BPSK;all; ;0.025006885678737975;0.024978393214994635;0.025358292731572498;0.025120855533711333;0.025177840461198014;0.025120855533711333;0.025025880654566866;0.02530130780408582;0.02527281534034248;0.025082865582053547
Percentage of cicuits by modulation;1;64QAM;all; ;0.006809698834658233;0.006543769173053727;0.006477286757652601;0.006296834487278115;0.006306331975192561;0.006420301830165921;0.006553266660968174;0.006306331975192561;0.006315829463107008;0.0062113570960480955
Percentage of cicuits by modulation;1;8QAM;all; ;0.3530026308041523;0.356440721429182;0.354484238918806;0.3530786107074679;0.3555004701256518;0.35340152529655905;0.3534680077119602;0.35500660075410057;0.3560988118642619;0.3558328822026574
Percentage of cicuits by modulation;2;QPSK;all; ;0.43009241231277723;0.4273720201348656;0.4248741570899421;0.4302836899640045;0.4277519232595688;0.426707189666635;0.4265796696773703;0.4244902223361921;0.42896353914389646;0.4252500213693478
Percentage of cicuits by modulation;2;16QAM;all; ;0.15130735404458207;0.15258809003704055;0.15253110456833507;0.1505256859560646;0.15257859245892297;0.15448760566055655;0.15279558556761735;0.15232071117189502;0.15187432923991603;0.15275759561595958
Percentage of cicuits by modulation;2;32QAM;all; ;0.03387818290609655;0.034466710988697885;0.03449520372305062;0.03414346905243563;0.03376389020799696;0.03432424731693418;0.03373507707211443;0.03431442383489567;0.033592614753397726;0.03431442383489567
Percentage of cicuits by modulation;2;BPSK;all; ;0.024874393336435905;0.025690948808053945;0.024674707949472883;0.024769448480876807;0.024902649824294805;0.024665210371355304;0.02474095601713347;0.025852162103123723;0.024579498722587877;0.025757187223979256
Percentage of cicuits by modulation;2;64QAM;all; ;0.0063824331126708395;0.0065153385886598915;0.006695792572893912;0.006344321926850348;0.006268401557602811;0.006458353119954412;0.006192362120219202;0.00667673400385598;0.006762211395086;0.006154372168561416
Percentage of cicuits by modulation;2;8QAM;all; ;0.35346522428743743;0.35336689144268213;0.35672903409630546;0.3539333846197681;0.35473454269161364;0.35335739386456455;0.3559563495455452;0.35634574655003753;0.3542278067451159;0.35576639978725627
Percentage of cicuits by modulation;3;QPSK;all; ;0.426664893566496;0.42737056068996304;0.4259079857153712;0.42571501847507054;0.4284276012727359;0.42707155548376674;0.4275469690925324;0.4283421190103054;0.42466208835570246;0.4258615448915232
Percentage of cicuits by modulation;3;16QAM;all; ;0.15441169486212564;0.15271511478804342;0.15360724868930933;0.15140059082230686;0.1516265374934701;0.1536480849810446;0.15370148743374937;0.1508761931899131;0.1541048072265124;0.15284585280595767
Percentage of cicuits by modulation;3;32QAM;all; ;0.0341100145330889;0.03452664773320922;0.03331813691968696;0.03528785964645649;0.033993446359880324;0.03416724467205716;0.03410839459736707;0.03489575912998053;0.03500223216405931;0.03427181883810175
Percentage of cicuits by modulation;3;BPSK;all; ;0.02492472239900453;0.024192399388303684;0.025539472684446472;0.025627629966659383;0.02580614522486584;0.025900975799785265;0.025085009783248798;0.02538823194187206;0.024781770343563294;0.025456894258900416
Percentage of cicuits by modulation;3;64QAM;all; ;0.00634516561072219;0.0062024486849479015;0.006477471316769242;0.0064971456253502665;0.006629624352946764;0.006498997596131006;0.006810280959708212;0.006648620411264663;0.0063355465002517125;0.006449713134997531
