Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.021692364902299338;0.02147739561747774;0.021689429742427678;0.022061181963840926;0.021542339723745654;0.021994789644108954;0.021852323709199303;0.021509341869247415;0.021564904374016466;0.02202933546036024
Relative Fragmentation per spectrum size (c);1;all;3; ;0.04406568983215564;0.043879397864171055;0.04428212403091671;0.04475641132047883;0.04393288584875297;0.04490139193269553;0.04430633427533536;0.04426810270574612;0.04402057505671094;0.04445217131070123
Relative Fragmentation per spectrum size (c);1;all;5; ;0.08348991142150812;0.08300437655682498;0.08394029584763513;0.08440813898175603;0.0831403538463232;0.08475185483539235;0.08365193485193773;0.0832945201563347;0.08322592945913618;0.08419244982440952
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.0255417352092206;0.025941676034639802;0.02536486226647354;0.025790464393151656;0.025687678321086288;0.025138907176736315;0.02541194054727293;0.025982980578094405;0.025487077364280963;0.02560734229245651
Relative Fragmentation per spectrum size (c);2;all;3; ;0.05143498987692623;0.05246498637053701;0.0517350921457749;0.05227353746803772;0.052004607530908194;0.051726266981072314;0.05191617344214371;0.05283826636150825;0.051933153087389716;0.05236820486304245
Relative Fragmentation per spectrum size (c);2;all;5; ;0.09728013285363801;0.09883620188223582;0.0976894497357442;0.09909310039818858;0.0980155284519876;0.09732193285618942;0.09783616659178783;0.09923535111577966;0.09805359141619951;0.09829444768758558
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.03021767357816549;0.029741011440083558;0.02995544597476689;0.03047048049027681;0.030492924976420605;0.030572505134275924;0.03023234779623789;0.030505427699487477;0.03041533321215314;0.030406486148494154
Relative Fragmentation per spectrum size (c);3;all;3; ;0.0610930638092558;0.0606048254191444;0.060524730516991226;0.06190708793726778;0.062063809087077655;0.06207095434287484;0.06128209091137206;0.06131481367325955;0.061055922046608986;0.061655317139868895
Relative Fragmentation per spectrum size (c);3;all;5; ;0.11545326079937714;0.11414799271912064;0.11436072840384096;0.11596280353818829;0.11665576085600428;0.11704232425831909;0.11528277797842845;0.11565236822915122;0.11490333224498278;0.11583488710553178
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.03572810022928198;0.03671239724392404;0.03537095729238847;0.035052327922142766;0.0354143718216852;0.03571594007636636;0.0365463636353409;0.03608833088396129;0.03535365096775662;0.036026287798501144
Relative Fragmentation per spectrum size (c);4;all;3; ;0.07209029777070419;0.07390469983593605;0.07161615045361393;0.0709545360759616;0.07132633376444693;0.07198021966787237;0.07337596614199014;0.07236611464766707;0.0717358707914177;0.07294543895393962
Relative Fragmentation per spectrum size (c);4;all;5; ;0.13523438168182417;0.1389310698986688;0.13448494188979346;0.13344091721295875;0.13416473603946782;0.1354269587728302;0.1381500506936446;0.1360684269301844;0.13429805405569095;0.13681317471630092
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.04211057186223333;0.04101242765778497;0.04201235585044624;0.04185252686764463;0.04149489692555435;0.041247344056946654;0.04170238846593297;0.042080796704522104;0.041886757362303344;0.04194264717953923
Relative Fragmentation per spectrum size (c);5;all;3; ;0.08456256617023356;0.08262050942901883;0.08397570668334768;0.08365496243420409;0.08355986749395777;0.08243920440777266;0.08360135068235464;0.08405400385406417;0.08367218010445762;0.0839350473745312
Relative Fragmentation per spectrum size (c);5;all;5; ;0.158497766875617;0.15542933274937729;0.15812424535364955;0.1575236517076669;0.15713877506627005;0.1549705477319417;0.15693407397936293;0.15801702530468315;0.15715726154047072;0.15776670919843802


