Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
bandwidth blocking probability;1;all;all;all; ;9.33E-05;2.26E-04;7.49E-05;1.98E-04;9.03E-05;2.79E-04;2.73E-04;2.10E-04;1.35E-04;1.98E-04;;1.78E-04;7.49284E-05;4.64403E-05
bandwidth blocking probability;2;all;all;all; ;3.33E-04;2.85E-04;1.98E-04;2.07E-04;3.92E-04;8.54E-05;4.79E-04;9.97E-05;3.04E-04;3.68E-04;;2.75E-04;0.000127205;7.88411E-05
bandwidth blocking probability;3;all;all;all; ;6.71E-04;0.001343042;8.78E-04;0.001156933;0.001774775;0.001089816;0.001658525;0.001513607;0.001180183;0.001340755;;1.26E-03;0.000339999;0.000210729
bandwidth blocking probability;4;all;all;all; ;0.004124196;0.004718873;0.004713248;0.003749713;0.004575363;0.002580142;0.00387065;0.005326918;0.004404133;0.003436767;;4.15E-03;0.00078057;0.000483793
bandwidth blocking probability;5;all;all;all; ;0.013578306;0.014994241;0.01261216;0.011954246;0.01356348;0.013832729;0.012594623;0.014645927;0.01374104;0.013380542;;1.35E-02;0.000927087;0.000574604
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
bandwidth blocking probabilities per pair;1;all;12;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;16; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;18; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;22; ;0.003349394;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;13; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;6; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;18;15; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;2;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;3; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;11; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;26;23; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;21; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;26;19; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;8; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;1; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;19;27; ;0;0;0;0.020562172;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;25; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;2; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;22; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;1; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;4; ;0.017448218;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;28;26; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;18;5; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;17;13; ;0;0;0;0;0;0;0;0;0;0.008216049;;;;
bandwidth blocking probabilities per pair;1;all;9;27; ;0;0;0;0;0;0;0;0.005786413;0;0;;;;
bandwidth blocking probabilities per pair;1;all;25;13; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;11; ;0;0;0;0;0.002089717;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;2;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;7;2; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;9;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;18; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;17;3; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;13;1; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;25;26; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;8;12; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;3;27; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;15;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;3; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;14; ;0;0.05831383;0;0;0;0;0;0.01146929;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;5; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;9;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;19;25; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;21; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;25; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;20;9; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;28; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;13;5; ;0;0;0;0;0;0;0;0.005583111;0;0;;;;
bandwidth blocking probabilities per pair;1;all;3;17; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;13;4; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;3; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;7;21; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;8; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;6; ;0;0;0;0;0;0.007303439;0;0.003376895;0;0;;;;
