Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probability;1;all;all;all; ;6.65E-05;1.14E-04;1.04E-04;8.55E-05;8.55E-05;1.61E-04;8.55E-05;1.42E-04;1.04E-04;9.50E-05;;1.04E-04;2.86678E-05;1.77682E-05
blocking probability;2;all;all;all; ;1.42E-04;1.14E-04;9.50E-05;1.04E-04;1.61E-04;9.50E-05;2.47E-04;5.70E-05;1.04E-04;1.90E-04;;1.31E-04;5.5524E-05;3.44135E-05
blocking probability;3;all;all;all; ;3.23E-04;5.41E-04;4.94E-04;4.18E-04;5.70E-04;3.99E-04;5.89E-04;8.64E-04;5.22E-04;6.46E-04;;5.37E-04;0.000150518;9.32906E-05
blocking probability;4;all;all;all; ;0.001747538;0.001994472;0.002212915;0.00185201;0.00192799;0.001386633;0.001709548;0.00215593;0.001747538;0.00166206;;1.84E-03;0.00024539;0.000152091
blocking probability;5;all;all;all; ;0.005347086;0.006429799;0.005347086;0.004739246;0.005470553;0.005584523;0.005328091;0.006106885;0.005366081;0.00555603;;5.53E-03;0.000460604;0.00028548
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability fragmentation;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;2;all;all;all; ;1.90E-05;0;0;1.90E-05;9.50E-06;0;0;0;0;9.50E-06;;;;
blocking probability fragmentation;3;all;all;all; ;9.50E-06;5.70E-05;1.90E-05;4.75E-05;7.60E-05;2.85E-05;4.75E-05;4.75E-05;4.75E-05;7.60E-05;;;;
blocking probability fragmentation;4;all;all;all; ;1.33E-04;1.42E-04;1.90E-04;2.09E-04;1.61E-04;1.14E-04;1.61E-04;2.09E-04;1.33E-04;1.90E-04;;;;
blocking probability fragmentation;5;all;all;all; ;3.32E-04;5.13E-04;3.32E-04;3.80E-04;4.56E-04;3.80E-04;3.80E-04;5.79E-04;6.08E-04;4.75E-04;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT;1;all;all;all; ;0;9.50E-06;0;9.50E-06;0;9.50E-06;0;0;9.50E-06;0;;;;
blocking probability per QoT;2;all;all;all; ;5.70E-05;4.75E-05;2.85E-05;2.85E-05;9.50E-05;2.85E-05;7.60E-05;2.85E-05;3.80E-05;9.50E-05;;;;
blocking probability per QoT;3;all;all;all; ;2.47E-04;3.70E-04;2.85E-04;2.37E-04;3.80E-04;2.75E-04;3.99E-04;5.89E-04;3.42E-04;4.18E-04;;;;
blocking probability per QoT;4;all;all;all; ;0.001434121;0.00158608;0.001795025;0.001367638;0.001491106;0.001006734;0.001386633;0.001595578;0.001367638;0.001320151;;;;
blocking probability per QoT;5;all;all;all; ;0.004321357;0.005166633;0.004425829;0.003884473;0.004368844;0.004691759;0.004226382;0.004748744;0.004102915;0.004511307;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT for other;1;all;all;all; ;6.65E-05;1.04E-04;1.04E-04;7.60E-05;8.55E-05;1.52E-04;8.55E-05;1.42E-04;9.50E-05;9.50E-05;;;;
blocking probability per QoT for other;2;all;all;all; ;6.65E-05;6.65E-05;6.65E-05;5.70E-05;5.70E-05;6.65E-05;1.71E-04;2.85E-05;6.65E-05;7.60E-05;;;;
blocking probability per QoT for other;3;all;all;all; ;6.65E-05;1.04E-04;1.80E-04;1.23E-04;9.50E-05;9.50E-05;1.33E-04;1.90E-04;1.14E-04;1.52E-04;;;;
blocking probability per QoT for other;4;all;all;all; ;1.42E-04;2.37E-04;1.90E-04;1.80E-04;2.18E-04;2.56E-04;9.50E-05;2.75E-04;2.28E-04;1.23E-04;;;;
blocking probability per QoT for other;5;all;all;all; ;4.94E-04;5.70E-04;3.51E-04;3.61E-04;4.65E-04;3.61E-04;6.36E-04;5.79E-04;4.46E-04;3.70E-04;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per other;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;2;all;all;all; ;0;0;0;0;0;0;0;0;0;9.50E-06;;;;
blocking probability per other;3;all;all;all; ;0;9.50E-06;9.50E-06;9.50E-06;1.90E-05;0;9.50E-06;3.80E-05;1.90E-05;0;;;;
blocking probability per other;4;all;all;all; ;3.80E-05;2.85E-05;3.80E-05;9.50E-05;5.70E-05;9.50E-06;6.65E-05;7.60E-05;1.90E-05;2.85E-05;;;;
blocking probability per other;5;all;all;all; ;1.99E-04;1.80E-04;2.37E-04;1.14E-04;1.80E-04;1.52E-04;8.55E-05;1.99E-04;2.09E-04;1.99E-04;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per lack of transponder;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per lack of transmitters;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probabilities per pair;1;all;12;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;27;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;22; ;0.006134969;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;6; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;18;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;2;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;3; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;16;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;11; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;26;23; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;10;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;10;21; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;26;19; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;8; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;12;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;19;27; ;0;0;0;0.007194245;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;25; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;22; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;23;1; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;24;4; ;0.006493506;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;28;26; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;18;5; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;17;13; ;0;0;0;0;0;0;0;0;0;0.006622517;;;;
blocking probabilities per pair;1;all;9;27; ;0;0;0;0;0;0;0;0.007352941;0;0;;;;
blocking probabilities per pair;1;all;25;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;10;11; ;0;0;0;0;0.006802721;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;2;10; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;7;2; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;9;20; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;12;18; ;0;0;0;0;0;0;0;0;0;0;;;;
