Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;463485.49468045234;461382.7420015001;462959.4231862057;462336.5963096498;460670.1684394669;461741.4790124497;460057.21592140023;458209.72163794824;463338.3499662715;461445.4415253033
Power Consumption Average;2;all;all;all; ;496630.07279482496;502905.1083718473;500121.23317908426;499757.7962072684;501550.0170119042;503049.88937933696;499835.33794930426;500618.2800163313;503542.3481173059;501741.2378096917
Power Consumption Average;3;all;all;all; ;541125.9793057358;538186.040370585;539087.9028167647;542593.1962467771;540512.2725024964;540103.8933859381;543704.258985286;544718.1814538584;539651.2345360939;541542.4732265784
Power Consumption Average;4;all;all;all; ;577783.4027806831;579110.2657241427;581682.2268615437;578087.8909471951;578227.977733714;574983.9143600166;580440.7977304822;581169.1799652383;579465.7815051543;578513.2097864137
Power Consumption Average;5;all;all;all; ;610758.2143711986;615618.5579538443;612639.2966772007;612531.0745036093;610642.1216050797;617004.807638449;614453.187598567;613583.6610373184;611298.616694311;618888.7513513888


Energy Efficiency Average;1;all;all;all; ;1.2996931120882371E8;1.2987638424358185E8;1.3050866854193857E8;1.303156954693857E8;1.293430293955801E8;1.3074309101207761E8;1.295905123850639E8;1.2899569442363836E8;1.3057669018595023E8;1.2994765417748764E8
Energy Efficiency Average;2;all;all;all; ;1.3364203332670249E8;1.345379437709251E8;1.3379784525459391E8;1.3331272856758286E8;1.3402922542690113E8;1.3402891435610761E8;1.3433023905545315E8;1.341646085511982E8;1.3414559138956504E8;1.3458499875098217E8
Energy Efficiency Average;3;all;all;all; ;1.3760152968500963E8;1.3813932694068673E8;1.3734102793977126E8;1.3825949005943197E8;1.3781863987977204E8;1.3757244743784922E8;1.3867935151138785E8;1.384307300389617E8;1.3796129976435232E8;1.3736107838443145E8
Energy Efficiency Average;4;all;all;all; ;1.4056055666928083E8;1.406225430509778E8;1.4189971704644877E8;1.4064816221298665E8;1.4054274166950306E8;1.401016410579743E8;1.4130448472647655E8;1.4130275191928402E8;1.4122594451153636E8;1.4098500850726858E8
Energy Efficiency Average;5;all;all;all; ;1.4218378165579957E8;1.433592757745436E8;1.4282508750322908E8;1.427307489853829E8;1.4301189405707866E8;1.4312466359919327E8;1.4326689766419232E8;1.4316837390918934E8;1.4271701358491528E8;1.4341423632368553E8


Energy Efficiency Geral;1;all;all;all; ;1.8519326716526562E8;1.85006532246673E8;1.8526425675585324E8;1.8536626302847478E8;1.8497524164626852E8;1.8584360267938495E8;1.8467537562858868E8;1.8487697686930075E8;1.8537245315017265E8;1.8489319363472518E8
Energy Efficiency Geral;2;all;all;all; ;1.849721767646043E8;1.8514349176873127E8;1.8510218857228974E8;1.847558447923324E8;1.849134825735766E8;1.851670982776128E8;1.8521138388754952E8;1.851327169099985E8;1.8514142451475212E8;1.853645661486792E8
Energy Efficiency Geral;3;all;all;all; ;1.8503901835656938E8;1.8457251426795697E8;1.8489827126015487E8;1.8525400222881752E8;1.8503497195473093E8;1.8503630561815268E8;1.856515943104287E8;1.8537301969473088E8;1.848805689217725E8;1.847430781153936E8
Energy Efficiency Geral;4;all;all;all; ;1.8507705943324056E8;1.8470806039590374E8;1.852969289021132E8;1.848621233969982E8;1.8465656204290923E8;1.8496045788170025E8;1.8526857709594744E8;1.849245208803906E8;1.850180473133734E8;1.8503727334481302E8
Energy Efficiency Geral;5;all;all;all; ;1.8408577072128233E8;1.844575276296041E8;1.847193587086035E8;1.8454176935872617E8;1.8458051790239775E8;1.844517836661356E8;1.8447347570277894E8;1.8457006440872547E8;1.8472076630580825E8;1.848094656315987E8


Energy Efficiency Established;1;all;all;all; ;1.644393449709343E8;1.6436137850130042E8;1.6461375801159316E8;1.6461830231233078E8;1.6436861644359568E8;1.6511416221896842E8;1.640248211919573E8;1.6435892989560553E8;1.6469912167285255E8;1.6426403660138705E8
Energy Efficiency Established;2;all;all;all; ;1.6436499299552885E8;1.6445228865190384E8;1.6440399055482256E8;1.6415001741777745E8;1.6425814545639628E8;1.646035930381176E8;1.6451613960021952E8;1.644615689776488E8;1.6447559939645332E8;1.6462734747787073E8
Energy Efficiency Established;3;all;all;all; ;1.6440212837622035E8;1.6390640095068255E8;1.642697381339245E8;1.6458866742858893E8;1.64440639200674E8;1.6449410099782482E8;1.6498347279489642E8;1.6461253065847337E8;1.6425533533641347E8;1.6421299429615155E8
Energy Efficiency Established;4;all;all;all; ;1.6448988899853346E8;1.641871173375772E8;1.646723425397831E8;1.6424623213992634E8;1.6411521150647873E8;1.6443561874053803E8;1.6471471594082507E8;1.6443186689147463E8;1.644817129208889E8;1.6450563530419645E8
Energy Efficiency Established;5;all;all;all; ;1.63716681554924E8;1.640743427970873E8;1.6433210236825687E8;1.6417881280547816E8;1.6405484894356328E8;1.6411016152060178E8;1.6419701183627352E8;1.642028817545857E8;1.6429280008299255E8;1.6448521299768686E8


Average Power Consumption Established;1;all;all;all; ;3327864.0480891806;3321211.7744443985;3336090.785294938;3324786.057149809;3317141.197439049;3329111.4883418125;3302360.0325970287;3309585.404929234;3343974.458123682;3312436.2787886634
Average Power Consumption Established;2;all;all;all; ;3300878.2017215975;3337665.460226931;3306318.5024004867;3309468.9929953455;3319940.3943294277;3326013.2167738243;3305564.1024734043;3321680.9838271574;3341271.055364019;3325514.426592537
