Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
External Fragmentation (Vertical);1;all; ;0,41587028;0,409788123;0,411721522;0,410444795;0,403746618;0,411930131;0,40893287;0,402330987;0,412233461;0,409854075;;0,409685286;0,004006501;0,00248321
External Fragmentation (Vertical);2;all; ;0,468735944;0,47664529;0,474625456;0,470870574;0,473109143;0,47055753;0,47120959;0,470760796;0,479821535;0,474299873;;0,473063573;0,0033504;0,002076561
External Fragmentation (Vertical);3;all; ;0,530119755;0,53218953;0,528707813;0,53189638;0,533074197;0,528289311;0,535907324;0,540543149;0,528766242;0,531762975;;0,532125668;0,003770523;0,002336952
External Fragmentation (Vertical);4;all; ;0,576243607;0,577977323;0,58410222;0,579856093;0,580030968;0,571542798;0,580095027;0,579215297;0,578186572;0,576418275;;0,578366818;0,003276941;0,002031032
External Fragmentation (Vertical);5;all; ;0,614690846;0,620568202;0,614194752;0,613000948;0,615108493;0,619062014;0,612115023;0,61627224;0,611345864;0,615590579;;0,615194896;0,002896744;0,001795388
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation (Horizontal);1;all; ;0.3366830549606476;0.3259828759456883;0.3366365497785305;0.3264633003540272;0.31793268623684756;0.32928160838273357;0.32656137189653234;0.31513101248778763;0.3319026992698417;0.32753797359526643;;;;
External Fragmentation (Horizontal);2;all; ;0.39284278709391174;0.4056602429953963;0.40763251205390894;0.39755139190693234;0.4020673733564109;0.3968970915060296;0.3931705184142862;0.39607450902366276;0.41349799413373356;0.4076666258399398;;;;
External Fragmentation (Horizontal);3;all; ;0.4718347374708604;0.47202939605142274;0.4664149493181109;0.47420745852526497;0.47646611664538474;0.4740415737757235;0.4804648611364053;0.4886090776774517;0.4710198906875176;0.47517285102159557;;;;
External Fragmentation (Horizontal);4;all; ;0.5261771749049028;0.5351862906890893;0.5403214845170872;0.5314847018046934;0.5338936019757587;0.524674968865196;0.5330375263449364;0.5341651960004534;0.5320338008273602;0.5285095748771219;;;;
External Fragmentation (Horizontal);5;all; ;0.5718836318676879;0.5833589552030046;0.5764554404772078;0.5673253010208061;0.5720738427351305;0.5797281048487053;0.5702367435840886;0.5743430989105701;0.570783997885803;0.5777911644709903;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation Per Link;1;<17-23>; ;0.42241638739909004;0.43198590980446994;0.4248953597332258;0.45239408075644316;0.4083523835550163;0.4353701487773465;0.4102101677510456;0.4302351961548231;0.43606374455920777;0.4170531152853006;;;;
External Fragmentation Per Link;1;<12-11>; ;0.4363780322335294;0.420041193899862;0.39501410216280447;0.4076142467355265;0.40568125392706683;0.4217312967199414;0.3824690864247254;0.4194513551252153;0.3993146871454477;0.404834057722044;;;;
External Fragmentation Per Link;1;<16-9>; ;0.4202904329947945;0.41892289265486937;0.4351823389003427;0.44346834866045076;0.4082508430652649;0.4243103578769338;0.4310391057486545;0.41561840860902727;0.4421983631793298;0.41849318416707887;;;;
External Fragmentation Per Link;1;<12-13>; ;0.42335684788228645;0.41739981484927463;0.39381203493127404;0.39282392854617587;0.40807234631939926;0.4078857936314296;0.4003018503891236;0.41070347335160834;0.40844208434162077;0.4044794483943596;;;;
External Fragmentation Per Link;1;<22-16>; ;0.4530888257192797;0.4444956093368103;0.44446060329325365;0.4667469502070518;0.43308017266746496;0.44796860804124555;0.46426394539706317;0.439450478559846;0.46127949271000196;0.4550610123009446;;;;
External Fragmentation Per Link;1;<6-10>; ;0.33294512137929744;0.32273417105634855;0.31180928664504237;0.3288087276224779;0.2913366404389157;0.3132083251284354;0.3122512170489389;0.2991876349913902;0.3290330703632953;0.33197251910775477;;;;
