Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.4274058736370199;0.42677077099896465;0.4253324468085106;0.42931365285613876;0.42795539598411886;0.42519520489389595;0.4281643585798142;0.42768532239066837;0.42678571428571427;0.42862434817298467
Percentage of cicuits by modulation;1;16QAM;all; ;0.1499658067702595;0.153553890139534;0.1498480243161094;0.1501111301077107;0.151649854676013;0.1524213006060376;0.1518398206720997;0.15171549071013338;0.1501234802431611;0.15055898025284714
Percentage of cicuits by modulation;1;32QAM;all; ;0.03372782189126553;0.03315001092335604;0.03453647416413374;0.03342451701145495;0.03407040139814973;0.03303759712749587;0.03365247620675899;0.03426231999696037;0.0340330547112462;0.03309239083975266
Percentage of cicuits by modulation;1;BPSK;all; ;0.02536947684358497;0.025000237464261627;0.025303951367781154;0.025474440075226534;0.025350962177770178;0.025590364192488172;0.024553104994206036;0.025048444089821043;0.024962006079027356;0.024800296349768713
Percentage of cicuits by modulation;1;64QAM;all; ;0.006572698605676076;0.006478025057228887;0.006325987841945289;0.00610740677418742;0.00601242377614407;0.006449835666926307;0.006439847267339146;0.006497207340704434;0.005832066869300912;0.006325927755245486
Percentage of cicuits by modulation;1;8QAM;all; ;0.35695832225219404;0.3550470654166548;0.35865311550151974;0.35556885317528164;0.3549609619878042;0.35730569751315616;0.35535039227978193;0.35479121547171244;0.35826367781155016;0.3565980566294013
Percentage of cicuits by modulation;2;QPSK;all; ;0.4249021619362438;0.4295158578633916;0.42950769844511355;0.4268996960486322;0.4277789387693068;0.42697162830900165;0.4266375338431577;0.4296148549176046;0.4250759878419453;0.429396509960008
Percentage of cicuits by modulation;2;16QAM;all; ;0.15167749534556785;0.15092278612068882;0.14979910905101584;0.1520516717325228;0.15362767634933602;0.1525346453776085;0.1534223151094856;0.15251935223441135;0.15196618541033435;0.15259663155094946
Percentage of cicuits by modulation;2;32QAM;all; ;0.03393935939815342;0.03368193086940415;0.03418470569238514;0.033738601823708206;0.03387351102836408;0.034792602653850174;0.034265900346743934;0.03379398774754239;0.034261018237082067;0.03301004075196398
Percentage of cicuits by modulation;2;BPSK;all; ;0.024877464949276187;0.025798117383333808;0.024505846259059088;0.02631079027355623;0.02585633679730988;0.02509474644047834;0.02568755046786681;0.02443842902597711;0.02604483282674772;0.024897645125438156
Percentage of cicuits by modulation;2;64QAM;all; ;0.006668186481249287;0.006069586527227652;0.006772352086321368;0.006905395136778116;0.006487831753329407;0.006211947074970792;0.005975395430579965;0.0061357268366813884;0.006449468085106383;0.006089046366045729
Percentage of cicuits by modulation;2;8QAM;all; ;0.3579353318895095;0.354011721235954;0.355230288466105;0.35409384498480245;0.35237570530235385;0.35439443014409056;0.35401130480216597;0.35349764923778315;0.3562025075987842;0.3540101262455947
Percentage of cicuits by modulation;3;QPSK;all; ;0.42842756301243623;0.4293099188475208;0.4275126141449463;0.4270050452744496;0.42594862730564187;0.4259897956275119;0.424968402246529;0.42757604562737644;0.4281234558516097;0.4247930585518375
Percentage of cicuits by modulation;3;16QAM;all; ;0.15347197811071947;0.1529828762567231;0.15156928515094215;0.15258392163197051;0.15450770210299247;0.15258102214747885;0.15287610829714243;0.15417300380228136;0.15216275799156181;0.15504214857968315
Percentage of cicuits by modulation;3;32QAM;all; ;0.03446801637895817;0.033686831252256876;0.0338562700139682;0.03471832926354195;0.034752116771673745;0.03410958773955097;0.034173089167434834;0.03378326996197718;0.03474096316849747;0.03476426256616899
Percentage of cicuits by modulation;3;BPSK;all; ;0.024577937809361846;0.02601820704335101;0.025503853134294322;0.025549421836251866;0.024755062671646188;0.024513297038451672;0.02544925828431326;0.02564638783269962;0.024601847276597363;0.025441205820020338
Percentage of cicuits by modulation;3;64QAM;all; ;0.006412875153196462;0.006689853089305738;0.0063759632835735805;0.006175948008019231;0.006452471229960753;0.006574884321941301;0.006243526024194851;0.006311787072243346;0.006205100916036338;0.0062914001691645365
Percentage of cicuits by modulation;3;8QAM;all; ;0.3526416295353278;0.3513123135108425;0.35518201427227547;0.3539673339857668;0.35358401991808497;0.35623141312506534;0.3562896159803856;0.35250950570342204;0.3541658747956973;0.35366792431312544
Percentage of cicuits by modulation;4;QPSK;all; ;0.42640356969564347;0.42601421760356295;0.42592663100382644;0.42682880414097585;0.4282791565164434;0.425393504208474;0.42663470045951424;0.42610218533465316;0.4293434309798586;0.4271566650176947
Percentage of cicuits by modulation;4;16QAM;all; ;0.15339606305954884;0.1542238844320096;0.15197319575853338;0.15178503463500037;0.15276720462850182;0.1546626087783537;0.15509318720210064;0.1540204066093048;0.1529203573501289;0.15329730963887514
Percentage of cicuits by modulation;4;32QAM;all; ;0.03415566993635057;0.03463042795557713;0.03457137961887719;0.03493948390043389;0.0341047503045067;0.034571306291312;0.03379284756114964;0.03543554404934136;0.03476457324440808;0.03395296624681304
Percentage of cicuits by modulation;4;BPSK;all; ;0.024327589979734936;0.025009278556542096;0.025043309410040168;0.024967648626018118;0.02530260353227771;0.024680203528460697;0.024716728030367896;0.02489910911444453;0.024099251239213373;0.024629932645838883
Percentage of cicuits by modulation;4;64QAM;all; ;0.0062983435927198;0.006414099599356687;0.006025243198994841;0.006460759686381975;0.006870432399512789;0.006724047743592182;0.006526433960289599;0.0070052539404553416;0.006631337589313747;0.006687849613760037
Percentage of cicuits by modulation;4;8QAM;all; ;0.35541876373600234;0.35370809185295154;0.35646024100972795;0.35501826901118977;0.3526758526187576;0.3539683294498074;0.353236102786578;0.3525375009518008;0.35224104959707725;0.35427527683701815
Percentage of cicuits by modulation;5;QPSK;all; ;0.42356389886181345;0.4246945915460646;0.42693453517683905;0.42672150545843196;0.4265768992025975;0.42192678337774464;0.4243960660746682;0.4252350737711184;0.4243167885720833;0.4257922182109908
Percentage of cicuits by modulation;5;16QAM;all; ;0.1534546635092812;0.1548645496778634;0.15349285768848828;0.1552122299412169;0.15299622785656306;0.15639475468706723;0.15438747254845794;0.15578893050989986;0.15636995588488053;0.15458521956716903
Percentage of cicuits by modulation;5;32QAM;all; ;0.03567336337942097;0.03468942971304032;0.034336567107172866;0.03549889304527063;0.03374874659790861;0.035166136595895056;0.035013845125560966;0.03417169941135999;0.03453774611844241;0.035881420357954656
Percentage of cicuits by modulation;5;BPSK;all; ;0.024348789244519137;0.02443267631483358;0.023737682377205714;0.023417818154057562;0.025077591558038487;0.024516967040103914;0.0235367134536427;0.023631603088448895;0.024778946966369383;0.023857276564857793
Percentage of cicuits by modulation;5;64QAM;all; ;0.0068749522572759915;0.006404496530101134;0.006798563898861814;0.006155050003817085;0.006264623024399561;0.006580518227748966;0.006960756230306502;0.006478862472288052;0.006607719191031835;0.006647183542490402
Percentage of cicuits by modulation;5;8QAM;all; ;0.35608433274768925;0.354914256218097;0.3546997937514323;0.3529945033972059;0.3553359117604928;0.35541484007144014;0.3557051465673637;0.3546938307468848;0.3533888432671925;0.35323668175653733


Average of slots by modulation;1;QPSK;all; ;2.611593404505908;2.604735987233921;2.60348594224924;2.6266313329913946;2.5935392564730915;2.609229249387313;2.604956212837902;2.591825297313728;2.6075322948328266;2.612817127496889
Average of slots by modulation;1;16QAM;all; ;0.6825063637399795;0.7018968645218895;0.6908244680851063;0.6872779772420736;0.6923595676373929;0.7009043068563938;0.6904219144773086;0.6976233899464266;0.6839950607902735;0.6832666862966728
Average of slots by modulation;1;32QAM;all; ;0.14189240530374986;0.13802372742902194;0.14587765957446808;0.14224653786972133;0.14379476073782793;0.13884719873852994;0.14067931840200604;0.14581671036133592;0.14080547112462005;0.13853401848386698
Average of slots by modulation;1;BPSK;all; ;0.22283537859503819;0.22486915719184264;0.2212670972644377;0.23049524135179802;0.22308656750441672;0.22000683929555256;0.21450010448129786;0.2189007941031194;0.22101063829787235;0.21881441095734272
Average of slots by modulation;1;64QAM;all; ;0.026898674062535616;0.027042430114267803;0.02569338905775076;0.024619593092836383;0.0247050777910754;0.026017820164523055;0.02569290097072624;0.026891219271248906;0.02404065349544073;0.025294212630959052
Average of slots by modulation;1;8QAM;all; ;1.9453668173701608;1.939541598989352;1.9534669452887539;1.93779563458141;1.939951748636994;1.9502631228983414;1.9325050815903952;1.9380390592347734;1.9525835866261398;1.944092476325263
Average of slots by modulation;2;QPSK;all; ;2.5914738401914965;2.623932598143979;2.6198839296739203;2.5961911094224925;2.611860478370728;2.6164265157055877;2.6094998337529094;2.6200503395545423;2.5869490881458965;2.629622593116813
Average of slots by modulation;2;16QAM;all; ;0.6976803829932748;0.6938040824855859;0.6829342426458715;0.6929331306990881;0.6987575279746187;0.6978657117618564;0.6987507718614924;0.6975637555207295;0.6944053951367781;0.6947877383134956
Average of slots by modulation;2;32QAM;all; ;0.14386944792735287;0.14261153696368697;0.14443251868808238;0.14109992401215807;0.14054752360506867;0.14829836342739905;0.14521445874697192;0.14187206154722895;0.1430946048632219;0.13784423060481993
Average of slots by modulation;2;BPSK;all; ;0.2210760287244956;0.22898203820325042;0.2159553955604525;0.22819148936170214;0.22768204874897885;0.22072358735194383;0.23070346268940292;0.21528232891674978;0.23156344984802432;0.21857871588566652
Average of slots by modulation;2;64QAM;all; ;0.02767962308598351;0.025731627390077793;0.027355363265926424;0.027365121580547113;0.02606531527252693;0.025132740000569902;0.024576069918776422;0.024884836396447736;0.02579787234042553;0.025106629556098072
Average of slots by modulation;2;8QAM;all; ;1.9513564345149892;1.927734875901177;1.941470920678945;1.9306800911854103;1.9210536314759579;1.9351544913137224;1.931800693487864;1.9252410124899084;1.946875;1.9305981704363024
Average of slots by modulation;3;QPSK;all; ;2.6154935063701226;2.6197046581903187;2.6066857343760392;2.618896500612844;2.6073210365766744;2.598190956683674;2.595387203147421;2.609809885931559;2.605695769508533;2.5864687378234796
Average of slots by modulation;3;16QAM;all; ;0.7046182201658797;0.694129273808845;0.6904284533300392;0.6962668769656142;0.7002594292556376;0.6947429429258235;0.7005103155974114;0.7016920152091255;0.6957790109848341;0.7050644820999211
Average of slots by modulation;3;32QAM;all; ;0.14396192177242367;0.14092403595796035;0.1424852003534811;0.14660750425190266;0.14308521253242865;0.14277570333209816;0.14502656111908313;0.1422718631178707;0.14420920597514159;0.1448542619009152
Average of slots by modulation;3;BPSK;all; ;0.2162326496100022;0.22772107873881064;0.22368133486635183;0.2224576472488527;0.22236793340365482;0.21628709061368753;0.22432029193473282;0.22396387832699619;0.2174446007069824;0.217186356595041
Average of slots by modulation;3;64QAM;all; ;0.026459047854299478;0.026626375506015165;0.026701127908855083;0.0243617395270174;0.026475088139426596;0.027420688082547103;0.025392239781809198;0.026131178707224336;0.025181496826181156;0.025536242076352127
Average of slots by modulation;3;8QAM;all; ;1.9174021680268296;1.9143242678221868;1.929104229420652;1.9298317291704277;1.9239862778078702;1.9434959001985768;1.9445590093985499;1.9254277566539924;1.9359819833517047;1.9195708162664056
Average of slots by modulation;4;QPSK;all; ;2.582377957700248;2.5957784946850526;2.594823811608826;2.589689426809774;2.6041603227771013;2.5972989680916827;2.602325161020255;2.5900498743622933;2.6136318228091375;2.604037444347197
Average of slots by modulation;4;16QAM;all; ;0.6979934733176668;0.6971764638707283;0.696777018408879;0.6911300144629672;0.6912397228989038;0.7033715345475297;0.7071571957264225;0.7005158760374629;0.6993159351898541;0.7003310628258305
Average of slots by modulation;4;32QAM;all; ;0.14399611824141112;0.14501194316765162;0.14612880504102496;0.1467325112278298;0.14323233861144946;0.14446716439203006;0.14455194984349878;0.15028934744536662;0.1473450864357274;0.14304197267780358
Average of slots by modulation;4;BPSK;all; ;0.21705500109412312;0.21438699669778552;0.21450056159454778;0.21601202709903328;0.2206817143727162;0.2126016453469019;0.21531523817678455;0.21574468895149623;0.2122503734289819;0.21283153849081016
Average of slots by modulation;4;64QAM;all; ;0.02568810830867592;0.025789628952902998;0.02373926783300653;0.025947704955469286;0.0274722137637028;0.02732417138237672;0.02641017590927686;0.029020406609304803;0.02778121343012359;0.027131930438753376
Average of slots by modulation;4;8QAM;all; ;1.9314508072725889;1.9280364671063275;1.9437072854994384;1.94278564360204;1.9169838611449452;1.9237719339959105;1.9243466430725613;1.922866062590421;1.9203954065856699;1.9288785722439972
Average of slots by modulation;5;QPSK;all; ;2.5551714918646398;2.5582044468235607;2.5700672217554046;2.580416444003359;2.5862674879434655;2.572409577567023;2.556297145039626;2.575414723644981;2.567509500983519;2.5810555269039024
Average of slots by modulation;5;16QAM;all; ;0.6972347414254068;0.7041313782094175;0.6929283477198075;0.7038228109015956;0.6950007162297666;0.7136949275569946;0.7112670676978898;0.70784917055271;0.7196875656474991;0.7071514526388173
Average of slots by modulation;5;32QAM;all; ;0.14912917271407838;0.14615634618693482;0.14289397295852113;0.14626116497442554;0.14074392398414745;0.14852487512296686;0.14679652439606608;0.14428369390719364;0.14561808910872182;0.152426795026073
Average of slots by modulation;5;BPSK;all; ;0.2043388587579253;0.20550786701588697;0.19438927507447865;0.20130353462096343;0.21194671250537173;0.20195218857148314;0.19818581113339062;0.19574191575567618;0.21177167083627751;0.1995874161939144
Average of slots by modulation;5;64QAM;all; ;0.028368726606065237;0.026115051522740743;0.02749026048430219;0.02559355676005802;0.025612376450365276;0.02609285311786673;0.027308316623699036;0.02650791223912545;0.02636403567404465;0.02669379023169637
Average of slots by modulation;5;8QAM;all; ;1.9317183561225268;1.935371938746248;1.9360915896417386;1.9274562943736162;1.9308886023969822;1.9333925484465584;1.9382507399980904;1.9229894503478326;1.9221874224165918;1.9240349168147002


Percentage of cicuits by modulation and bandwidth;1;QPSK;10.0; ;0.06221268188898598;0.062187140835304286;0.06193009118541033;0.06401854068121807;0.06181493512661233;0.061800634534642934;0.0625937957105678;0.063167293590182;0.062091565349544076;0.062185959479868165
Percentage of cicuits by modulation and bandwidth;1;QPSK;40.0; ;0.06246913111203982;0.06257658222437523;0.06250949848024316;0.06181493512661233;0.06380007978571836;0.06147766780021658;0.062156873919568395;0.06315779474904061;0.06328837386018236;0.06230943855016575
Percentage of cicuits by modulation and bandwidth;1;QPSK;80.0; ;0.06191824018844269;0.06143675376855783;0.06146466565349544;0.06148249463346061;0.0631636936988279;0.06202861105306153;0.062223362018198745;0.06288232835594057;0.061749620060790274;0.06207197879959347
Percentage of cicuits by modulation and bandwidth;1;QPSK;160.0; ;0.06085445081873789;0.06013544961483297;0.06033434650455927;0.06135901673600425;0.060608651051461786;0.059834337063282485;0.061529986132482284;0.05913028610509518;0.05997340425531915;0.060751702586411604
Percentage of cicuits by modulation and bandwidth;1;QPSK;100.0; ;0.06001861631396983;0.059831495359948327;0.05877659574468085;0.058595011492942765;0.05944985847533291;0.05858046621198017;0.05948785167455026;0.06009916790151602;0.05809270516717325;0.06061872512609113
Percentage of cicuits by modulation and bandwidth;1;QPSK;200.0; ;0.05884084951179666;0.060277928171810144;0.05907104863221885;0.06064664425067913;0.06055166125263578;0.059881832171286356;0.06102657624285253;0.05989969223754702;0.06100873860182371;0.06078969614650317
Percentage of cicuits by modulation and bandwidth;1;QPSK;400.0; ;0.061091903803047;0.06032542102413587;0.061246200607902736;0.0613970099352216;0.05856651659352976;0.06159165605942588;0.059145912881594195;0.05934875945134693;0.06058130699088146;0.0598968474843514
Percentage of cicuits by modulation and bandwidth;1;16QAM;10.0; ;0.020601420918658107;0.020298445084014856;0.019870820668693008;0.01990843638988621;0.020012917687733896;0.019710469821608373;0.021067228966015084;0.019890573350051295;0.018996960486322188;0.019880130317911113
Percentage of cicuits by modulation and bandwidth;1;16QAM;40.0; ;0.02303293947798336;0.02367043759914133;0.022520896656534953;0.02319484812218613;0.02323284132140347;0.022959135209073465;0.02344180391709884;0.02350963182491736;0.02327127659574468;0.023527512086701303
Percentage of cicuits by modulation and bandwidth;1;16QAM;80.0; ;0.02225409368944949;0.022473617720533058;0.021105623100303953;0.021713113352709864;0.022767424630991052;0.022664665539449437;0.022444482437643663;0.021467380979520497;0.023119300911854105;0.022435197234068824
Percentage of cicuits by modulation and bandwidth;1;16QAM;160.0; ;0.021845674556437825;0.023148016223558353;0.02163753799392097;0.021751106551927205;0.022358997739404647;0.02181925261698045;0.021580137155449174;0.021951821877730916;0.021514057750759878;0.021893789002764032
Percentage of cicuits by modulation and bandwidth;1;16QAM;100.0; ;0.019661107100794044;0.020488416493317757;0.020184270516717326;0.020221880283429267;0.020088904086168577;0.021097326975321542;0.019632985695560493;0.020432007295109997;0.020193768996960487;0.02009859328843761
Percentage of cicuits by modulation and bandwidth;1;16QAM;200.0; ;0.02127578739409597;0.021476267821692836;0.022872340425531913;0.021732109952318536;0.021618130354666514;0.021904743811387427;0.02227351304116563;0.022426763934799955;0.02213145896656535;0.02198877290299294
Percentage of cicuits by modulation and bandwidth;1;16QAM;400.0; ;0.021294783632840698;0.02199868919727581;0.021656534954407294;0.02158963545525351;0.02157063885564484;0.022265706632216883;0.02139966945916681;0.022037311448003343;0.020896656534954407;0.020734985419971316
Percentage of cicuits by modulation and bandwidth;1;32QAM;10.0; ;0.004283651836936286;0.004597308105130178;0.0041413373860182375;0.004492695807450466;0.004283733211755096;0.004464540152364306;0.004492695807450466;0.0042649796724799575;0.004616261398176291;0.004312269070392568
Percentage of cicuits by modulation and bandwidth;1;32QAM;40.0; ;0.004815546521788686;0.004853769507689093;0.004939209726443769;0.004426207708820121;0.0051765733933625884;0.004778007865189886;0.004777644801580517;0.004739921729548995;0.005138677811550152;0.004644712721193758
