Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.021933029386065915;0.02164751536283388;0.021662919938674082;0.02147817637040873;0.02139677491633546;0.021511923663986278;0.021473746794013728;0.021267317492871293;0.021595075127660717;0.021707740814655062
Relative Fragmentation per spectrum size (c);1;all;3; ;0.04470161343924767;0.04398661791273002;0.04419074462144728;0.04394245575606548;0.04368201714471526;0.04375722433192924;0.04388662669765154;0.04326076488742985;0.04422015185222894;0.04401060627527856
Relative Fragmentation per spectrum size (c);1;all;5; ;0.08434693070043187;0.08303307471455826;0.08359749735692253;0.08338030157560648;0.082563989209935;0.08268662174172722;0.08297653600637162;0.08197319939026693;0.08353890287986118;0.08310156194641789
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.02483573603789949;0.025842254771406083;0.025557532774735978;0.02534423851656039;0.025432710887605556;0.025339793485698613;0.025193737686688582;0.02527477710298598;0.025656287252513205;0.025648055211783163
Relative Fragmentation per spectrum size (c);2;all;3; ;0.05087623878926321;0.05220054191050243;0.051746589298687924;0.05140275613421908;0.05187433797863356;0.0515849400515784;0.051295213551678764;0.051056359153293256;0.05205705232257224;0.05197535478816569
Relative Fragmentation per spectrum size (c);2;all;5; ;0.09568635937213979;0.0981152549910277;0.09722569931556155;0.0971258221132667;0.09741246500720054;0.09759048109365566;0.09639562104975435;0.09646027138036328;0.09845124978160148;0.09771424811310578
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.029488047576054714;0.02946639205313489;0.029487824344083577;0.02963385104837793;0.029324982692082644;0.029127096220445802;0.029490453547187972;0.030183049192453487;0.029705840963062127;0.029517540450976102
Relative Fragmentation per spectrum size (c);3;all;3; ;0.06018938317140268;0.05988221249474995;0.0596636754680261;0.06007215096257934;0.05985467827980135;0.059272957994837804;0.059818165747426724;0.061065235907784204;0.05991930237277333;0.05979675530126086
Relative Fragmentation per spectrum size (c);3;all;5; ;0.11248176936486688;0.11268165112258434;0.11185287722552364;0.11281502566465164;0.112296224453265;0.11165450877865993;0.11256796743354251;0.11458839635778238;0.11232596803655076;0.11257598838124357
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.033504246780483575;0.0338974929421392;0.03393245024245087;0.03380098032562511;0.03374761338606614;0.033207623645503496;0.03350936814507587;0.03395197975456465;0.03381789010029084;0.03360373075915012
Relative Fragmentation per spectrum size (c);4;all;3; ;0.06779802762072418;0.06845648432584553;0.06899375587986759;0.06853799701277369;0.06863707332417075;0.06716050029190596;0.0682379033282561;0.06863046090930819;0.06826408744277634;0.06781299809300999
Relative Fragmentation per spectrum size (c);4;all;5; ;0.12720474840423002;0.1281725692543479;0.12933769724449826;0.12850283772443266;0.1281701230864876;0.12587322057612463;0.12772752649300628;0.12833935751953504;0.12809921177200365;0.12716700599982877
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.0378409078534978;0.03844611595540312;0.03791829246303056;0.0375733954265563;0.037674187272940626;0.03818292464883143;0.0379697457630155;0.03795319273645583;0.037462959482423605;0.038170853915046536
Relative Fragmentation per spectrum size (c);5;all;3; ;0.07679951936521769;0.07787776504624105;0.07685001388610485;0.07626688680297446;0.07616042774773724;0.07753851749249295;0.0762598718988956;0.07679485329596507;0.07597238617799074;0.07704801496606019
Relative Fragmentation per spectrum size (c);5;all;5; ;0.14305540798645458;0.14576622849543583;0.14368915140334476;0.14222340106490228;0.14280487623255894;0.1446244048724915;0.1430931456912089;0.14370534451038228;0.1417260069296509;0.1439554644309112


