Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;461080.9969714375;460483.8214145528;460239.53859703324;462168.87908102846;464650.2706669987;458100.89579127997;462916.12993778853;461167.6914843582;462227.28149433376;461560.0209888763
Power Consumption Average;2;all;all;all; ;504860.6913014448;500794.5387096615;502611.16806471354;499580.99805377104;501937.6805698428;502338.0499847121;503839.53327368683;500204.7568698193;502040.6264001598;503190.96417281224
Power Consumption Average;3;all;all;all; ;542553.3854439658;542440.350457313;544702.0164091869;542316.6876777733;543257.5651238951;539901.7376643745;546431.2861226484;541124.796793649;542282.0788183248;539596.1976022632
Power Consumption Average;4;all;all;all; ;580995.4433045586;586159.5585924783;582090.9588690548;583149.1260292052;578561.910611925;581606.994074519;579949.4662400458;578737.4130269559;581301.1268535756;581902.0314024895
Power Consumption Average;5;all;all;all; ;619212.2680403858;618947.8541858259;616683.9700061721;619936.0787421582;618807.0983871315;616067.8670769642;617260.9246672713;613772.8924899546;617664.4160369039;619028.4578396961


Energy Efficiency Average;1;all;all;all; ;1.2952100160210577E8;1.2898378696137759E8;1.298295606373967E8;1.2963464749177614E8;1.3075575037531757E8;1.2921913066210894E8;1.2964820980966826E8;1.2956533619903396E8;1.2964080081230606E8;1.2967129647891904E8
Energy Efficiency Average;2;all;all;all; ;1.349430218880387E8;1.3408002946816319E8;1.3464711658013305E8;1.3316284665633312E8;1.3424857418814236E8;1.3407803673079836E8;1.342170771529932E8;1.3420616385268289E8;1.3433579362862E8;1.3390975595478258E8
Energy Efficiency Average;3;all;all;all; ;1.3725104808113322E8;1.3805701697115758E8;1.3828266547758365E8;1.376985375914979E8;1.3786186131353343E8;1.3776006998964986E8;1.3859615775123116E8;1.3734310562571344E8;1.3792978427351066E8;1.3751198696080494E8
Energy Efficiency Average;4;all;all;all; ;1.4071676799443188E8;1.4205818462913674E8;1.4057729998485118E8;1.4111211470167425E8;1.4066555605113935E8;1.4094515383222795E8;1.40929023078025E8;1.411058788902596E8;1.4103677540748864E8;1.4143302912612602E8
Energy Efficiency Average;5;all;all;all; ;1.434855081933021E8;1.4365552899980566E8;1.4344225287852937E8;1.4371564692752686E8;1.4368063399882403E8;1.4330504525294828E8;1.438545094866689E8;1.4321891390609536E8;1.4326731433906743E8;1.4364478082780555E8


Energy Efficiency Geral;1;all;all;all; ;1.8517222574081922E8;1.84929305085569E8;1.8529805565842828E8;1.849383821907167E8;1.8569471024963537E8;1.8511498802473068E8;1.853101318118429E8;1.8486516411607093E8;1.850643041548675E8;1.8523992930248356E8
Energy Efficiency Geral;2;all;all;all; ;1.854064359949817E8;1.852547406770248E8;1.8529082706654245E8;1.8486326211629283E8;1.8511425160784197E8;1.8489570187886518E8;1.8539868500466153E8;1.8518636504924265E8;1.8485121041163787E8;1.848702450626064E8
Energy Efficiency Geral;3;all;all;all; ;1.8500771365681848E8;1.849744715503935E8;1.8538340842244056E8;1.8518897344034493E8;1.8512224326687598E8;1.849479475057653E8;1.8553282112973502E8;1.8514460791910517E8;1.8474989292205948E8;1.8475881455098158E8
Energy Efficiency Geral;4;all;all;all; ;1.8490689774867326E8;1.852839312542634E8;1.8499330517219567E8;1.8507798850216082E8;1.8512406667948467E8;1.8493162453370282E8;1.8502277127425689E8;1.8501544189464217E8;1.8531250921933544E8;1.8554886646886852E8
