Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.42701655412143485;0.42858363962731855;0.42935293614838876;0.42997977035074225;0.42939092610004653;0.42837469489320074;0.4280232878403662;0.42774786069084725;0.4287545944097786;0.4276338908358739
Percentage of cicuits by modulation;1;16QAM;all; ;0.1529855353259063;0.1507061382264391;0.14981337436248113;0.15108603774301696;0.14878764566772087;0.15163689204205488;0.1507631231539258;0.1509910628638725;0.1510100578397014;0.14963292209210663
Percentage of cicuits by modulation;1;32QAM;all; ;0.033963016782061144;0.033991509245804484;0.035007740452650274;0.03417196151617897;0.03504573040430806;0.03435241378655346;0.03323171021264876;0.033545127313825494;0.03340266499510879;0.03448537861735571
Percentage of cicuits by modulation;1;BPSK;all; ;0.024437036403871175;0.024645981137989003;0.025396282683230284;0.025025880654566866;0.025510252538203645;0.025054373118310207;0.025149347997454673;0.024664976113817894;0.025006885678737975;0.025035378142481312
Percentage of cicuits by modulation;1;64QAM;all; ;0.006258844535620328;0.006714723955513767;0.006239849559791435;0.006353819414764795;0.005897939994871357;0.006173367144390309;0.006182864632304755;0.006002412361930269;0.006002412361930269;0.006363316902679241
Percentage of cicuits by modulation;1;8QAM;all; ;0.3553390128311062;0.35535800780693505;0.3541898167934581;0.3533825303207302;0.3553675052948495;0.3544082590154904;0.3566496661632998;0.35704856065570656;0.35582338471474295;0.3568491134095032
Percentage of cicuits by modulation;2;QPSK;all; ;0.42940992107587544;0.4261617802091347;0.42930952607085193;0.42745343856549944;0.4313853985620803;0.42885906677683755;0.4255539409826101;0.428146755183254;0.4281752476469974;0.42886856426475195
Percentage of cicuits by modulation;2;16QAM;all; ;0.1515419171629104;0.15062066083520909;0.15422167347326432;0.15352689213702975;0.1505826708835513;0.15228272122023725;0.1539637765810943;0.1515989020903971;0.15254865088184175;0.15187432923991603
Percentage of cicuits by modulation;2;32QAM;all; ;0.033051257942274266;0.033146232821418736;0.03372589989552664;0.03519769021093921;0.03425743890740899;0.03444738866569792;0.033421659970937684;0.03539713745714258;0.034570856008585726;0.034190956492007867
Percentage of cicuits by modulation;2;BPSK;all; ;0.025282312828256926;0.025643217369005898;0.024769683730648685;0.02428507659724003;0.024845428384192382;0.024845428384192382;0.02481693592044904;0.02527281534034248;0.02546276509863141;0.025367790219486947
Percentage of cicuits by modulation;2;64QAM;all; ;0.005954924922358037;0.006002412361930269;0.006382372495013771;0.006543769173053727;0.005945427434443589;0.006372814390593688;0.005774472651983551;0.006258844535620328;0.006334824438935902;0.006477286757652601
Percentage of cicuits by modulation;2;8QAM;all; ;0.35475966606832493;0.35842569640330135;0.3515908443346947;0.35299313331623783;0.3529836358283234;0.35319258056244124;0.3564692138929253;0.3533255453932435;0.35290765592500783;0.35322107302618455
Percentage of cicuits by modulation;3;QPSK;all; ;0.4280164881088063;0.42503419193070435;0.4257818806925568;0.4264222623231076;0.4276800045588808;0.4271331965656105;0.4279988602906259;0.4301304029860669;0.4249541737503443;0.4251657390346295
Percentage of cicuits by modulation;3;16QAM;all; ;0.15287592128257732;0.15175518577615682;0.15112402769467476;0.15434514198879284;0.15047155923220848;0.15158422612263506;0.15064108652293665;0.15087995897007284;0.15296944600100676;0.15365765628858538
Percentage of cicuits by modulation;3;32QAM;all; ;0.033954486741129095;0.03394498898260011;0.03494125803724915;0.0344572134105803;0.03452402435202158;0.03403046880936099;0.034419223098109984;0.034865940411628944;0.03456201502531129;0.03375567501852098
Percentage of cicuits by modulation;3;BPSK;all; ;0.025264037687105844;0.02537801078945369;0.026165579204300463;0.024646215215120143;0.025985620530159844;0.025852898715903048;0.025064108652293665;0.026194569233253237;0.025843155505323442;0.02555895370704557
