Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
bandwidth blocking probability;1;all;all;all; ;0.002371306;0.00177675;0.001921773;0.001994545;0.00166741;0.00228783;0.002023433;0.002137554;0.002397111;0.00221667;;0.002079438;0.000246831;0.000152985
bandwidth blocking probability;2;all;all;all; ;0.002889473;0.002520672;0.002417598;0.003017635;0.00252287;0.00193186;0.00253589;0.002236442;0.003538727;0.003200012;;0.002681118;0.000478637;0.000296657
bandwidth blocking probability;3;all;all;all; ;0.005734089;0.004379313;0.006788452;0.006509268;0.005681997;0.006717522;0.00585697;0.00584389;0.005811748;0.005220217;;0.005854347;0.000720377;0.000446486
bandwidth blocking probability;4;all;all;all; ;0.015066939;0.017076509;0.01806798;0.016841925;0.015096713;0.017399704;0.018933615;0.016084964;0.014548446;0.015547281;;0.016466408;0.001435265;0.00088957
bandwidth blocking probability;5;all;all;all; ;0.03522683;0.031166657;0.032107355;0.031804413;0.030195001;0.033094525;0.034535911;0.031581217;0.034847245;0.032955892;;0.032751505;0.001686279;0.001045148
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
bandwidth blocking probabilities per pair;1;all;12;20; ;0;0;0;0;0;0.002834758;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;16; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;27;18; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;22; ;0.005488781;0;0;0;0.005916539;0;0;0;0.005751855;0;;;;
bandwidth blocking probabilities per pair;1;all;16;13; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;6; ;2.88E-04;0;0.008144676;0;0;0;0.023745319;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;18;15; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;2;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;3; ;0;0;0.013658216;0;0;0;0;0;0.013658432;0;;;;
bandwidth blocking probabilities per pair;1;all;16;24; ;0;0;0;0.012338526;0;0;1.55E-04;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;11; ;0;0;0;0;0.009941489;0;0;0;0.005986752;0;;;;
bandwidth blocking probabilities per pair;1;all;26;23; ;0;0;0;0;0;0;0;0.016816766;0.015655722;0.015823471;;;;
bandwidth blocking probabilities per pair;1;all;10;20; ;0;0;0;0;0.024392789;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;21; ;0;0;0;0;0;0;0;8.57E-04;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;10; ;0.002196651;0.002510805;0;0;0;0;0.034159284;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;26;19; ;0;0;0;0;2.69E-05;0;0;0;4.78E-04;0;;;;
