Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probability;1;all;all;all; ;0.001320151;0.001272663;0.001301156;0.001158694;0.001348643;0.001519598;0.001557588;0.001605075;0.001548091;0.001548091;;0.001417975;0.000154579;9.58071E-05
blocking probability;2;all;all;all; ;0.00215593;0.001871005;0.00173804;0.001956483;0.00173804;0.001443618;0.00166206;0.001719045;0.002421859;0.002051457;;0.001875754;0.000280681;0.000173965
blocking probability;3;all;all;all; ;0.003067689;0.002554824;0.003789498;0.003789498;0.003314623;0.003912965;0.003656533;0.002963216;0.003656533;0.002906231;;0.003361161;0.00046544;0.000288478
blocking probability;4;all;all;all; ;0.006866684;0.008519247;0.008310302;0.008509749;0.00767397;0.008158342;0.008851659;0.008405277;0.007056634;0.007816433;;0.00801683;0.000654208;0.000405475
blocking probability;5;all;all;all; ;0.015737337;0.014635629;0.014825579;0.0154999;0.014588141;0.015490403;0.016592111;0.014911056;0.016354674;0.015072513;;0.015370734;0.000697262;0.000432159
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability fragmentation;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;2;all;all;all; ;0;9.50E-06;1.90E-05;9.50E-06;0;0;1.90E-05;0;4.75E-05;9.50E-06;;;;
blocking probability fragmentation;3;all;all;all; ;5.70E-05;6.65E-05;6.65E-05;7.60E-05;6.65E-05;5.70E-05;9.50E-05;3.80E-05;8.55E-05;2.85E-05;;;;
blocking probability fragmentation;4;all;all;all; ;1.23E-04;1.90E-04;1.99E-04;1.14E-04;1.14E-04;1.42E-04;1.71E-04;2.18E-04;1.42E-04;1.52E-04;;;;
blocking probability fragmentation;5;all;all;all; ;4.94E-04;3.51E-04;3.80E-04;4.46E-04;3.61E-04;3.99E-04;5.22E-04;3.42E-04;4.08E-04;3.61E-04;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT;1;all;all;all; ;6.84E-04;5.60E-04;6.93E-04;4.56E-04;5.79E-04;7.69E-04;7.22E-04;7.50E-04;7.31E-04;7.31E-04;;;;
blocking probability per QoT;2;all;all;all; ;0.001016231;0.001025729;9.40E-04;0.001025729;9.78E-04;7.79E-04;9.40E-04;9.69E-04;0.001082714;0.001073216;;;;
blocking probability per QoT;3;all;all;all; ;0.002108442;0.00166206;0.002507337;0.002450352;0.002032462;0.002697287;0.002469347;0.001937488;0.002488342;0.00185201;;;;
blocking probability per QoT;4;all;all;all; ;0.005195126;0.006914171;0.006876181;0.006258845;0.005641508;0.006420302;0.006933166;0.006562764;0.005565528;0.005840955;;;;
blocking probability per QoT;5;all;all;all; ;0.013362965;0.012166282;0.012736131;0.013163518;0.012432212;0.012736131;0.0136099;0.012783619;0.013999297;0.012460704;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT for other;1;all;all;all; ;6.36E-04;7.12E-04;6.08E-04;7.03E-04;7.69E-04;7.50E-04;8.36E-04;8.55E-04;8.17E-04;8.17E-04;;;;
blocking probability per QoT for other;2;all;all;all; ;0.001139699;8.36E-04;7.79E-04;9.21E-04;7.60E-04;6.65E-04;7.03E-04;7.50E-04;0.001291658;9.69E-04;;;;
blocking probability per QoT for other;3;all;all;all; ;9.02E-04;8.26E-04;0.001215678;0.001263166;0.001215678;0.001158694;0.001092211;9.88E-04;0.001082714;0.001025729;;;;
blocking probability per QoT for other;4;all;all;all; ;0.001548091;0.001415126;0.001234673;0.002136935;0.001918493;0.001595578;0.001747538;0.00162407;0.001348643;0.001823518;;;;
blocking probability per QoT for other;5;all;all;all; ;0.001842513;0.00211794;0.001652563;0.001871005;0.001785528;0.002336382;0.002440854;0.00177603;0.00192799;0.002250905;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per other;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;5;all;all;all; ;3.80E-05;0;5.70E-05;1.90E-05;9.50E-06;1.90E-05;1.90E-05;9.50E-06;1.90E-05;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per lack of transponder;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per lack of transmitters;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probabilities per pair;1;all;12;20; ;0;0;0;0;0;0.006711409;0;0;0;0;;;;
blocking probabilities per pair;1;all;14;16; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;27;18; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;11;22; ;0.006944444;0;0;0;0.00617284;0;0;0;0.007246377;0;;;;
blocking probabilities per pair;1;all;16;13; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;1;6; ;0.00729927;0;0.006849315;0;0;0;0.012903226;0;0;0;;;;
blocking probabilities per pair;1;all;18;15; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;2;24; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;5;3; ;0;0;0.014492754;0;0;0;0;0;0.006134969;0;;;;
blocking probabilities per pair;1;all;16;24; ;0;0;0;0.007352941;0;0;0.008264463;0;0;0;;;;
blocking probabilities per pair;1;all;23;11; ;0;0;0;0;0.007042254;0;0;0;0.013513514;0;;;;
blocking probabilities per pair;1;all;26;23; ;0;0;0;0;0;0;0;0.0078125;0.007462687;0.008264463;;;;
blocking probabilities per pair;1;all;10;20; ;0;0;0;0;0.006451613;0;0;0;0;0;;;;
blocking probabilities per pair;1;all;10;21; ;0;0;0;0;0;0;0;0.007352941;0;0;;;;
