Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;460651.1321290551;460597.0989761803;460735.42282950465;460778.94293586735;460749.4290748511;459307.11096770334;461628.13221432606;461657.3308723322;462547.71254199743;460649.2498346479
Power Consumption Average;2;all;all;all; ;496777.0549771562;503106.7663646535;498173.0215541667;501366.1075685547;501726.76276660996;502585.53282920754;501948.03524592484;500266.2605208484;500212.3609598204;500164.57007493725
Power Consumption Average;3;all;all;all; ;539301.7758176845;538201.5691975583;542032.7122584129;539658.2346409427;535720.4174983648;538959.7519011154;543461.6083443011;538695.6978026696;543339.1088533673;538124.7032363649
Power Consumption Average;4;all;all;all; ;574983.6930520246;578023.6694120244;578365.9299780617;576265.1190548153;573411.6411554721;573734.285733446;575848.1226135204;575712.4011032407;576117.2712241277;572964.1074790757
Power Consumption Average;5;all;all;all; ;610572.9747306141;607049.5595397552;607789.4586014053;605036.9227286248;609408.732844794;607417.8104586309;607620.1208916232;604958.4167064772;609126.8564412915;606955.8753319846


Energy Efficiency Average;1;all;all;all; ;1.289148635437605E8;1.294450937165684E8;1.2945589170241062E8;1.2963051861621444E8;1.2999483500011583E8;1.2961639303201492E8;1.2992066784232053E8;1.2987419605824102E8;1.3002000468186904E8;1.2961404490560567E8
Energy Efficiency Average;2;all;all;all; ;1.3326370863760966E8;1.3439920435251564E8;1.3352750599305779E8;1.3428005368351135E8;1.3398623997190632E8;1.348240157464372E8;1.336653022880465E8;1.335798530623632E8;1.3322813012042776E8;1.3369071623965095E8
Energy Efficiency Average;3;all;all;all; ;1.3735314068195707E8;1.3747753134736145E8;1.3788701270105574E8;1.3749062661035115E8;1.3711992177136394E8;1.3758685498943037E8;1.387543600435833E8;1.37360878447711E8;1.3793137356247205E8;1.3650715217385867E8
Energy Efficiency Average;4;all;all;all; ;1.4013090978225932E8;1.4067634646390036E8;1.403345537466021E8;1.398196522288803E8;1.3977143436828828E8;1.3992695975081965E8;1.3987807106725448E8;1.4019041675995696E8;1.404179621911799E8;1.3986991065403408E8
Energy Efficiency Average;5;all;all;all; ;1.4215379700972372E8;1.4207553031300527E8;1.4178841137445477E8;1.4191233449154615E8;1.4209816269856665E8;1.4245613226016816E8;1.4171234540282348E8;1.418797103550619E8;1.4185407226128668E8;1.4199418401466072E8


