Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
External Fragmentation (Vertical);1;all; ;0,408196291;0,406500403;0,416787105;0,413633111;0,409670918;0,405732314;0,41024398;0,413601799;0,413585526;0,414337361;;0,411228881;0,003692123;0,00228836
External Fragmentation (Vertical);2;all; ;0,475806431;0,479473003;0,471115692;0,48019565;0,481472509;0,480580191;0,477024345;0,472891714;0,482438585;0,476929006;;0,477792713;0,00373239;0,002313317
External Fragmentation (Vertical);3;all; ;0,536294011;0,531261276;0,539117444;0,538760066;0,531712774;0,537782468;0,54214651;0,533646557;0,54531741;0,535205192;;0,537124371;0,004466641;0,002768402
External Fragmentation (Vertical);4;all; ;0,585714877;0,594483221;0,590521074;0,587007745;0,587928232;0,587871676;0,589711463;0,591117325;0,5855839;0,586558259;;0,588649777;0,002807862;0,001740299
External Fragmentation (Vertical);5;all; ;0,624530518;0,622821448;0,620661151;0,623911231;0,625476367;0,624730872;0,627331181;0,620973715;0,623071693;0,624157117;;0,623766529;0,00200379;0,001241939
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation (Horizontal);1;all; ;0.324110615663929;0.32531795448337825;0.33709042310160053;0.32875506623848766;0.3271519253676008;0.3258503430248165;0.33374716099738255;0.3339833050620128;0.335261805488977;0.3362861383559471;;;;
External Fragmentation (Horizontal);2;all; ;0.4042697123836975;0.40548278694006257;0.3964543659574211;0.41546198457100253;0.41509234674031603;0.41584715753356594;0.4121861006766208;0.40109478217107813;0.41529738671658883;0.4075629033567333;;;;
External Fragmentation (Horizontal);3;all; ;0.48081026050596803;0.47063552008908494;0.4873332689225496;0.487294261285674;0.4735045631461025;0.4897800552209932;0.49252141817400547;0.4760836351389124;0.5010018624156716;0.47865893413408245;;;;
External Fragmentation (Horizontal);4;all; ;0.5453772160002225;0.5609232557434183;0.5525366907109946;0.552763087906677;0.552015189649638;0.5527736484240452;0.5597986055614149;0.5576978069498356;0.5475669964516187;0.5513862541467249;;;;
External Fragmentation (Horizontal);5;all; ;0.5973618067351761;0.5947179338566103;0.5938960380136077;0.5988602109590763;0.598489268321089;0.5986468410878575;0.604754665929603;0.5950915704925207;0.5995745033078955;0.5975768758196799;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
External Fragmentation Per Link;1;<17-23>; ;0.43451355718327617;0.42507091765520855;0.44825332506966575;0.44466738119872284;0.4239771023593256;0.4243678351851555;0.42177676151498233;0.4290840892533712;0.44667999360606475;0.4291100921324448;;;;
External Fragmentation Per Link;1;<12-11>; ;0.41067393131694013;0.4129058492450441;0.43320941145078834;0.41721352176126525;0.4131546414986716;0.39942971625905577;0.4109124399229671;0.403306617313129;0.4152975243463083;0.42486256867080113;;;;
External Fragmentation Per Link;1;<16-9>; ;0.42062248987879935;0.42842473627715816;0.42753074761561216;0.4347574849725144;0.4259756100461335;0.4055123966850699;0.41417665080859517;0.43046917432894866;0.4234367706236342;0.42673286381059855;;;;
External Fragmentation Per Link;1;<12-13>; ;0.40299226813472;0.3979496730346817;0.41378264224413286;0.3986036116056504;0.39879054947066406;0.40240938259831804;0.39501961315053685;0.38972305887762676;0.41241361189652115;0.40482443972124593;;;;
External Fragmentation Per Link;1;<22-16>; ;0.45261654379417643;0.4427196120122183;0.464637885306458;0.45850468166537284;0.4468950792772065;0.4377883509501875;0.4417831713813377;0.45965446369097157;0.4488254988986508;0.4538535995658234;;;;
External Fragmentation Per Link;1;<6-10>; ;0.3570341116881829;0.34324404150645127;0.32733795744360306;0.33239353406407834;0.2932990167297374;0.3208328967445134;0.3237674636440912;0.35097069566266553;0.30520575215648366;0.34519797545751807;;;;
External Fragmentation Per Link;1;<12-3>; ;0.4448124783530138;0.44297310367745185;0.4421928963669386;0.45261760631922887;0.45391040769867846;0.43397557100180073;0.4312539516550845;0.44173816901301094;0.460714856708459;0.4473540590309018;;;;
External Fragmentation Per Link;1;<27-22>; ;0.3397350967687653;0.3420821881518756;0.3331735294027668;0.3402489204054774;0.34693344710262103;0.3334099818984041;0.3427139575711972;0.34644477343980495;0.3432681065362502;0.3359117117997234;;;;
External Fragmentation Per Link;1;<22-10>; ;0.1870840506149523;0.22337999246000775;0.2119431440164603;0.20730088742893038;0.21308999880709334;0.20624187938272467;0.22296310830426563;0.21394858420566432;0.22968718883371358;0.22705566986988837;;;;
External Fragmentation Per Link;1;<27-28>; ;0.26374487719123657;0.2674986877917942;0.28127800608806436;0.27605314595632435;0.24886151139476867;0.2624302748064712;0.23667489957244855;0.28607033383308234;0.25300437108561136;0.25331687698926886;;;;
External Fragmentation Per Link;1;<23-24>; ;0.37044922531514896;0.39354273858708394;0.40217127635247796;0.3889485926372845;0.3772117591003814;0.3694183950200234;0.39540317032829553;0.37263056559398905;0.37221885392163634;0.36669275976118854;;;;
External Fragmentation Per Link;1;<27-26>; ;0.37345286439910863;0.3803597392880921;0.40302882249001265;0.39412594114815075;0.3843057227546298;0.3826146615724054;0.3840834586500337;0.40498583714799274;0.3983718694938587;0.3902034987178635;;;;
External Fragmentation Per Link;1;<1-2>; ;0.2872135033730971;0.28753741238545577;0.2905637094861014;0.29621369281329096;0.2780678327947731;0.2814580085461496;0.2895344644150297;0.26838455590898186;0.2928888645511235;0.2815804554298148;;;;
External Fragmentation Per Link;1;<1-4>; ;0.42705903182577776;0.406066624308402;0.42644703082490737;0.4087252758416573;0.42484465107514513;0.423750193817477;0.4190775747616817;0.41106784966362925;0.4185573390246476;0.42293077642753407;;;;
External Fragmentation Per Link;1;<3-2>; ;0.4212986983864366;0.42386281168087675;0.4267545029018669;0.4423188927881311;0.4423727928480197;0.41164464713664195;0.4234609268785473;0.4488441910017038;0.4425278141651386;0.4295697023394811;;;;
External Fragmentation Per Link;1;<3-4>; ;0.3761365625361131;0.3938636862699233;0.38361021854303384;0.3995741643985439;0.3864373395591582;0.37789257539491866;0.38492413980234536;0.3543518099926473;0.3843850160030132;0.37814029417810296;;;;
External Fragmentation Per Link;1;<10-9>; ;0.4232479868653141;0.4027577798484598;0.4039417797777328;0.40954684062331026;0.3969807304322451;0.4124444884844976;0.39710811989595646;0.42502249032294454;0.3809473348282353;0.41014762466497834;;;;
External Fragmentation Per Link;1;<5-6>; ;0.4782096708102172;0.4651667138106215;0.48358550312972565;0.4955929168802813;0.4752647285006303;0.47547736019480696;0.48314817976115687;0.4707403686188469;0.45651291440603736;0.47302005527585667;;;;
External Fragmentation Per Link;1;<10-6>; ;0.3388007929705759;0.328044129169177;0.3363793113372043;0.33141302994074484;0.32868095945686965;0.3204303814955128;0.3415208271951515;0.32030414567981547;0.32049602458752297;0.3326553223012783;;;;
