Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.42758102556299454;0.4283785197371549;0.431662133632577;0.42853882798162957;0.43000884459196;0.42687694400319603;0.4299561482777973;0.42597172808736516;0.4277262004413667;0.4287059584506506
Percentage of cicuits by modulation;1;16QAM;all; ;0.15282638466220327;0.15152581378320035;0.15010365749282006;0.15118523519288002;0.15140419785257112;0.15183913403277816;0.1525773588136254;0.15237533532467037;0.15159614945590139;0.15031200060878167
Percentage of cicuits by modulation;1;32QAM;all; ;0.033066418137553254;0.03296024040244587;0.03393118664054624;0.03308009014063079;0.03428468173734415;0.03326326202547298;0.03310281849572422;0.033551492551511575;0.034738604368008526;0.034434213530172744
Percentage of cicuits by modulation;1;BPSK;all; ;0.024450319537431528;0.024810521410842834;0.024725640489187288;0.025292624252393765;0.025069187533880495;0.023751319781986285;0.024294424838528637;0.024695116150758166;0.0246176090099688;0.024960048702534054
Percentage of cicuits by modulation;1;64QAM;all; ;0.006362218502738892;0.006067118689198056;0.006181410122296822;0.006209053998801928;0.0060295390350835485;0.006211298284996813;0.0060593377533840025;0.006069138715016837;0.006249524389315882;0.006135377825127464
Percentage of cicuits by modulation;1;8QAM;all; ;0.3557136335970785;0.35625778597715796;0.35339597162257264;0.3556941684336639;0.3532035492491607;0.35805804187156975;0.3540099118209404;0.35733718917067786;0.3550719123354387;0.35545240088273344
Percentage of cicuits by modulation;2;QPSK;all; ;0.4280819310134775;0.42892077568652826;0.4295105986223694;0.4276823523814055;0.4275887658408494;0.4281570111947042;0.425510864188135;0.42589667966891825;0.4274344034426292;0.4286842731382346
Percentage of cicuits by modulation;2;16QAM;all; ;0.15130777430899262;0.15183549964793422;0.14934162956197436;0.1521530189846315;0.1548312212200784;0.1512283738669761;0.15168956200768674;0.15348682332794217;0.15263338284016909;0.15223411848679513
Percentage of cicuits by modulation;2;32QAM;all; ;0.033865072717581664;0.034207471406550324;0.034269513262549;0.03404862730170814;0.033736727936979106;0.03437354359466991;0.03441911792686175;0.03442108267529255;0.034016908488518224;0.03279562217463716
Percentage of cicuits by modulation;2;BPSK;all; ;0.025298865453437906;0.02493006261061526;0.024717433496974542;0.024703811200456772;0.024679377402290977;0.026165362044531525;0.025762015297385744;0.02559223670440491;0.02510567805323889;0.02531525101118249
Percentage of cicuits by modulation;2;64QAM;all; ;0.006358029391608924;0.0061468780329990294;0.006165087338737299;0.006404339344340296;0.006507592190889371;0.006382027601556035;0.006678336314167206;0.005889068594805442;0.006845272097185727;0.006271710682845586
Percentage of cicuits by modulation;2;8QAM;all; ;0.3550883271149014;0.3539593126153729;0.35599573771739546;0.3550078507874578;0.35265631540891273;0.35369368169756227;0.35594010426576356;0.35471410902863665;0.3539643550782589;0.354699024506305
Percentage of cicuits by modulation;3;QPSK;all; ;0.4269491654599497;0.42419683494886784;0.42605727796209436;0.4273157152118369;0.4291799279602066;0.42492777391088776;0.42672487750938937;0.42569466274207224;0.4262005986311555;0.42455588893651475
Percentage of cicuits by modulation;3;16QAM;all; ;0.15353250514442496;0.15381539106092057;0.15349121000648286;0.15454944133013004;0.1508928741590593;0.1523183859495228;0.1533754027415019;0.1537545604358967;0.1538520199035327;0.15229794732580845
Percentage of cicuits by modulation;3;32QAM;all; ;0.03401036506363844;0.03388813772352459;0.034692826907676465;0.03319604926972505;0.03355186674544034;0.03403922615585579;0.03479305282824624;0.03480696139227846;0.032857987150401315;0.035205029289898555
Percentage of cicuits by modulation;3;BPSK;all; ;0.024607499428397225;0.025432766467978138;0.02482553483583114;0.024015177515921138;0.02547121266985573;0.024857216411293015;0.0247459630526376;0.024985949570866556;0.02497473929041237;0.024898795065961803
Percentage of cicuits by modulation;3;64QAM;all; ;0.006230470238548891;0.006941402753708747;0.006568661099035198;0.00660679556114861;0.006613176802424196;0.006254826991104035;0.006424799344174785;0.006658474552053268;0.006215087792881246;0.005962756584273944
Percentage of cicuits by modulation;3;8QAM;all; ;0.3546699946650408;0.3557254670450001;0.35436448918887997;0.35431682111123824;0.35429094166301384;0.3576025705813366;0.3539359045240501;0.3540993913068328;0.35589956723161686;0.3570795827975425
Percentage of cicuits by modulation;4;QPSK;all; ;0.42327480682426744;0.42549380232580414;0.424666717744407;0.4274630011015853;0.4272848214542079;0.4266316837750881;0.4250903132456233;0.4235101430952244;0.4244366224126717;0.4225983076157292
Percentage of cicuits by modulation;4;16QAM;all; ;0.15423456506770714;0.15424258099124472;0.156048881397487;0.156635854207577;0.15339337499880362;0.15214685153975793;0.1545817802010368;0.15574775396050036;0.15489535906951832;0.15481295707776543
Percentage of cicuits by modulation;4;32QAM;all; ;0.03434128987835667;0.033670517462689425;0.034171008274593934;0.03342114085923655;0.03445536594469914;0.034778611919718094;0.0351862321409749;0.03413596919717258;0.035294792822435625;0.03446988551518168
Percentage of cicuits by modulation;4;BPSK;all; ;0.024156529722285977;0.023727417284518267;0.024660971498620902;0.023612241965611378;0.023850769981719516;0.024580588325417495;0.024367807280637033;0.0244334616784476;0.023663771664689904;0.024256231573304744
Percentage of cicuits by modulation;4;64QAM;all; ;0.007009792670797949;0.0062072532904189895;0.006177214220042905;0.006408352890464103;0.006383813634753979;0.006501838516929676;0.0068705142824289234;0.006359787751661782;0.006245934881585492;0.006231573304744036
Percentage of cicuits by modulation;4;8QAM;all; ;0.3569830158365848;0.35665842864532443;0.3542752068648483;0.35245940897552563;0.35463185398581587;0.3553604259230887;0.3539033528492991;0.35581288431699326;0.35546351914909896;0.35763104491327485
Percentage of cicuits by modulation;5;QPSK;all; ;0.42460968408051414;0.42120481927710846;0.4227706545840162;0.42355222411946863;0.4229097392896728;0.4212714644028555;0.4225932936722553;0.4232894013748421;0.4210333207813149;0.42288629175345216
Percentage of cicuits by modulation;5;16QAM;all; ;0.15474651176254897;0.15743614457831326;0.156203605514316;0.15412072275441593;0.1557997204953978;0.15681072737796642;0.155895078420768;0.15536872957260342;0.1562146974480781;0.15550026999922859
Percentage of cicuits by modulation;5;32QAM;all; ;0.0344481540807071;0.035893975903614456;0.034850091583919794;0.03475819755158742;0.035015179991325716;0.0347675091645765;0.03447809626825311;0.03468921433460919;0.035387036661549305;0.0351963280104914
Percentage of cicuits by modulation;5;BPSK;all; ;0.021682073450798;0.02216867469879518;0.022481442205726405;0.022728368979056328;0.02282299648209725;0.022805325101292687;0.022483195549717994;0.022454469201029684;0.022728808813448038;0.023470647226722208
Percentage of cicuits by modulation;5;64QAM;all; ;0.006407163672153927;0.006486746987951807;0.006622963462836209;0.0067625580026818705;0.006640643824394005;0.006704611229017944;0.006837672873367844;0.006247529429912939;0.006807056165454914;0.0064124816786237755
Percentage of cicuits by modulation;5;8QAM;all; ;0.3581064129532779;0.3568096385542169;0.3570712426491854;0.3580779285927898;0.3568117199171124;0.35764036272429095;0.35771266321563777;0.3579506560870026;0.3578290801301548;0.3565339813314819


Average of slots by modulation;1;QPSK;all; ;2.617106664637858;2.6056087564308603;2.6313407003062177;2.6127851363044243;2.6199298138831564;2.609496723135897;2.615959743928772;2.601738931907688;2.6208336504071226;2.607668746670725
Average of slots by modulation;1;16QAM;all; ;0.6977328058429701;0.694913320083304;0.6830553283755254;0.688957772727705;0.691095493062226;0.6959793020136782;0.6969570138974764;0.6985597686497593;0.6892645156380793;0.6845749942926718
