Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.0213432168015709;0.021562546590995147;0.021835365778539867;0.021698336136291668;0.02146798185927314;0.02135729387150454;0.02165228792444851;0.0215563432815546;0.021554248862194023;0.021711274806179678
Relative Fragmentation per spectrum size (c);1;all;3; ;0.043396856052344654;0.04401015327604759;0.04423699912778375;0.04400503120757599;0.043749099824893334;0.04339367918873937;0.04404618407485436;0.043870133518458886;0.04388189644509575;0.043854084692997494
Relative Fragmentation per spectrum size (c);1;all;5; ;0.0821063860047078;0.08267390140406308;0.08362566649383672;0.08328394203933642;0.08270759010735623;0.08229216515556508;0.08349642692218193;0.08285348641940656;0.0829810579639509;0.08322014505253256
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.025124235341730233;0.025507930784705042;0.025111931505693144;0.02520067832441816;0.02552842706992728;0.02538586188502684;0.02548114631139864;0.025198854958231497;0.02560294332129499;0.02548847070443936
Relative Fragmentation per spectrum size (c);2;all;3; ;0.05108381866217261;0.05183550586580351;0.05060597011763316;0.05137907333971193;0.0516092671149706;0.051517930218817586;0.05173641553179563;0.051077748710291505;0.05172704107603955;0.05145803892173824
Relative Fragmentation per spectrum size (c);2;all;5; ;0.09657385525409348;0.09806639064676849;0.09573347503566941;0.09692756888997209;0.09729226838090163;0.09735090663631475;0.09778611436969346;0.09643829629115061;0.09769369224507546;0.09700832075258078
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.029207809257387033;0.029074539956686414;0.02935019006328403;0.02925657185454368;0.02903941569154882;0.02919876160552528;0.029519672044356998;0.029132256832129125;0.029828371974379826;0.029186282990691623
Relative Fragmentation per spectrum size (c);3;all;3; ;0.059167218190170755;0.05859850765153147;0.05965455804636664;0.05904129823208595;0.058699307960381406;0.059292964910026454;0.05981806614389351;0.059005203035334845;0.06038607181849753;0.05932248830774141
Relative Fragmentation per spectrum size (c);3;all;5; ;0.11168266367080133;0.11061854035553455;0.11267931644213834;0.11139397529597168;0.11046539496634508;0.11169241990767897;0.11262039807318278;0.11089417166254226;0.11337950878166632;0.11167058787840255
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.03308229514028349;0.03311214700586067;0.03339073306195433;0.0332967815005607;0.03310508880579752;0.0331897518502884;0.03300464456438677;0.03330586771544802;0.03303728928351225;0.032916545820980796
Relative Fragmentation per spectrum size (c);4;all;3; ;0.06652640054429673;0.06711748514920662;0.06695831508499143;0.06728886006691621;0.06669769225375562;0.0667522598982002;0.06674692191832451;0.06688503005403448;0.06680137329680998;0.06619811917207229
Relative Fragmentation per spectrum size (c);4;all;5; ;0.1250482580496359;0.12700927076146493;0.12626064333824988;0.12621791851361625;0.12520786250432353;0.12591457145426732;0.1263141532113346;0.1260248969599137;0.12520812889121746;0.12479897918080099
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.0363363895440356;0.03623789728341625;0.036293126886725716;0.036471798288061144;0.0367381718626507;0.036529988393548235;0.0366026005252761;0.036070159726110745;0.03630875710209242;0.036263405578231704
Relative Fragmentation per spectrum size (c);5;all;3; ;0.0733330604110968;0.07311517436933827;0.07299772881033034;0.07318340962792105;0.07367560973767637;0.07328453934716206;0.07341710324510524;0.07270977039233836;0.07342683671391188;0.07331993161103369
Relative Fragmentation per spectrum size (c);5;all;5; ;0.13790296813660916;0.1370634318987296;0.1374689465797342;0.13792996272722732;0.13850785723301076;0.13835726566218076;0.13847066280690312;0.13702082337449623;0.13800802054468106;0.1373949190443437


