Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.005819951622096887;0.005635830751392232;0.006103923985532928;0.006576935955578339;0.005291914292626661;0.005635169498030695;0.005785232059472622;0.0053428815410891;0.006044036156794454;0.0058195847022155635
bandwidth blocking probability;2;all;all;all; ;0.0076314424072778326;0.008007320484303559;0.009176325864948189;0.009904648476952351;0.007526171281969705;0.008072534902061756;0.008818518376078362;0.007771802871578058;0.009032905070314944;0.008212347600154012
bandwidth blocking probability;3;all;all;all; ;0.013823354427652935;0.013251653947225014;0.013598405822932369;0.012484794106210718;0.013836078068972775;0.012390164145103463;0.012704666968949145;0.01436394479731853;0.01175621826286003;0.012324986609486735
bandwidth blocking probability;4;all;all;all; ;0.022584621128779948;0.021194677884945362;0.024672130760231423;0.02356107568275211;0.026213628932360802;0.02163252220978081;0.021717058749965084;0.02388547829469471;0.023039486901192924;0.02100713258432169
bandwidth blocking probability;5;all;all;all; ;0.04395211451090142;0.0433666023639466;0.0464917806622863;0.044305807211594106;0.046819571774107234;0.04336484752473162;0.04375853653222623;0.046363854255384626;0.04365114895978081;0.03962024486395806


bandwidth blocking probabilities per pair;1;all;8;14; ;6.332200900537005E-4;0.0;0.0;9.614217653039081E-4;0.01630588356592139;0.0016837290487203866;2.8411518373335767E-4;0.03587708686340637;0.0023211305263517727;0.0
bandwidth blocking probabilities per pair;1;all;13;12; ;0.0017524643118079855;0.0;0.0;0.0;0.0;0.0;0.0011490856879649042;0.005107363148887197;0.0;0.003177496565670854
bandwidth blocking probabilities per pair;1;all;2;13; ;3.1850649262072126E-4;0.0;0.0;0.0;0.0012205791911756875;0.0;0.0;9.08399861743118E-4;0.0;0.0
bandwidth blocking probabilities per pair;1;all;13;4; ;0.0;0.0;0.002451872623664843;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;7; ;1.6506479033213814E-4;5.472044695902608E-4;0.0;2.48127585471013E-4;0.0012657656896030267;0.0;0.0;0.006821427946345599;0.001002900498630268;5.034621785027372E-4
bandwidth blocking probabilities per pair;1;all;11;7; ;6.126408734881895E-4;0.0010256151042844746;0.005209962627954237;4.916719102557654E-4;8.971619762032641E-4;1.550857820137336E-4;0.0017100699612793068;1.4162519932714297E-4;0.003982156711395345;0.007171381777735378
bandwidth blocking probabilities per pair;1;all;6;14; ;0.0;0.0;0.0;0.0;9.396522817014797E-4;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;8;1; ;0.006865068193855006;5.697727408785223E-4;0.003968326767797656;0.00340554070320988;1.802660408233206E-4;0.0025270027141828695;0.022435588104787685;0.009150234251563194;0.011326843536357352;0.014129161246630816
bandwidth blocking probabilities per pair;1;all;11;2; ;0.0;0.0;0.0;0.0;7.648361581583448E-5;0.0;0.012205447222692184;0.0;0.0012982525296653508;0.0
