Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;
blocking probability;1;all;all;all; ;0.004966773;0.005045767;0.005440739;0.005460488;0.005440739;0.004996396;0.00557898;0.005509859;0.005351871;0.005806088;;0.00535977
blocking probability;2;all;all;all; ;0.00783032;0.00783032;0.007662457;0.008699258;0.007089748;0.00677377;0.007277359;0.007514342;0.00783032;0.00769208;;0.007619997
blocking probability;3;all;all;all; ;0.011661548;0.011789914;0.011602303;0.01205652;0.012648979;0.011483811;0.011691171;0.012757596;0.010822233;0.011207331;;0.011772141
blocking probability;4;all;all;all; ;0.018445193;0.017349145;0.021743209;0.018573559;0.020311435;0.019166017;0.018445193;0.020212692;0.018850039;0.018524187;;0.019162067
blocking probability;5;all;all;all; ;0.032674059;0.032288962;0.033118403;0.033997215;0.035883207;0.032654311;0.032604939;0.03393797;0.033967593;0.030995428;;0.033212209
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
blocking probability fragmentation;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability fragmentation;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability fragmentation;3;all;all;all; ;0;0;0;9.87E-06;0;0;0;0;0;0;;
blocking probability fragmentation;4;all;all;all; ;0;0;9.87E-06;0;0;0;9.87E-06;0;0;0;;
blocking probability fragmentation;5;all;all;all; ;1.97E-05;4.94E-05;2.96E-05;7.90E-05;1.97E-05;2.96E-05;9.87E-06;3.95E-05;0;3.95E-05;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
blocking probability per QoT;1;all;all;all; ;0.003307891;0.003692988;0.003643617;0.003495502;0.003248645;0.003377011;0.003534999;0.003653491;0.003258519;0.003584371;;
blocking probability per QoT;2;all;all;all; ;0.003465879;0.003228896;0.00323877;0.003505377;0.003643617;0.003298016;0.002972164;0.003396759;0.003051159;0.003061033;;
blocking probability per QoT;3;all;all;all; ;0.003159776;0.003021536;0.003228896;0.002972164;0.003130153;0.002982039;0.003011662;0.003130153;0.00303141;0.003011662;;
blocking probability per QoT;4;all;all;all; ;0.003643617;0.004068212;0.004048463;0.004137332;0.004502681;0.003544874;0.004127457;0.003692988;0.004058337;0.003850977;;
blocking probability per QoT;5;all;all;all; ;0.009321339;0.008462275;0.009380585;0.00895599;0.009963169;0.008383281;0.008442527;0.0095287;0.009015236;0.007277359;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
blocking probability per QoT for other;1;all;all;all; ;0.001658882;0.001352779;0.001797123;0.001964986;0.002192095;0.001619385;0.00204398;0.001856368;0.002093352;0.002221718;;
blocking probability per QoT for other;2;all;all;all; ;0.004364441;0.004601424;0.004423686;0.005193882;0.003446131;0.003475754;0.004305195;0.004117583;0.004779161;0.004631047;;
blocking probability per QoT for other;3;all;all;all; ;0.008501772;0.008768379;0.008373407;0.009074482;0.009518825;0.008501772;0.00867951;0.009627443;0.007790823;0.008195669;;
blocking probability per QoT for other;4;all;all;all; ;0.014801576;0.013280934;0.017684872;0.014426353;0.01579888;0.015621143;0.014307861;0.016519704;0.014791702;0.014663336;;
blocking probability per QoT for other;5;all;all;all; ;0.023332971;0.02376744;0.02369832;0.024942482;0.025860792;0.024231533;0.024142664;0.024330276;0.024952357;0.023668697;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
blocking probability per other;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per other;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per other;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per other;4;all;all;all; ;0;0;0;9.87E-06;9.87E-06;0;0;0;0;9.87E-06;;
blocking probability per other;5;all;all;all; ;0;9.87E-06;9.87E-06;1.97E-05;3.95E-05;9.87E-06;9.87E-06;3.95E-05;0;9.87E-06;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
blocking probability per lack of transponder;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per lack of transponder;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per lack of transponder;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per lack of transponder;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per lack of transponder;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
blocking probability per lack of transmitters;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per lack of transmitters;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per lack of transmitters;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per lack of transmitters;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
blocking probability per lack of transmitters;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
blocking probabilities per pair;1;all;8;14; ;0.001834862;0;0;0.001818182;0.004784689;0.001848429;0.001689189;0.005671078;0.003502627;0;;
blocking probabilities per pair;1;all;13;12; ;0.001851852;0;0;0;0;0;0.001934236;0.00174216;0;0.001785714;;
blocking probabilities per pair;1;all;2;13; ;0.001757469;0;0;0;0.001821494;0;0;0.001730104;0;0;;
blocking probabilities per pair;1;all;13;4; ;0;0;0.001769912;0;0;0;0;0;0;0;;
blocking probabilities per pair;1;all;6;7; ;0.001788909;0.001805054;0;0.001763668;0.001811594;0;0;0.001879699;0.001879699;0.001779359;;
