Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;340803.48592991155;341232.5940580463;341183.1341208407;338727.6927508802;340627.8969940647;340586.4428060842;341796.03069919784;339577.13546177547;341761.5613456669;341191.88057350024
Power Consumption Average;2;all;all;all; ;381762.77512170025;381927.892888919;382069.6204216376;382652.3247062834;381775.82122914924;381165.8589578668;380931.7018387972;380840.64599054016;381508.2715327894;383160.46175367315
Power Consumption Average;3;all;all;all; ;420974.43446959404;420496.6027993639;420098.5769867557;421482.78777226165;419971.3764326151;420466.7734361573;419906.33607575233;422850.4849863282;418289.31221135065;422226.8697542269
Power Consumption Average;4;all;all;all; ;458012.78344752063;457371.51201760676;459128.00640880835;459364.3973971328;456939.2779222564;459553.1807370231;457701.60506157146;459597.81317192724;458190.40862855327;461089.1023753666
Power Consumption Average;5;all;all;all; ;492586.39902480773;491649.23672746547;493111.23110444396;496447.0572952327;493917.5039665018;493960.8711498648;494414.896123742;494854.17170656903;496084.1191913007;491410.4177666222


Energy Efficiency Average;1;all;all;all; ;8.886884917234108E7;8.873325546513733E7;8.897142289135474E7;8.825161273774827E7;8.861087896554816E7;8.868951862557879E7;8.906000110170805E7;8.849919306956647E7;8.877052871363588E7;8.89284838914536E7
Energy Efficiency Average;2;all;all;all; ;9.897776699957143E7;9.931315916154195E7;9.923556209479907E7;9.863585034284584E7;9.847249548831832E7;9.853957946259025E7;9.873528576846461E7;9.834449567459288E7;9.915789034137125E7;9.89980669602972E7
Energy Efficiency Average;3;all;all;all; ;1.0670342004886757E8;1.0672669658179109E8;1.0645447747541249E8;1.0721614979019159E8;1.0649173252109407E8;1.066501314620251E8;1.0698058040551256E8;1.0716340010589033E8;1.0617799752072126E8;1.0746248626776896E8
Energy Efficiency Average;4;all;all;all; ;1.1287176089947379E8;1.128214530987233E8;1.1313605267193396E8;1.1292807703186065E8;1.1172748042032656E8;1.1337045312788792E8;1.1285959720181446E8;1.1324417247469115E8;1.132053355633992E8;1.1347779003334288E8
Energy Efficiency Average;5;all;all;all; ;1.1761614562252605E8;1.1734092297079253E8;1.1829110955176248E8;1.1818904868868782E8;1.1806327998833257E8;1.1798907705603696E8;1.1746824506654552E8;1.1810239748337604E8;1.1824286517961822E8;1.1748302642455377E8


Energy Efficiency Geral;1;all;all;all; ;1.8332992800808516E8;1.83181781671972E8;1.8341762740852314E8;1.8298569682632202E8;1.8306356074009866E8;1.834532144659488E8;1.8349129800013068E8;1.8289981940926647E8;1.83455672515364E8;1.834275452266284E8
Energy Efficiency Geral;2;all;all;all; ;1.8310041124649915E8;1.8331880765907165E8;1.8344365754050198E8;1.8330713548977023E8;1.834045783400863E8;1.832962003054106E8;1.8338627610287845E8;1.8331324563249153E8;1.8340338600197232E8;1.8315322314336684E8
Energy Efficiency Geral;3;all;all;all; ;1.8310881080067387E8;1.8327230483814517E8;1.8318793891638985E8;1.8330005006222057E8;1.8317751590316814E8;1.8318660557923716E8;1.8330368400200322E8;1.8340206112471086E8;1.831378694657397E8;1.8329165136336857E8
Energy Efficiency Geral;4;all;all;all; ;1.8327473115870345E8;1.8329638531826064E8;1.8344378337581858E8;1.8283461050712964E8;1.8278750871057987E8;1.8327143280404344E8;1.82899829156479E8;1.8303496204471707E8;1.8323744033372486E8;1.836487070290824E8
Energy Efficiency Geral;5;all;all;all; ;1.828873213103108E8;1.8285033542393547E8;1.833008412584722E8;1.833174734841405E8;1.827805691395798E8;1.8283312528662828E8;1.8303077634232315E8;1.8294001005589265E8;1.8324314570630115E8;1.8277903138277233E8


Energy Efficiency Established;1;all;all;all; ;1.4690897695120898E8;1.4666516525208402E8;1.4688749791984886E8;1.4662212153328452E8;1.4661397918054456E8;1.4693758370129266E8;1.4698882291042826E8;1.4653636092656192E8;1.4709260821524632E8;1.4698619314320472E8
Energy Efficiency Established;2;all;all;all; ;1.4673338878072286E8;1.4701382213300356E8;1.4692928142940226E8;1.4668390381242582E8;1.4702575258642247E8;1.4703240625675368E8;1.4715190500668293E8;1.4705890120145607E8;1.4712130406183067E8;1.4698220948067868E8
Energy Efficiency Established;3;all;all;all; ;1.470123273556547E8;1.4691868181040692E8;1.4699455375349712E8;1.4718933825143212E8;1.4695620083413646E8;1.4696333712443742E8;1.4717379651658303E8;1.4718725313806677E8;1.4697699948691055E8;1.4717314336048168E8
Energy Efficiency Established;4;all;all;all; ;1.472629129000856E8;1.4737888702409443E8;1.4722556304481435E8;1.4703734232705435E8;1.468363461043948E8;1.4722108307286504E8;1.4697478833515385E8;1.4696762548453805E8;1.4741463650713784E8;1.4767008886912376E8
Energy Efficiency Established;5;all;all;all; ;1.4710642504561582E8;1.4722023415640673E8;1.475228805873013E8;1.4764377155546114E8;1.4700851439580125E8;1.472470317286945E8;1.4734602160176736E8;1.4718326387452155E8;1.4761682922782445E8;1.4723767469198737E8


Average Power Consumption Established;1;all;all;all; ;3739259.251843726;3723635.6073319013;3728111.6370187267;3694849.542579254;3714116.5214435626;3732771.2623710698;3739522.341432734;3696978.11926216;3740880.2601403715;3739544.291785412
Average Power Consumption Established;2;all;all;all; ;3739923.270398095;3713066.1222469583;3743576.9514477383;3744531.1599521628;3721411.925308845;3706938.8325278857;3725172.5201687026;3722586.7769241235;3726981.663864465;3725896.2664224524
Average Power Consumption Established;3;all;all;all; ;3720834.3243006603;3715581.112983199;3702296.826334039;3714954.49227424;3713129.3659548154;3705701.2791009005;3704283.883140456;3731014.690074509;3686960.591565351;3740577.1084941747
Average Power Consumption Established;4;all;all;all; ;3698739.496897426;3670739.489977411;3721768.19390799;3667614.6496415692;3676947.1985897115;3724583.6252864557;3674189.1367644076;3706227.206201159;3689489.726273239;3729840.265636396
Average Power Consumption Established;5;all;all;all; ;3679670.6553403237;3671622.8108097645;3663071.4373088144;3705161.1970679276;3688547.558541827;3680724.4120261865;3662695.588270225;3686695.9730254947;3680295.20815059;3651503.293453786


Average Data Transmitted Established;1;all;all;all; ;5.493307512437048E14;5.4612763168787756E14;5.4761299032755256E14;5.417466786792561E14;5.4454140234904306E14;5.484843898024289E14;5.496679872144461E14;5.4174172002180194E14;5.502558344849764E14;5.496613795399392E14
Average Data Transmitted Established;2;all;all;all; ;5.4877161524539625E14;5.458720424640956E14;5.5004107145188856E14;5.492624484890544E14;5.471433890026204E14;5.4504013639317625E14;5.4816623282137056E14;5.474395210415315E14;5.4831840260227156E14;5.4764046553458344E14
Average Data Transmitted Established;3;all;all;all; ;5.470085137202449E14;5.4588827927913625E14;5.442174698499607E14;5.468016933520304E14;5.4566738482638556E14;5.4460222636296456E14;5.451735224569715E14;5.491578036498425E14;5.4189840497476E14;5.5051249103934925E14
Average Data Transmitted Established;4;all;all;all; ;5.446871523717121E14;5.409895005882629E14;5.479394178703856E14;5.3927631076306694E14;5.3990949145970375E14;5.4833723531013006E14;5.4001317067927044E14;5.446954120015777E14;5.43884786895389E14;5.507858434941628E14
Average Data Transmitted Established;5;all;all;all; ;5.413031954523734E14;5.405371699414178E14;5.4038685022886244E14;5.4704397335605594E14;5.422478968594937E14;5.419757442822003E14;5.396836232699627E14;5.426199462229474E14;5.4327350924954625E14;5.37638854058269E14


