Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.3;0.2993191877890475;0.3016322154047775;0.30370333598093724;0.3014932189591152;0.30486171067909135;0.300095325098304;0.30139502556719455;0.3011287488459362;0.30157421661617917
Percentage of cicuits by modulation;1;16QAM;all; ;0.05936290562667461;0.0597149719140152;0.05905363277139056;0.05778395552025417;0.0592224141696948;0.05992041045183443;0.05894268578464472;0.058839299012063744;0.06031906761572902;0.057664994785717835
Percentage of cicuits by modulation;1;32QAM;all; ;0.029681452813337304;0.0303388182052758;0.029943805722682234;0.0295472597299444;0.029288536764559878;0.02861055702759832;0.028945068912102315;0.029846596832646576;0.02990142061530214;0.029805830064061182
Percentage of cicuits by modulation;1;BPSK;all; ;0.44010122060136947;0.44069192751235586;0.4398343956633109;0.4392772041302621;0.43871249578046506;0.4371967013010212;0.43917067164475515;0.4374621456585414;0.43735294993596807;0.4415950737448478
Percentage of cicuits by modulation;1;64QAM;all; ;0.009238860772055175;0.009656418094122784;0.009749607831456881;0.00999801429706116;0.010087170628065368;0.00955670011015511;0.010575128093100846;0.010187161793178771;0.01003663221848289;0.010130605353329691
Percentage of cicuits by modulation;1;8QAM;all; ;0.16161556018656345;0.1602786764851829;0.15978634260638191;0.1596902303415409;0.16119616369809972;0.1598539204302996;0.162271120467093;0.16226977113637492;0.16126118076858167;0.15922927943586432
Percentage of cicuits by modulation;2;QPSK;all; ;0.30276671974522296;0.302796576433121;0.30316327850582603;0.30454617897840464;0.303227089652429;0.3009036953085389;0.3035629028407735;0.3038841133397007;0.3055732484076433;0.3010129958007443
Percentage of cicuits by modulation;2;16QAM;all; ;0.05940485668789809;0.06001194267515923;0.05891718160741117;0.05875966212447207;0.05879369499279002;0.05939137264258801;0.05946128749900533;0.060301257561286216;0.05950437898089172;0.05900849801978227
Percentage of cicuits by modulation;2;32QAM;all; ;0.029896496815286625;0.030254777070063694;0.030737235937391166;0.02916567057136027;0.030132763164437373;0.0293377871891994;0.02984005729291;0.030533667621776506;0.030394108280254777;0.029792823452146396
Percentage of cicuits by modulation;2;BPSK;all; ;0.4367734872611465;0.43463375796178344;0.4359433614933779;0.43662841660690094;0.43835711799512705;0.4373427977770487;0.43367549932362537;0.43359001910219674;0.4348427547770701;0.43818536430035626
