Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0029425414473749174;0.003021535848646727;0.003307890553257038;0.0028635470461031076;0.002932667147215941;0.00296229004769287;0.0029129185468979887;0.0030314101488057034;0.0027845526448312978;0.0029820386480108223
blocking probability;2;all;all;all; ;0.002745055444195393;0.0028043012451492502;0.003021535848646727;0.0029030442467390125;0.0029919129481697985;0.002833924145626179;0.0026956839434005113;0.0026068152419697252;0.0032486447523031804;0.00296229004769287
blocking probability;3;all;all;all; ;0.002596940941810749;0.0028043012451492502;0.002547569441015868;0.0027055582435594875;0.002251340436246581;0.0028141755453082264;0.002685809643241535;0.0026166895421287015;0.0024981979402209867;0.002636438142446654
blocking probability;4;all;all;all; ;0.002587066641651773;0.0022809633367235098;0.0023599577379953196;0.0024389521392671294;0.0027055582435594875;0.002745055444195393;0.00288329564642106;0.0024981979402209867;0.0025771923414927966;0.0027648040445133453
blocking probability;5;all;all;all; ;0.0024981979402209867;0.0034066335548468;0.0036238681583442775;0.00348562795611861;0.003554748057231444;0.0035843709577083726;0.0031696503510313706;0.0036633653589801824;0.0033770106543698714;0.0032881419529390853


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;5;all;all;all; ;0.0;0.0;0.0;9.874300158976232E-6;9.874300158976232E-6;0.0;9.874300158976232E-6;9.874300158976232E-6;9.874300158976232E-6;0.0


