Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;342015.37130014994;341180.6565611768;340518.0435241441;340653.6548614111;340967.72706328356;341571.50579483295;340161.889238;340236.1887077501;343112.1404862095;340577.92162491457
Power Consumption Average;2;all;all;all; ;383588.545553112;381755.1644708858;383954.79345451813;381756.1749672644;382208.09604099486;382051.8558632601;382591.7323296438;382101.2562276208;382695.86811509944;379979.3644720661
Power Consumption Average;3;all;all;all; ;422603.327093896;422916.01406317006;422579.2194833697;421196.8779451611;424592.12393392576;421835.06687389774;421283.8791099265;420307.93723736075;423488.2479993609;419635.13306883955
Power Consumption Average;4;all;all;all; ;460081.85002774483;461507.8699131953;462886.46563071955;458567.18793123506;460595.9064866297;461654.0804826674;461594.65903527633;460709.2480284017;463540.35532984533;460846.6266882621
Power Consumption Average;5;all;all;all; ;497155.1199703757;495581.90964482265;498399.5768763635;496401.0970469904;500203.8379409984;498336.4417576345;496592.31186574383;497496.1512991612;496269.8937697107;497706.8256064211


Energy Efficiency Average;1;all;all;all; ;8.969712203377347E7;8.829887302194238E7;8.851383721375586E7;8.872413183272415E7;8.863220939815722E7;8.879650837228642E7;8.804328222793493E7;8.796962710434076E7;8.909321170921266E7;8.892449150804031E7
Energy Efficiency Average;2;all;all;all; ;9.996303474819282E7;9.890909267650954E7;9.89829085123162E7;9.859407512903748E7;9.875454961308758E7;9.893922472564045E7;9.871721023092881E7;9.94730367211295E7;9.918674565702486E7;9.890745435978024E7
Energy Efficiency Average;3;all;all;all; ;1.0709371469409376E8;1.0670369633105552E8;1.0701024579788865E8;1.0648288458766703E8;1.0780805932616635E8;1.0668075976610532E8;1.0690470560381134E8;1.0633130371331945E8;1.0718465564952137E8;1.0676964557689692E8
Energy Efficiency Average;4;all;all;all; ;1.1352508127053118E8;1.1284003422648314E8;1.1415809231468268E8;1.132624481741411E8;1.1315402540489183E8;1.1339699916219456E8;1.133209925797967E8;1.1386025870796327E8;1.1395500337088346E8;1.1359320111473571E8
Energy Efficiency Average;5;all;all;all; ;1.1868489526971483E8;1.184989730451507E8;1.1939469225109752E8;1.1853351183337842E8;1.18712275480719E8;1.182318985499885E8;1.183009941396421E8;1.1853287081923126E8;1.1773659190807655E8;1.1890261481657495E8


Energy Efficiency Geral;1;all;all;all; ;1.837039023353183E8;1.8305753813580388E8;1.8334093542355537E8;1.8339398073565254E8;1.8322866436922243E8;1.8331692708756977E8;1.8300014947376543E8;1.8286714498836163E8;1.8338257692164516E8;1.8300938433771524E8
Energy Efficiency Geral;2;all;all;all; ;1.8329929755359557E8;1.8320799308879384E8;1.833153834175499E8;1.83350021582335E8;1.832727940637597E8;1.835953019287898E8;1.831245961447887E8;1.8346728710371718E8;1.8338621400350237E8;1.832665994967018E8
Energy Efficiency Geral;3;all;all;all; ;1.8323283768918228E8;1.8317402779706118E8;1.8316510940327328E8;1.8324603002691773E8;1.835010496340732E8;1.831525449472657E8;1.8348087532650566E8;1.8338170444839656E8;1.8334084175806397E8;1.8313101369208282E8
