Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.3005199306759099;0.2983350995869938;0.3022449424399136;0.29942663616648346;0.3009130882585961;0.30172422330722076;0.2990750460496346;0.29690192738149473;0.30092780544801023;0.29917501064662133
Percentage of cicuits by modulation;1;16QAM;all; ;0.05951968308987373;0.058910337040815317;0.05791674096970417;0.05922779081627601;0.05931112343527175;0.059619898388678164;0.059052466873972545;0.058881207535209874;0.057925953797863174;0.05946261797941983
Percentage of cicuits by modulation;1;32QAM;all; ;0.02953206239168111;0.02948488119880753;0.029215954348213755;0.02993573175683036;0.029185152907621612;0.02915630911233696;0.029689635366119353;0.029712972683873778;0.029636304225128973;0.028839963950045063
Percentage of cicuits by modulation;1;BPSK;all; ;0.44097053726169844;0.44414511672130497;0.44389625314549525;0.4415000544646129;0.44318451909364603;0.44018698067800305;0.44339361048941356;0.44443674108115605;0.4425542870156747;0.4435134840696834
Percentage of cicuits by modulation;1;64QAM;all; ;0.01034909631096806;0.010300395178622718;0.0095306029443817;0.009952170167255876;0.009863729995246396;0.009675853941152585;0.009556537067480044;0.009508151258839609;0.009644423760533117;0.00996325677669826
Percentage of cicuits by modulation;1;8QAM;all; ;0.1591086902698688;0.1588241702734557;0.1571955061522915;0.15995761662854144;0.15754238630961812;0.15963673457260852;0.15923270415337995;0.16055900005942594;0.15931122575278986;0.15904566657753216
Percentage of cicuits by modulation;2;QPSK;all; ;0.29860884202188226;0.29838893344819734;0.2980082601245952;0.30003268006219114;0.29793998217292267;0.29998217574713326;0.2976930693069307;0.2981516498529834;0.2999286733238231;0.30048626860645916
Percentage of cicuits by modulation;2;16QAM;all; ;0.061191148076637454;0.06043232431254889;0.05961353709627898;0.05921033086087206;0.05807665643260374;0.0599984156219674;0.05812871287128713;0.060073854805017375;0.06007291171342526;0.05959018747585988
Percentage of cicuits by modulation;2;32QAM;all; ;0.030714391801574335;0.029973561476992545;0.029445264294274368;0.02944176511948029;0.03022680003961573;0.030380448775077732;0.030198019801980197;0.029433020819926936;0.029194404818513237;0.030354649262674182
Percentage of cicuits by modulation;2;BPSK;all; ;0.43791276795880985;0.44188971076057787;0.44315469410797587;0.4394081937828657;0.4417252649301773;0.440367971798071;0.44045544554455446;0.44237642190299875;0.4406601680139483;0.44002852247630553
Percentage of cicuits by modulation;2;64QAM;all; ;0.010644091291648101;0.009753537513986672;0.010349916309289173;0.010031788787767754;0.010904228978904626;0.009634998910740102;0.010257425742574258;0.009870407587442703;0.010411713425265494;0.009626335753122122
Percentage of cicuits by modulation;2;8QAM;all; ;0.160928758849448;0.15956193248769668;0.15942832806758644;0.161875241386823;0.16112706744577598;0.15963598914701047;0.16326732673267327;0.16009464503163084;0.15973212870502457;0.1599140364255791
Percentage of cicuits by modulation;3;QPSK;all; ;0.30040590040590043;0.30085454851518484;0.2998564569618373;0.2993693006861454;0.30346875154634073;0.2994712243038777;0.30185839744160947;0.3023918897513068;0.30278162740051473;0.30074451022711524
Percentage of cicuits by modulation;3;16QAM;all; ;0.059004059004059;0.059511431938131874;0.0588031480473197;0.05979267121456648;0.05922113909644218;0.05928427139858201;0.058633082840763955;0.059648740693806435;0.05911700653335973;0.06030334831594163
Percentage of cicuits by modulation;3;32QAM;all; ;0.030472230472230473;0.030161700779292793;0.030975597683512348;0.030099307913939742;0.02927408580335494;0.03056798827583475;0.030078910109800894;0.029324409947726914;0.030172243120174223;0.0307308476724155
Percentage of cicuits by modulation;3;BPSK;all; ;0.43913473913473916;0.43699808890077135;0.4379151611146859;0.4404697076208675;0.4358157256667821;0.4345169723135422;0.4374313125612618;0.4352526532551877;0.4366759057612354;0.4359741005484823
Percentage of cicuits by modulation;3;64QAM;all; ;0.00996930996930997;0.010565507134440384;0.010206404989358016;0.010069406627788394;0.010252857637686179;0.010634926922010537;0.010534549162879575;0.00973190242357041;0.010255394971292813;0.010098409995445815
Percentage of cicuits by modulation;3;8QAM;all; ;0.16101376101376103;0.16190872273217874;0.16224323120328665;0.16019960593669244;0.16196744024939383;0.16552461678615282;0.1614637478836843;0.16365040392840172;0.1609978222134231;0.16214878324059956
Percentage of cicuits by modulation;4;QPSK;all; ;0.3025017077348012;0.30105302745393003;0.3024130490725894;0.30515906796270265;0.30320102179229497;0.300608941036685;0.30306691357780174;0.30198970500890915;0.30358769255138;0.3000604002257582
Percentage of cicuits by modulation;4;16QAM;all; ;0.06055776103592678;0.05959897864254468;0.060929983965793695;0.059578722309108545;0.059475836394419744;0.060309916332491706;0.059476535189788175;0.05974064541674916;0.05952758088147943;0.060865604546849784
