Metrics;LoadPoint;Bandwidth;src;dest; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
average SNR geral;1;all;all;all; ;10.10235378834912;10.104739146007816;10.081750299895567;10.124249319894751;10.101660281131641;10.10771199637575;10.112837905959825;10.096315916563798;10.108687403903236;10.10669645594846
average SNR geral;2;all;all;all; ;10.15923008312817;10.113492156348169;10.116761134683415;10.116051944785816;10.121893663723688;10.131877476318094;10.13698575565341;10.121495845747253;10.105695586117573;10.13857163520909
average SNR geral;3;all;all;all; ;10.164669853736227;10.156099719963198;10.148315687374767;10.143377039019311;10.167162387010375;10.155025614433281;10.136112233130625;10.14870983083755;10.160765903117083;10.159017137573906
average SNR geral;4;all;all;all; ;10.167259889899514;10.196888234559554;10.183681917636234;10.187331379886487;10.180659340970594;10.190843542962;10.1701415725133;10.197668090872451;10.176412439155362;10.186904711738373
average SNR geral;5;all;all;all; ;10.230657395260211;10.189607506408077;10.198377682395508;10.192210637867007;10.19875292579795;10.205465436020623;10.216025345327308;10.183421950404414;10.223239164095856;10.229050636043553


average SNR established;1;all;all;all; ;10.161832818183221;10.15086576419153;10.133017624273347;10.161774689026997;10.147624240297068;10.161246248549336;10.151026273316168;10.149158272545007;10.146376919640558;10.147653983025394
average SNR established;2;all;all;all; ;10.191832415093584;10.159555983859667;10.154364061541623;10.162471422169517;10.169871724151173;10.160947615708645;10.171693949636717;10.157017574976473;10.163178390400535;10.159495720984564
average SNR established;3;all;all;all; ;10.165455505984404;10.180121235293834;10.172903340317083;10.162039169891145;10.168432601047614;10.197447871106311;10.170144420443531;10.175946199145558;10.172550638557768;10.185402009017979
average SNR established;4;all;all;all; ;10.18572524985867;10.195505400813909;10.198328848897072;10.18919310861562;10.182109160161026;10.169676770262317;10.180854453756373;10.18379937760955;10.178162481347703;10.19499928546173
average SNR established;5;all;all;all; ;10.213064179347953;10.181661213616918;10.181254538026353;10.179832836739044;10.186602014311195;10.202656040904749;10.187402117986458;10.188282038166307;10.208060989895909;10.20080486421377


average SNR per pair;1;all;8;14; ;11.773711028125826;11.759259081306338;11.744016269721007;11.799759104221785;11.74724925343604;11.816253862196117;11.792951227981684;11.801687217650413;11.789249554279667;11.769642785087509
average SNR per pair;1;all;13;12; ;14.759713132794325;14.644998572945179;14.779104996042832;14.781690331483109;14.730777956162022;14.676514110228592;14.84420222266404;14.726850245410073;14.833136900990267;14.728112827353074
average SNR per pair;1;all;2;13; ;7.414096391718079;7.396259950085005;7.4086062201984655;7.400521718335511;7.403270930780342;7.41000169609382;7.414127624198342;7.404290875956222;7.413339204583544;7.413063328470361
average SNR per pair;1;all;13;4; ;8.428654119984172;8.456937056849867;8.43439123500035;8.457104793754345;8.452978196625343;8.44859602346587;8.445865989414;8.450714193978747;8.455515069200452;8.453333064348833
average SNR per pair;1;all;6;7; ;9.656930170216238;9.641057450391836;9.599967651879894;9.631613833014937;9.561314453247862;9.617444882192238;9.636616263670302;9.611999546082464;9.608255869911902;9.595436872980974
average SNR per pair;1;all;11;7; ;8.684384739314048;8.642468407999491;8.685330505088691;8.653774569415187;8.682300711882627;8.659263278063191;8.697514720600669;8.690096380770383;8.679478710638545;8.649619045034004
average SNR per pair;1;all;6;14; ;10.26940296288717;10.280678266797908;10.271318970227387;10.269481539238745;10.261145706946802;10.247294519071673;10.281212504494261;10.2648852743395;10.270812745755709;10.256113095616312
average SNR per pair;1;all;8;1; ;9.035500361796709;9.031731800143778;9.025451848625945;9.035944743653932;9.050495368416088;9.04870447871871;9.039158769965548;9.046823037434873;9.040949194699419;9.037275458597902
average SNR per pair;1;all;11;2; ;8.416653947792005;8.366511767011913;8.386632017013708;8.38353068165599;8.406329224341647;8.38103012101792;8.416230509330655;8.383490395103648;8.411818116527137;8.426817938308194
average SNR per pair;1;all;10;14; ;11.72666981213591;11.768318154084968;11.778023721399109;11.781425900156353;11.761899986965362;11.784557507031058;11.783158315658904;11.792436838585012;11.768262260628797;11.754483982433054
average SNR per pair;1;all;7;9; ;10.165654941033846;10.163999532052268;10.183449574647957;10.215988563759543;10.169346434268915;10.207247820819035;10.10509198194662;10.141505277489614;10.113311245624649;10.202169609273819
average SNR per pair;1;all;4;7; ;11.63701479523733;11.622642372828436;11.556456041635768;11.45047511978374;11.514283072676921;11.422431778059066;11.362187441251015;11.511981148474;11.367986562691575;11.55231217563026
average SNR per pair;1;all;8;11; ;10.444804658378253;10.479732400139666;10.478780419650642;10.475113802606682;10.479733560960831;10.462941099891133;10.475068353489547;10.460389436729086;10.479598928123899;10.469801775585317
average SNR per pair;1;all;12;9; ;17.44194564647187;17.380669865099296;17.366259150313017;17.426175339572943;17.38737645689775;17.339066213107394;17.394844714672764;17.240978983404794;17.069473742326654;17.33572190427901
average SNR per pair;1;all;12;5; ;8.369794914839005;8.371864412306843;8.306634335334145;8.371193912420555;8.363316569566672;8.355225719737954;8.375289725850706;8.37617480088033;8.35767150313174;8.384886641246661
average SNR per pair;1;all;5;9; ;8.820959939273045;8.802967377672857;8.78774935445676;8.809479769434837;8.83378794197557;8.742141088482805;8.814365988938272;8.697232937144225;8.769772308459036;8.787714033140084
average SNR per pair;1;all;13;9; ;17.31967130283384;17.331259088697028;17.29002611583367;17.470981971467314;17.31436530754932;17.367672523083797;17.28432495363711;17.289083650619986;17.36785724413331;17.432283023956202
average SNR per pair;1;all;9;5; ;8.694620704369326;8.697610110178427;8.685392244995938;8.703595798564423;8.715493077635578;8.700653051377293;8.673819583722837;8.75762583053828;8.77224883500554;8.648436446084995
average SNR per pair;1;all;8;3; ;6.939087525587919;6.945177436130197;6.958818866828005;6.950741337753099;6.9588456160006;6.951354382077098;6.9545881664190325;6.957979680567312;6.964790372476926;6.944288226075091
average SNR per pair;1;all;9;2; ;7.2523923521518645;7.2370706776942395;7.238123482696867;7.229411108006117;7.23607439049017;7.230065976942295;7.2440260118519575;7.233670916030757;7.233507651510051;7.223729162244266
average SNR per pair;1;all;4;3; ;10.188989247844551;10.302075287581175;10.277919378001926;10.250363031867884;10.196682938805836;10.258699369451035;10.373871362691935;10.348152987123544;10.396422875291732;10.566112260481727
average SNR per pair;1;all;11;13; ;13.852759403620771;13.962420264379551;13.92937899481043;13.953065677550915;13.943361964149064;13.905803500555049;13.981001419555138;13.952376895448907;13.974099459196403;13.94333345706095
average SNR per pair;1;all;5;7; ;14.532130361627052;14.788894602333404;14.481320913625057;14.539199079683627;14.621380067331241;14.556270267088196;14.53424956883077;14.706405451020098;14.604831403627164;14.517898172180544
average SNR per pair;1;all;5;11; ;8.603405424100082;8.584379478623871;8.597643047691417;8.57313084385487;8.586874648044137;8.572323334176467;8.572936906148835;8.576357177587022;8.575232999979237;8.623303251633981
average SNR per pair;1;all;13;7; ;9.532379053392866;9.544646659255042;9.542149157817162;9.550443972763203;9.52842000435273;9.582695659153178;9.558061957240321;9.522659963462024;9.574576605890053;9.559167934829356
average SNR per pair;1;all;11;4; ;9.912382359696373;9.909258972580268;9.887343828156189;9.903922982623813;9.913037843085398;9.872033796126534;9.86093345471524;9.910733102154806;9.871831166510923;9.918208388742139
average SNR per pair;1;all;12;7; ;9.509200018168139;9.497440452051658;9.53695088516831;9.50862763291053;9.57364176456594;9.551506246255434;9.497585377978005;9.499722728574257;9.51179489425795;9.505763623346859
average SNR per pair;1;all;3;13; ;7.000835390502434;6.989265731834117;7.004677046642162;6.988573691298866;6.982542406142809;6.983587162376286;6.995074949843395;7.007182099782306;7.0104558885419115;7.00160426953072
average SNR per pair;1;all;14;11; ;13.278529160501822;13.231994036169164;13.272158661098164;13.259251922153434;13.249831635688682;13.241877701038737;13.255080533956509;13.280292855199496;13.248368503459478;13.27921438777964
average SNR per pair;1;all;7;5; ;14.50886604617152;14.467403621897281;14.669837087886238;14.575757456984306;14.545256706658858;14.663191921915843;14.608989106187927;14.474272126738674;14.706541401236365;14.613180895785911
average SNR per pair;1;all;14;6; ;10.268697262006858;10.26306693420624;10.257115039801324;10.29234971502894;10.265651572828407;10.267948263815313;10.261125373507522;10.279544631228578;10.258053101465892;10.26292779080067
average SNR per pair;1;all;12;4; ;8.594891228269962;8.594286406443914;8.59567799761046;8.572684072935687;8.583756920537382;8.59535987252511;8.599777855529515;8.56857321613636;8.59315155450051;8.612980564935214
average SNR per pair;1;all;13;14; ;20.29828279395664;20.17740487992866;19.924536478088246;20.00435246944734;20.068783017224256;20.39084822073061;19.933600018465683;19.98748907569263;19.949347696122857;20.127156811580953
average SNR per pair;1;all;9;4; ;8.156862775347115;8.163462822123535;8.159440323096705;8.17231787035356;8.171765306319024;8.171600018155075;8.137323441121447;8.160969774090596;8.172014852025798;8.149139113423905
