Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.013191755835361762;0.0131156778056328;0.013319159174303074;0.013016039136061464;0.013181317360329348;0.013226443506955381;0.01299733837895856;0.013207439249180459;0.0132706209444163;0.013264483594005496
Relative Fragmentation per spectrum size (c);1;all;3; ;0.027813237771774742;0.02785784347659486;0.02797021322255498;0.0277133203134946;0.027992021826761485;0.02795061244747532;0.027639272560042415;0.027841276439326778;0.028101598114254583;0.02768025441806906
Relative Fragmentation per spectrum size (c);1;all;5; ;0.05309350618314459;0.05299902945734069;0.053135197833545075;0.05245642237511735;0.05335451963977401;0.05330837698998905;0.05274873878719381;0.05313030418147009;0.053508390815391216;0.052904403910686834
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.01740442454219433;0.017302031905439375;0.01766805790367533;0.017445816691394084;0.017501141101695924;0.01725756754692179;0.017503562788485676;0.017076668835137594;0.017401175989747813;0.01720251247478732
Relative Fragmentation per spectrum size (c);2;all;3; ;0.036655509224528884;0.036535406175165375;0.03697702130979809;0.03664515220800263;0.036551008497840196;0.03652434052350463;0.036373680313431314;0.0363444559868879;0.03700316302724624;0.03619794153127405
Relative Fragmentation per spectrum size (c);2;all;5; ;0.06969469080795905;0.06923709068373594;0.07017212512484636;0.06982366443903197;0.06934895802829323;0.06917860127999441;0.06948405518436787;0.06882196611524309;0.0699189306655291;0.06865699574052689
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.021978549061337168;0.022354970513930435;0.022447347661778038;0.022345848831550278;0.022162577448232187;0.022376841441652574;0.021977781250336267;0.02181300101912558;0.022288328471631983;0.021813530228624457
Relative Fragmentation per spectrum size (c);3;all;3; ;0.046348474307626085;0.04674557747596157;0.046702640325984764;0.04628880020609005;0.04619463403994914;0.04644321636659109;0.046052007552117184;0.04592015644696528;0.04663262748923828;0.0454686896907881
Relative Fragmentation per spectrum size (c);3;all;5; ;0.0874152183461623;0.0882517152053349;0.08789975524915207;0.08771145514449163;0.08734681952986549;0.08730418665927664;0.08714038872218349;0.08664110311876766;0.0884958714456082;0.08625647756112653
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.027421884075040575;0.02707951458391882;0.027551057508502307;0.026999254364611727;0.027136904774776104;0.027648484307125267;0.027563426883639646;0.027206341983162588;0.027647227162235426;0.027157061170784765
Relative Fragmentation per spectrum size (c);4;all;3; ;0.05672779743052732;0.0565890931981374;0.05681894463352428;0.05600832165494224;0.05654991969640655;0.05726972478300598;0.05721285951415991;0.05653240245606736;0.05719795143606755;0.056463311129427846
Relative Fragmentation per spectrum size (c);4;all;5; ;0.10713377201346251;0.10626293537947484;0.10705805060496341;0.10570596848802173;0.10645076497693293;0.10783862513238322;0.10744770574137373;0.10655429746151561;0.1081064963184619;0.10680354991928237
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.03281343967147518;0.033684635880480096;0.033521453946369316;0.033296677395119455;0.033589107271456156;0.03361340647217482;0.03292873326433592;0.03352253015074994;0.03280408542103089;0.03293999321113632
Relative Fragmentation per spectrum size (c);5;all;3; ;0.06814218109977048;0.06922478061616642;0.06969857870293032;0.06871520266192528;0.0692161139160391;0.06955265061576518;0.06820555494178096;0.06953467379898898;0.0678595909504171;0.06833837446722857
Relative Fragmentation per spectrum size (c);5;all;5; ;0.12798763083065068;0.1304439560894499;0.13082193779723586;0.12952662797072564;0.1306436582695;0.1306394961713314;0.12857384277627223;0.13066479832178926;0.12805389048291854;0.12813355702991866


