Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0018859913303644605;0.0014515221233695062;0.0015601394251182447;0.001866242730046508;0.0017674997284567457;0.0019649857316362705;0.0017082539275028881;0.001698379627343912;0.001698379627343912;0.0015897623255951734
blocking probability;2;all;all;all; ;0.0015601394251182447;0.0014120249227336013;0.0015996366257541497;0.0015601394251182447;0.0016885053271849357;0.0016391338263900546;0.0016391338263900546;0.0014120249227336013;0.0014317735230515538;0.0013527791217797438
blocking probability;3;all;all;all; ;0.0016687567268669832;0.0013922763224156489;0.001698379627343912;0.0012935333208258864;0.0015107679243233636;0.0013922763224156489;0.001747751128138793;0.0017181282276618644;0.0017378768279798168;0.001619385226072102
blocking probability;4;all;all;all; ;0.0019551114314772943;0.0017674997284567457;0.0018168712292516269;0.0015798880254361972;0.0016786310270259595;0.0017378768279798168;0.0016391338263900546;0.0017971226289336744;0.001777374028615722;0.001658882426708007
blocking probability;5;all;all;all; ;0.003238770452144204;0.003692988259457111;0.003100530249918537;0.0035448737570724677;0.0036337424585032537;0.0031301531503954657;0.004068211665498208;0.0031992732515082993;0.0037028625596160873;0.003367136354210895


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.874300158976232E-6;0.0;0.0
blocking probability fragmentation;5;all;all;all; ;0.0;2.9622900476928698E-5;9.874300158976232E-6;0.0;0.0;9.874300158976232E-6;0.0;9.874300158976232E-6;9.874300158976232E-6;0.0


blocking probability per QoT;1;all;all;all; ;0.0018859913303644605;0.00144164782321053;0.0015601394251182447;0.0018464941297285555;0.0017674997284567457;0.0019649857316362705;0.001698379627343912;0.0016786310270259595;0.001698379627343912;0.0015897623255951734
blocking probability per QoT;2;all;all;all; ;0.0015206422244823398;0.0013527791217797438;0.0015502651249592685;0.0015403908248002923;0.001658882426708007;0.0016095109259131259;0.001619385226072102;0.0013922763224156489;0.0014120249227336013;0.0012935333208258864
blocking probability per QoT;3;all;all;all; ;0.0015502651249592685;0.001273784720507934;0.0016095109259131259;0.0012145389195540766;0.0014317735230515538;0.0012540361201899815;0.001619385226072102;0.0016391338263900546;0.001619385226072102;0.0015107679243233636
blocking probability per QoT;4;all;all;all; ;0.001619385226072102;0.0013922763224156489;0.0015206422244823398;0.0013132819211438389;0.0014021506225746251;0.0014515221233695062;0.0013725277220976964;0.0015008936241643874;0.0014712707236874587;0.0013725277220976964
blocking probability per QoT;5;all;all;all; ;0.0024488264394261056;0.0029129185468979887;0.002162471734815795;0.002587066641651773;0.0027055582435594875;0.002419203538949177;0.003011661548487751;0.0024883236400620105;0.002932667147215941;0.0024981979402209867


blocking probability per QoT for other;1;all;all;all; ;0.0;9.874300158976232E-6;0.0;1.9748600317952464E-5;0.0;0.0;9.874300158976232E-6;1.9748600317952464E-5;0.0;0.0
blocking probability per QoT for other;2;all;all;all; ;3.949720063590493E-5;5.9245800953857396E-5;4.937150079488116E-5;1.9748600317952464E-5;2.9622900476928698E-5;2.9622900476928698E-5;1.9748600317952464E-5;1.9748600317952464E-5;1.9748600317952464E-5;5.9245800953857396E-5
