Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;341719.99832393747;340871.4193558033;340836.0836619831;341934.5260703269;342250.08415688295;342097.62828591955;342030.1971783204;341688.28431488207;340402.69222319324;342090.98501950444
Power Consumption Average;2;all;all;all; ;382946.1163844279;383700.0099244645;384277.034387254;381517.05872778763;380591.1284409472;382253.8609589967;382141.0763271545;383314.17614112527;382511.07050071866;383630.6360382221
Power Consumption Average;3;all;all;all; ;426816.13237367244;424598.73151362804;424752.5693385204;423572.45947646204;426205.3259597335;424061.97986334533;426416.7694982968;424612.976481787;420723.67411431915;424124.6864398131
Power Consumption Average;4;all;all;all; ;467042.79312491795;465431.75376081857;466272.1941330844;463724.0258961341;464098.91299714585;465709.1922548015;463035.88488324406;465909.4248077957;465029.5805004295;465014.31796570396
Power Consumption Average;5;all;all;all; ;502611.6688371117;502264.76184668846;500356.01799058396;502369.620179717;504068.4346769629;503660.111075997;505057.4173738298;502757.2186247066;501338.0927287608;503238.1529756269


Energy Efficiency Average;1;all;all;all; ;8.927876110833044E7;8.881020538081592E7;8.87412374927449E7;8.923006228799435E7;8.909726341915043E7;8.939048947935018E7;8.92463546516218E7;8.89650732256274E7;8.89339091811025E7;8.951088242183454E7
Energy Efficiency Average;2;all;all;all; ;9.966314409680714E7;9.911285209586425E7;9.968305051008189E7;9.939234808114229E7;9.842640407404931E7;9.900457069557823E7;9.906053372535643E7;9.896965770882428E7;9.95102416390989E7;9.998384295059417E7
Energy Efficiency Average;3;all;all;all; ;1.0844123829012495E8;1.0740372805715041E8;1.0779736398489583E8;1.073572010641276E8;1.0779573109494425E8;1.0747030619048487E8;1.0824652105591531E8;1.068557877137075E8;1.0677160123665571E8;1.0696221964356862E8
Energy Efficiency Average;4;all;all;all; ;1.1467347660635363E8;1.1364570011764845E8;1.1425485182288997E8;1.139791251911024E8;1.1380455401745337E8;1.1437903271750998E8;1.1386955177021718E8;1.1412597733878313E8;1.139747307267573E8;1.1451263697365032E8
Energy Efficiency Average;5;all;all;all; ;1.1917047343642557E8;1.185309033607098E8;1.190513393029696E8;1.185923415859696E8;1.1891875095468163E8;1.191314589434156E8;1.1971755183666143E8;1.1918538508709258E8;1.190551105333158E8;1.1900222176505122E8


Energy Efficiency Geral;1;all;all;all; ;1.833343929128208E8;1.8333193999859387E8;1.8300992876874354E8;1.8302195284104756E8;1.8310756793103638E8;1.8306863875661632E8;1.8332771642677987E8;1.832566959984341E8;1.8341412422709793E8;1.83314459098496E8
Energy Efficiency Geral;2;all;all;all; ;1.8315326228313032E8;1.8352270000408867E8;1.8343643310821357E8;1.8338822964286733E8;1.828482891909236E8;1.8342952038016042E8;1.833708180801145E8;1.8345556121180883E8;1.8300447585343462E8;1.8342076793874514E8
