Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.30136918541382246;0.30277080078318136;0.2985610443554369;0.30242174824898105;0.3002749915919837;0.30133367631636226;0.30178041543026707;0.3016884105993017;0.3010850535603011;0.30223910119471475
Percentage of cicuits by modulation;1;16QAM;all; ;0.05940721394511387;0.05923303601447699;0.058794441972012064;0.05898064975663805;0.05814390567194888;0.05856105427706433;0.05851632047477745;0.058169553219058166;0.0579024935460579;0.05893464672838041
Percentage of cicuits by modulation;1;32QAM;all; ;0.02852139846857007;0.02824199513478235;0.029787865301883994;0.02922322029203435;0.028923576077709855;0.029394305162554167;0.02880316518298714;0.029544712713029546;0.029544712713029546;0.02885908695308173
Percentage of cicuits by modulation;1;BPSK;all; ;0.4411764705882353;0.4412119534046635;0.44232804232804235;0.43880337145344467;0.44097572556234793;0.4417258642182955;0.4401681503461919;0.4401341233024401;0.44304210640844305;0.4416587546483108
Percentage of cicuits by modulation;1;64QAM;all; ;0.009991887774282266;0.00982932183612523;0.009434801958166443;0.009833405880258004;0.009525787880586384;0.009854166254427449;0.009970326409495548;0.00991088119800991;0.009772405812009772;0.010582324550992958
Percentage of cicuits by modulation;1;8QAM;all; ;0.15953384380997607;0.15871289282677056;0.16109380408445828;0.1607376043686439;0.16215601321542328;0.15913093377129628;0.1607616221562809;0.16055231896816055;0.15865322796015865;0.15772608592451934
Percentage of cicuits by modulation;2;QPSK;all; ;0.3037037037037037;0.3016216750716899;0.3017673645795215;0.3041091826138555;0.3039603568673221;0.30616079994461315;0.3027485732936394;0.3031939088302185;0.3037932125622973;0.30245412118335707
Percentage of cicuits by modulation;2;16QAM;all; ;0.05892300845571874;0.058409967368733315;0.0589747900821869;0.05925925925925926;0.05894047595497616;0.060213437249646416;0.059362853214910936;0.05852862652032038;0.058084803417451154;0.05950403417180826
Percentage of cicuits by modulation;2;32QAM;all; ;0.030124116105424516;0.029536240482547216;0.029274757444788402;0.028907679374969096;0.030306027576111255;0.030067156576695977;0.02924624407805592;0.03016908929101157;0.03068388576853097;0.030018984337921214
Percentage of cicuits by modulation;2;BPSK;all; ;0.43666122731543294;0.4389103134579254;0.43883454816983314;0.4353854522078821;0.43504579533540383;0.4336198284985214;0.4354891352725331;0.437150202709384;0.43483506051736415;0.4378361809840215
Percentage of cicuits by modulation;2;64QAM;all; ;0.009958957622509024;0.010016810046474834;0.01033517619250131;0.010225980319438263;0.010128385195149452;0.010493833265748168;0.01048394275371636;0.009809156531197469;0.010204888853729926;0.009759136212624584
Percentage of cicuits by modulation;2;8QAM;all; ;0.1606289867972111;0.1615049935726293;0.1608133635311687;0.16211244622459575;0.16161895907103718;0.15944494446477495;0.1626692513871443;0.16114901611786808;0.16239814888062654;0.16042754311026736
Percentage of cicuits by modulation;3;QPSK;all; ;0.2990781769267289;0.30254518846655853;0.304972255467305;0.30537264440094125;0.30275909810126583;0.30037970177589685;0.30116918572445994;0.3015361180624932;0.30146295142289087;0.30111068253073414
Percentage of cicuits by modulation;3;16QAM;all; ;0.06107572400696313;0.0596547086975438;0.05957408927705957;0.0603310197544047;0.06078916139240506;0.06039631372859233;0.0596759515707842;0.060692984104689464;0.05940829104721208;0.060034220494713623
Percentage of cicuits by modulation;3;32QAM;all; ;0.030918658015508783;0.030514575010876874;0.0297029702970297;0.029374542722113463;0.030795094936708862;0.02967408930902187;0.03159373268972066;0.029614536246649323;0.030831775423603075;0.030640200180003758
Percentage of cicuits by modulation;3;BPSK;all; ;0.4359669251463839;0.4350057350789068;0.43157832266743157;0.43321271084218227;0.43167523734177216;0.4355990191037456;0.4336966843396376;0.4337431626425583;0.4338902242400863;0.4375673777804152
Percentage of cicuits by modulation;3;64QAM;all; ;0.01018752967241652;0.010313253965114899;0.010257069663010257;0.010302347195032726;0.01049248417721519;0.009878179013566428;0.01044551713223075;0.010415533289152217;0.010306932945586912;0.01029581936326143
Percentage of cicuits by modulation;3;8QAM;all; ;0.16277298623199873;0.1619665387809991;0.16391529262816393;0.16140673508532558;0.16348892405063292;0.1640726970691769;0.1634189285431669;0.1639976656544575;0.16409982492062078;0.16035169965087184
Percentage of cicuits by modulation;4;QPSK;all; ;0.302508038585209;0.3051417492630621;0.3050381347129757;0.3062810914521377;0.30198906066091014;0.3028576515623609;0.3037277339847884;0.3027767061360556;0.3041852551610893;0.3042975124870185
Percentage of cicuits by modulation;4;16QAM;all; ;0.060093989611674496;0.06103230656616614;0.05978889889107618;0.05962635862846518;0.05935531092054638;0.06083266565773465;0.06070796285123681;0.05963933485671326;0.060874640182801976;0.06041244251026161
Percentage of cicuits by modulation;4;32QAM;all; ;0.031234232005936186;0.03135695491324905;0.03030003264450138;0.030025812704597827;0.030780491182259676;0.03022839451220115;0.031313361092703766;0.02995321047373159;0.030813211597242145;0.030483161070174573
Percentage of cicuits by modulation;4;BPSK;all; ;0.43506307197625527;0.43009476328961166;0.43045237365094124;0.42928209033457615;0.43256876650544496;0.4333659752514911;0.4292778937165577;0.4334015886676361;0.4316520431681719;0.43125463626922506
Percentage of cicuits by modulation;4;64QAM;all; ;0.010942369527578532;0.010218212752487783;0.010367102256427504;0.009880035208133475;0.011404211546640555;0.01071248404997181;0.010404818657461897;0.010406465461811634;0.010228205711572512;0.010039068295336531
Percentage of cicuits by modulation;4;8QAM;all; ;0.16015829829334652;0.16215601321542328;0.164053457844078;0.16490461167208964;0.1639021591841983;0.16200282896624035;0.16456822969725143;0.16382269440405178;0.16224664417912218;0.1635131793679838
Percentage of cicuits by modulation;5;QPSK;all; ;0.30670166922581604;0.30513681998830516;0.301736348418665;0.30845076005311456;0.3053565234626629;0.3086691231823765;0.3076907823638473;0.30559985735371326;0.30225574342405204;0.3051262235960845
Percentage of cicuits by modulation;5;16QAM;all; ;0.060002971915399474;0.061477318903061476;0.06016303648015531;0.05967457439007472;0.060700659035726676;0.05888703989856967;0.06041978564559146;0.06155583512466691;0.061884279173026226;0.060733959497483454
Percentage of cicuits by modulation;5;32QAM;all; ;0.030719698845906186;0.03093192202103093;0.03152764983805307;0.02973819291674099;0.03018680937515485;0.030538056182891557;0.03060647822250424;0.030025062160100646;0.0312692025610022;0.030277810803313123
Percentage of cicuits by modulation;5;BPSK;all; ;0.4262816385160236;0.4298853308754299;0.4321160074881883;0.429464692708643;0.4291164957137902;0.4269186576330283;0.42763803650568605;0.4294148530446067;0.4296418164879383;0.42757500099076606
Percentage of cicuits by modulation;5;64QAM;all; ;0.011204121056020606;0.009900990099009901;0.010281401360948505;0.010603087777711715;0.010158069471284873;0.010400570545584215;0.010707805792129762;0.010074394000931164;0.010257884199885032;0.010294059366702335
Percentage of cicuits by modulation;5;8QAM;all; ;0.16508990044083413;0.16266761811316266;0.16417555641398984;0.16206869215371505;0.1644814429413805;0.16458655255754984;0.16293711147024123;0.16332999831598133;0.16469107415409623;0.16599294574565054


Average of slots by modulation;1;QPSK;all; ;1.8586395203893868;1.8627751517908353;1.841012708302428;1.8464049701238574;1.8583199794250895;1.8528305993628431;1.8576063303659742;1.8559460341638558;1.8577066497858576;1.8629638420761137
Average of slots by modulation;1;16QAM;all; ;0.27651807443461746;0.27630876332496096;0.27072145576818474;0.27438565945154525;0.26965992047005755;0.27012881651067533;0.27559841740850644;0.2683257336722683;0.27043253775927045;0.2732613339662948
Average of slots by modulation;1;32QAM;all; ;0.12135691814566392;0.11849573799023001;0.12522375513029718;0.12137430256024692;0.12020495776208281;0.12371134020618557;0.11983184965380811;0.12556750180512558;0.1244102432221244;0.12088575045494106
Average of slots by modulation;1;BPSK;all; ;3.903880018203043;3.936870834404604;3.935568412203926;3.9055834751295953;3.934051476843334;3.9297445436017178;3.9184075173095945;3.924797974302925;3.9295160285259296;3.922798480892476
