Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.012773056513317338;0.012538859503647172;0.01266404660194335;0.012805048706230476;0.012729266546371411;0.01278462615667743;0.012586263504064183;0.01265196718118144;0.012564190832491733;0.012815206373960298
Relative Fragmentation per spectrum size (c);1;all;3; ;0.02690780910608003;0.02676900013995868;0.026767245215293084;0.027059678022027214;0.027057855225388866;0.027080417618085027;0.02689217426072355;0.026785521163400293;0.026763625304813327;0.026950291874044675
Relative Fragmentation per spectrum size (c);1;all;5; ;0.05131802279811185;0.05072795622048759;0.05104519735299422;0.05143629833913644;0.05145547541043295;0.05153651711499249;0.05117186219927669;0.05084715941587632;0.05061336218222193;0.05152428941950825
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.016974325949627986;0.016828151232172375;0.01672059056951612;0.016371519502535972;0.01644036833111303;0.01661492028660543;0.016647730197315747;0.01683214488449427;0.01664099555541097;0.01677735771465829
Relative Fragmentation per spectrum size (c);2;all;3; ;0.035275697306443185;0.0352555556057293;0.03517508084080903;0.034572569721946854;0.034652533647792756;0.034906959702903625;0.03494239296164708;0.035034250034928896;0.03497222551819329;0.03516899093833654
Relative Fragmentation per spectrum size (c);2;all;5; ;0.06679202543708304;0.06651705367065822;0.06690347044108436;0.06531353091375697;0.0659132212353829;0.06590075778882297;0.0662953757571129;0.0665781562086489;0.06594666259462603;0.06655862351003337
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.021602303995734148;0.02113708066369533;0.021337912373840022;0.02110367469139744;0.021407786533789424;0.021236448775660804;0.02134999558967707;0.02114960317773679;0.020742025559964117;0.02141189904826202
Relative Fragmentation per spectrum size (c);3;all;3; ;0.04483890522775718;0.044755332772932685;0.04482843317379853;0.04444543024196286;0.04488896302388513;0.04444952383843867;0.044664266916502056;0.04432942547085598;0.04365836317449218;0.04431362843445252
Relative Fragmentation per spectrum size (c);3;all;5; ;0.08491397114602647;0.08418101438311494;0.08449533975441866;0.08366248987759942;0.0845727624995727;0.08341999030349694;0.08429485040985822;0.08401778408816611;0.0821082475395724;0.08389018087233996
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.02708674281530498;0.026526969638585154;0.026559542128779565;0.02602483858368851;0.026366554102517065;0.026331238360848965;0.02621162068761135;0.026519133265282168;0.026693697728378835;0.026231945282315608
Relative Fragmentation per spectrum size (c);4;all;3; ;0.05616919069077717;0.055529550422723686;0.05558148803725099;0.05481809746049265;0.054920945982530035;0.0556308269322959;0.05470894599954101;0.05576563131920878;0.05543359690108538;0.05509789294041641
Relative Fragmentation per spectrum size (c);4;all;5; ;0.10550135190027901;0.10425753454336546;0.10443967354623436;0.10290884464101935;0.10342203236378651;0.104318517597838;0.1023713618813259;0.10467244019855994;0.10403437441347303;0.10361757102698435
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.03201467640193549;0.032071920076551054;0.03181935616187772;0.03214801368887996;0.03203987581327418;0.03195739411767551;0.03255801855287337;0.032017055130751905;0.03200375231011357;0.031849358702911244
Relative Fragmentation per spectrum size (c);5;all;3; ;0.0662066977122719;0.06672657741679615;0.06636065881465207;0.06690616032032344;0.06714699272840288;0.06648371164242559;0.06764211520221258;0.0668181301414938;0.06621897790792423;0.06633320538054618
Relative Fragmentation per spectrum size (c);5;all;5; ;0.1240076497289441;0.12524190826963752;0.12412008908517842;0.1257150382493316;0.12573208939697197;0.12463859050557992;0.12672392935920102;0.12509142865390638;0.12415506458444595;0.12401347782688368


