Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.0014317735230515538;0.0010466758168514807;0.001017052916374552;8.689384139899084E-4;0.0012540361201899815;0.0010466758168514807;0.001323156221302815;0.0010960473176463619;0.001273784720507934;0.0013330305214617913
blocking probability;2;all;all;all; ;7.998183128770748E-4;0.001105921617805338;0.0010664244171694332;0.001145418818441243;8.88687014307861E-4;0.0010960473176463619;9.973043160565996E-4;0.0010466758168514807;0.0010466758168514807;9.281842149437659E-4
blocking probability;3;all;all;all; ;0.0012639104203489577;0.001145418818441243;8.590641138309322E-4;0.001056550117010457;7.405725119232175E-4;8.49189813671956E-4;7.603211122411699E-4;0.0010071786162155758;9.084356146258134E-4;0.0011355445182822668
blocking probability;4;all;all;all; ;7.701954124001461E-4;8.88687014307861E-4;8.788127141488848E-4;8.294412133540035E-4;0.001017052916374552;7.405725119232175E-4;7.010753112873126E-4;7.306982117642412E-4;8.09692613036051E-4;0.001017052916374552
blocking probability;5;all;all;all; ;8.689384139899084E-4;8.393155135129797E-4;8.195669131950273E-4;9.281842149437659E-4;0.001056550117010457;0.001056550117010457;7.800697125591224E-4;0.0010269272165335283;0.0010762987173284094;7.998183128770748E-4


blocking probability fragmentation;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability fragmentation;5;all;all;all; ;9.874300158976232E-6;9.874300158976232E-6;0.0;9.874300158976232E-6;0.0;9.874300158976232E-6;0.0;0.0;0.0;0.0


blocking probability per QoT;1;all;all;all; ;0.0014317735230515538;0.0010466758168514807;0.001017052916374552;8.689384139899084E-4;0.0012441618200310053;0.0010466758168514807;0.001323156221302815;0.0010960473176463619;0.001273784720507934;0.001323156221302815
blocking probability per QoT;2;all;all;all; ;7.998183128770748E-4;0.001105921617805338;0.0010664244171694332;0.001145418818441243;8.88687014307861E-4;0.0010960473176463619;9.973043160565996E-4;0.0010466758168514807;0.0010368015166925045;9.183099147847897E-4
blocking probability per QoT;3;all;all;all; ;0.0012540361201899815;0.001145418818441243;8.590641138309322E-4;0.001056550117010457;7.306982117642412E-4;8.49189813671956E-4;7.504468120821937E-4;9.973043160565996E-4;9.084356146258134E-4;0.0011355445182822668
blocking probability per QoT;4;all;all;all; ;7.405725119232175E-4;8.788127141488848E-4;8.590641138309322E-4;8.294412133540035E-4;0.0010071786162155758;7.306982117642412E-4;7.010753112873126E-4;7.20823911605265E-4;7.998183128770748E-4;0.001017052916374552
blocking probability per QoT;5;all;all;all; ;8.590641138309322E-4;8.195669131950273E-4;7.998183128770748E-4;8.788127141488848E-4;9.973043160565996E-4;0.0010368015166925045;7.504468120821937E-4;9.874300158976234E-4;0.0010466758168514807;7.899440127180986E-4


blocking probability per QoT for other;1;all;all;all; ;0.0;0.0;0.0;0.0;9.874300158976232E-6;0.0;0.0;0.0;0.0;9.874300158976232E-6
blocking probability per QoT for other;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.874300158976232E-6;9.874300158976232E-6
blocking probability per QoT for other;3;all;all;all; ;9.874300158976232E-6;0.0;0.0;0.0;9.874300158976232E-6;0.0;9.874300158976232E-6;9.874300158976232E-6;0.0;0.0
blocking probability per QoT for other;4;all;all;all; ;2.9622900476928698E-5;9.874300158976232E-6;1.9748600317952464E-5;0.0;9.874300158976232E-6;9.874300158976232E-6;0.0;9.874300158976232E-6;9.874300158976232E-6;0.0
blocking probability per QoT for other;5;all;all;all; ;0.0;9.874300158976232E-6;1.9748600317952464E-5;3.949720063590493E-5;4.937150079488116E-5;0.0;2.9622900476928698E-5;3.949720063590493E-5;1.9748600317952464E-5;9.874300158976232E-6


blocking probability per other;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per other;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per other;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per other;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per other;5;all;all;all; ;0.0;0.0;0.0;0.0;9.874300158976232E-6;9.874300158976232E-6;0.0;0.0;9.874300158976232E-6;0.0


blocking probability per lack of transponder;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transponder;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability per lack of transmitters;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transmitters;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transmitters;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transmitters;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per lack of transmitters;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probabilities per pair;1;all;8;14; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;13;12; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;2;13; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;13;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;6;7; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;11;7; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;6;14; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;8;1; ;0.0017421602787456446;0.0018248175182481751;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001869158878504673
blocking probabilities per pair;1;all;11;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;10;14; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;7;9; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;4;7; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;8;11; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;12;9; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;12;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;5;9; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;13;9; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;9;5; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;8;3; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;9;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;4;3; ;0.0;0.0;0.0;0.0;0.0019083969465648854;0.0;0.003424657534246575;0.0;0.0;0.0
blocking probabilities per pair;1;all;11;13; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;5;7; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;5;11; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;13;7; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probabilities per pair;1;all;11;4; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
