Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;342583.7829150891;341924.44027726824;342244.8953845571;340546.8963054316;343045.41788650566;342446.90116220346;344191.241669352;341897.6846423036;342171.6552704027;341730.8150490255
Power Consumption Average;2;all;all;all; ;382792.62131841853;383740.82632685197;382797.12006774015;381970.3369701665;383730.1018626835;382681.90059798374;381143.9761660027;382910.7055801609;382876.94904525654;381790.33471981756
Power Consumption Average;3;all;all;all; ;422621.7561039974;425509.5868855486;423276.3942752803;426022.9140700781;422966.51050211664;423314.88657864905;425147.8870581507;423471.832857718;423105.7471800002;423368.7896647613
Power Consumption Average;4;all;all;all; ;463489.58807994344;463472.0971615304;463735.7133621062;467032.05750693515;465737.0392552828;465213.5707011733;464473.30176177144;465581.4815552047;464076.3460055397;466629.5456129495
Power Consumption Average;5;all;all;all; ;506628.17628074536;503388.7308417802;506612.9391966375;503534.80890068784;505104.0794784334;503075.61466096673;504420.357148302;507275.5063827381;504792.34382589685;506157.37758514995


Energy Efficiency Average;1;all;all;all; ;8.930533957163313E7;8.916566499886538E7;8.992471512346825E7;8.858882532636075E7;8.925873159484483E7;8.962439509018156E7;9.023001764834665E7;8.912184497610462E7;8.899901640902162E7;8.904080575707427E7
Energy Efficiency Average;2;all;all;all; ;9.908649092232226E7;9.912063259179792E7;9.876593277224809E7;9.929405629907951E7;9.963925262080614E7;9.912600593557242E7;9.902167418537454E7;9.919736671404381E7;9.896358451797596E7;9.91036351379081E7
Energy Efficiency Average;3;all;all;all; ;1.0738277976857215E8;1.0732181283567159E8;1.0701090671544024E8;1.0752688428805603E8;1.071535959079623E8;1.0691411172080824E8;1.0775530016281182E8;1.0710181773764224E8;1.070339248184353E8;1.0711069134692408E8
Energy Efficiency Average;4;all;all;all; ;1.1423568673154595E8;1.1371315355055489E8;1.1420498528077003E8;1.1420038460202359E8;1.1427492603930004E8;1.1376096908343944E8;1.1390239900211483E8;1.1403392055501458E8;1.1415166031749654E8;1.1401902081371944E8
Energy Efficiency Average;5;all;all;all; ;1.1995951506651969E8;1.189383663160721E8;1.1962208069892329E8;1.1915123091660821E8;1.1963675733237635E8;1.188599194572847E8;1.1918106992344382E8;1.1996782261455737E8;1.1937668477392228E8;1.1940447459262162E8


Energy Efficiency Geral;1;all;all;all; ;1.8326102123398492E8;1.833847445931511E8;1.834092128265545E8;1.8306726353695214E8;1.835012989991801E8;1.8310538152864268E8;1.8341008086740807E8;1.8310334716622108E8;1.832201189141015E8;1.8304704367486283E8
Energy Efficiency Geral;2;all;all;all; ;1.832760532819032E8;1.830693702476018E8;1.8299579834363458E8;1.831418457670496E8;1.8293086824268505E8;1.8332960785640842E8;1.8339480270966718E8;1.833963052418442E8;1.8303717515173125E8;1.8296435116813275E8
Energy Efficiency Geral;3;all;all;all; ;1.8321091662402642E8;1.834699533055006E8;1.8334347579339114E8;1.8327953389366284E8;1.8336634854942355E8;1.8355699425796E8;1.8369479034309098E8;1.832976104934304E8;1.8298806649631137E8;1.8334216156128442E8
Energy Efficiency Geral;4;all;all;all; ;1.8335769643107614E8;1.8337730531390333E8;1.8322775036258808E8;1.830960107105198E8;1.8358119294318482E8;1.8337814856366545E8;1.830561560229154E8;1.8303895392521888E8;1.829043668804485E8;1.833683894768305E8
Energy Efficiency Geral;5;all;all;all; ;1.8322115420625037E8;1.832766457206313E8;1.8346524928692624E8;1.831889370915319E8;1.8335717009188613E8;1.8291748464967847E8;1.8308374887294483E8;1.834183684468157E8;1.8291363832220218E8;1.8304028835606885E8


Energy Efficiency Established;1;all;all;all; ;1.4662817820801958E8;1.4683938494497263E8;1.467072641200526E8;1.4671570861478457E8;1.4690729540890607E8;1.4656342538921693E8;1.467756521709989E8;1.4656262684076497E8;1.466823373795645E8;1.4665504285859886E8
Energy Efficiency Established;2;all;all;all; ;1.466037326102843E8;1.4642197485704336E8;1.466527522626991E8;1.467118997260458E8;1.4672722697524866E8;1.4685988448034716E8;1.4695730411593884E8;1.4685740890922508E8;1.4667707212281057E8;1.4656363605586368E8
Energy Efficiency Established;3;all;all;all; ;1.467179365197519E8;1.4705706260651076E8;1.4709664815473235E8;1.4691836778239483E8;1.4703196449419543E8;1.4712220518565357E8;1.4729266331055665E8;1.4704602400709677E8;1.4670733056899709E8;1.471096702754521E8
Energy Efficiency Established;4;all;all;all; ;1.4708746874851745E8;1.470125838487817E8;1.4688514325245973E8;1.4691003746572718E8;1.4728312972452813E8;1.4699598641502255E8;1.4703183243136814E8;1.4690976252997705E8;1.4656736610764173E8;1.473121850236303E8
Energy Efficiency Established;5;all;all;all; ;1.4712209830735177E8;1.4722380129259503E8;1.4726166422288772E8;1.469937751159157E8;1.471598163770855E8;1.4674621374921304E8;1.469160541938237E8;1.4705838786691108E8;1.467167597228668E8;1.4692631849815333E8


Average Power Consumption Established;1;all;all;all; ;3742327.7094956907;3733113.953083424;3738183.349779323;3702646.0473965;3745058.0006337464;3724455.3111276175;3761519.3047010377;3728432.6563541754;3726986.383014208;3716037.733664083
Average Power Consumption Established;2;all;all;all; ;3741352.38819816;3749084.3434211584;3724341.862467322;3702986.214842394;3708832.6612671106;3711688.535059314;3702694.2594856266;3725840.7077121227;3717846.0033248095;3704398.1990737244
Average Power Consumption Established;3;all;all;all; ;3697954.51663737;3752340.372882649;3724018.2750920933;3731332.578045788;3707972.2046606857;3733829.258491954;3725773.313589821;3710371.545743514;3704575.7648067106;3712677.221153195
Average Power Consumption Established;4;all;all;all; ;3685854.0627938854;3718203.7405378297;3706060.483148212;3722180.376497327;3731743.10579905;3721488.5412841635;3700414.4850205774;3721527.3705531764;3695266.4546777555;3733270.2779931724
Average Power Consumption Established;5;all;all;all; ;3714293.709962579;3693365.5392388455;3727824.046169354;3702969.3375449292;3716101.369061307;3698679.820171203;3704830.685818438;3715138.455516885;3698642.3559866026;3704529.964215556


Average Data Transmitted Established;1;all;all;all; ;5.487306943007439E14;5.4816815680026544E14;5.484186520252582E14;5.4323633859350875E14;5.501763420225889E14;5.458689281079253E14;5.520994491012971E14;5.4644888411415906E14;5.466830740423328E14;5.449756730946766E14
Average Data Transmitted Established;2;all;all;all; ;5.484962251202516E14;5.489483334693478E14;5.4618498449801956E14;5.4327214223888725E14;5.441867317029549E14;5.450981494858399E14;5.441379663395702E14;5.4716731234311575E14;5.453227663711761E14;5.4293006945503825E14
Average Data Transmitted Established;3;all;all;all; ;5.425562560249315E14;5.5180815313594156E14;5.477906059330149E14;5.4820129201976256E14;5.451904375411335E14;5.4932919429605E14;5.4877907425004244E14;5.4559538339064944E14;5.434884213453933E14;5.461707218430284E14
Average Data Transmitted Established;4;all;all;all; ;5.421429442727917E14;5.466227391726715E14;5.4436522496950525E14;5.4682565856541675E14;5.49622803950015E14;5.4704387905826894E14;5.4407872248815306E14;5.4672870225677706E14;5.416054713280419E14;5.4995620193494994E14
Average Data Transmitted Established;5;all;all;all; ;5.464546843394928E14;5.437513142498179E14;5.489655729689981E14;5.4431344206421056E14;5.4686079510969806E14;5.4276725948074425E14;5.442991058166426E14;5.463422719706791E14;5.426528218441044E14;5.442929494082874E14


