Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.2647051481604068;0.2605669427823969;0.2643831596190099;0.2540468472233358;0.26362138809676516;0.26087847908162304;0.26821255864381965;0.26205477574440084;0.2630126957759538;0.2573823001710586
External Fragmentation (Vertical);2;all; ;0.3466126039336081;0.355070221774822;0.3478966470171344;0.34498838212588673;0.34232387082057397;0.3465731951078041;0.3425220414146599;0.34987670829787737;0.34616764222238805;0.34614860590600194
External Fragmentation (Vertical);3;all; ;0.4370393999884827;0.43944233567980207;0.4307352901396215;0.438585494476777;0.4286198107174981;0.4311841185567162;0.4402884959861978;0.43283066437668555;0.4338136341933814;0.43439304836223763
External Fragmentation (Vertical);4;all; ;0.5156209082731518;0.5206360422474885;0.5134908057003861;0.5206555606479706;0.5195025600279257;0.5205828131898336;0.5087913215939817;0.516503627663889;0.518692771358017;0.5146234546336739
External Fragmentation (Vertical);5;all; ;0.591309192832614;0.5878053261150965;0.5964688971663047;0.5900071467360288;0.592633368238755;0.5868570613104438;0.5884950584890032;0.6000239392229233;0.5910150729136439;0.5915339442607128


External Fragmentation (Horizontal);1;all; ;0.21564521033291675;0.20884577078129432;0.21416019595302588;0.20308680699664583;0.2124494951017004;0.20799193866275506;0.218131341893834;0.21199072044849976;0.21305549161958343;0.20753147605892475
External Fragmentation (Horizontal);2;all; ;0.2934249468242458;0.30143737528134107;0.2969261982535809;0.2907190896928499;0.28634354703082476;0.2932375964355836;0.2905552959674212;0.3015902323035389;0.29312842036997694;0.294002497415682
External Fragmentation (Horizontal);3;all; ;0.39187085320128245;0.39201918059550184;0.3821411929838892;0.3913440168014053;0.377869896680207;0.3801547730677718;0.3916097087673146;0.38281641226536933;0.39043479995660024;0.38600640146589993
External Fragmentation (Horizontal);4;all; ;0.4776045317368901;0.48325303981920137;0.47461169602086783;0.4817878708549667;0.4814213530758785;0.48823941710079494;0.4674028019217238;0.47561051060566734;0.4817424047546963;0.47414885412448154
External Fragmentation (Horizontal);5;all; ;0.5632460409402089;0.5575779046841683;0.569539677656607;0.5658034621722624;0.5639338511559898;0.5568544347584581;0.5580202434604832;0.5731727404457242;0.5647965266558657;0.5615025775583592


External Fragmentation Per Link;1;<14-12>; ;0.23601168653439597;0.22914777272870523;0.23642378253300717;0.24185750664192868;0.26639914230817374;0.24016700979955835;0.24517442181132773;0.2402502443215997;0.23436975848185787;0.22795250579251827
External Fragmentation Per Link;1;<4-11>; ;0.3162921770114054;0.29967226111357287;0.2978558976491416;0.2925534933706243;0.3036924097268203;0.3059773907844501;0.31528184279058025;0.31521930589810165;0.309051328287717;0.30371275010198
External Fragmentation Per Link;1;<6-14>; ;0.2031333177739298;0.21702431169625605;0.21665196369705023;0.21190709949756426;0.21001269640925174;0.21187972508057842;0.21530620418790053;0.20997898568437698;0.20239216358292858;0.21830285406993352
