Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.301261767265248;0.30361679203692904;0.3023228229712365;0.29983693235163317;0.30141577521602436;0.30121482301541014;0.30122900167096767;0.3021885688301932;0.29803053072846636;0.3024283652039787
Percentage of cicuits by modulation;1;16QAM;all; ;0.05861878015979748;0.05871479830379472;0.05828803004843333;0.06098730048920294;0.058519368042235974;0.05828975851809384;0.0589090261916768;0.05939977461892806;0.05802618049513565;0.05819771005952263
Percentage of cicuits by modulation;1;32QAM;all; ;0.0296554861166047;0.029564976721658247;0.028743698724918453;0.029213816277116174;0.029116326893797086;0.03022724801565728;0.029019468256557806;0.028775627211798896;0.029907854148540695;0.029177954873539125
Percentage of cicuits by modulation;1;BPSK;all; ;0.4408175777232814;0.4402819101090277;0.4431254324404468;0.44114246182734596;0.44152017875150773;0.4414482983581603;0.4425691375236061;0.4391273403056484;0.44367436526140946;0.44043781763531015
Percentage of cicuits by modulation;1;64QAM;all; ;0.009740131318724785;0.01006256981031364;0.00952851635860433;0.009922419330928496;0.009857038340616535;0.0102009548568209;0.010065355599719198;0.010072952294339773;0.010173613857470537;0.009996242757420554
Percentage of cicuits by modulation;1;8QAM;all; ;0.15990625741634365;0.15775895301827672;0.15799149945636057;0.1588970697237733;0.15957131275581832;0.15861891723585755;0.1582080107574724;0.16043573673909176;0.1601874555089773;0.1597619094702288
Percentage of cicuits by modulation;2;QPSK;all; ;0.30003359949403113;0.30373365229683374;0.3004497602925913;0.30167956740512275;0.30176017710484965;0.30241592692908403;0.3023662673466967;0.3035377148674963;0.3014520545237083;0.3006552743158165
Percentage of cicuits by modulation;2;16QAM;all; ;0.05801842042849237;0.05877759215507953;0.06077200612860179;0.059817906818114414;0.060197859324194775;0.05784780846562939;0.05897876882932036;0.05912006879713741;0.05874445224233198;0.0576503029284733
Percentage of cicuits by modulation;2;32QAM;all; ;0.029468732706142777;0.029250402823222388;0.029466712795927445;0.030210464920865585;0.02962948321358331;0.02918091773590874;0.030028071007788718;0.029258552690106458;0.02972313106052369;0.030441099437630337
Percentage of cicuits by modulation;2;BPSK;all; ;0.44035101589058423;0.43784660096282163;0.4389660455691198;0.43756734580899;0.43641718470494056;0.4371503133587711;0.4395682599928834;0.43753397847124065;0.43851255844297055;0.4387274039079256
Percentage of cicuits by modulation;2;64QAM;all; ;0.009763617677286743;0.010290526981741975;0.00972668412988682;0.009668139624544025;0.010584782028601643;0.010507898222652775;0.009755663622346103;0.009943954056164559;0.01001314657941819;0.01006137637256743
