Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.012949819920977584;0.012954866333002638;0.013004462020587887;0.012650011428445396;0.013123284523940869;0.013171846082075195;0.013201703168238658;0.013020939971688506;0.01299405638049657;0.012772294137871674
Relative Fragmentation per spectrum size (c);1;all;3; ;0.027417351268175794;0.027553261643453775;0.027604399157209504;0.027113054470169113;0.027726897483787365;0.0276502642768181;0.02789261277924578;0.027400329321513938;0.027628734072717022;0.027272868108209645
Relative Fragmentation per spectrum size (c);1;all;5; ;0.0525568762550874;0.052247273784017965;0.05272255757681942;0.05162345686587255;0.052671067625550905;0.05249911207800508;0.05317571067085008;0.05212048454629118;0.05252620891602341;0.05198284734463033
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.017029750849161945;0.01735147647686592;0.01701430958246332;0.01687462016111756;0.017016964317403172;0.016885771355354774;0.016824159610378933;0.017020440933772318;0.016928304678254687;0.016920138063344154
Relative Fragmentation per spectrum size (c);2;all;3; ;0.03604832983968314;0.036299194430838;0.03598715274134437;0.03579388879582677;0.035986600635659845;0.03591313853233913;0.03542379980345424;0.035849961104643197;0.03580796580412304;0.03569090181220363
Relative Fragmentation per spectrum size (c);2;all;5; ;0.06812558701659488;0.06928680345049838;0.06813637250761201;0.06763114244649279;0.06830091472003909;0.06845445964650353;0.06738952685903357;0.06831543416124079;0.0678727923940173;0.06777908409955867
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.02190324828032432;0.021714019129143666;0.021448440620342322;0.022165158502405115;0.021584332940234433;0.021722342301731618;0.02183752810641385;0.021598161865608284;0.021406274255454626;0.02166024415086723
Relative Fragmentation per spectrum size (c);3;all;3; ;0.045725574659185086;0.046050027695477315;0.04547219635203723;0.04605461677204099;0.045273617065604115;0.04512905416715955;0.045695547231451715;0.045395428001375034;0.045041992296685374;0.045297698209570414
Relative Fragmentation per spectrum size (c);3;all;5; ;0.08673366626637866;0.08668709724187273;0.085503626580879;0.08722342628370562;0.08555736378512993;0.08526102123418867;0.08675676810124869;0.0856317314132158;0.08484388116359774;0.08615986723541855
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.02674344216049398;0.026965632773037287;0.02706024965984088;0.027501301235588062;0.02690759133258548;0.027275845389385107;0.026546484617638075;0.026816800180856457;0.026942544873663175;0.027134825366369752
Relative Fragmentation per spectrum size (c);4;all;3; ;0.0559449875180071;0.05601535995136273;0.056203308106213386;0.057173461359972595;0.056256146768906355;0.056706706253156484;0.0555154471726445;0.05653583336369554;0.05594701624419994;0.056347496504474764
Relative Fragmentation per spectrum size (c);4;all;5; ;0.10550546448394572;0.1058872652476909;0.105896307740682;0.10767498712828805;0.10578277732504716;0.10735511889193404;0.10466740725149841;0.10600146240414944;0.10578955205327364;0.10594919172726656
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.033272325426566544;0.03294123020095098;0.033364259116342505;0.03302811233272573;0.03357383441704663;0.03275820274828837;0.032946829784277036;0.03341342399816333;0.033121033840773424;0.033221225106531804
Relative Fragmentation per spectrum size (c);5;all;3; ;0.06853193494600969;0.06768012107731676;0.06905422338759151;0.0682851681946155;0.0689953094773972;0.06816594740822433;0.06810471519219755;0.06924817428031702;0.06855575222576607;0.06864867216777633
Relative Fragmentation per spectrum size (c);5;all;5; ;0.1292145544367809;0.12745144164252364;0.13003928488575758;0.128167310981582;0.1294790412667375;0.12821198973988018;0.1282754893595785;0.13060431318837798;0.1292156184634762;0.12924987065462787


