Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
bandwidth blocking probability;1;all;all;all; ;0.005581872471679624;0.004471746027682208;0.004879259903047202;0.004878055078263405;0.005180258363161367;0.0050611159754109375;0.00477500135981921;0.0060343609537276835;0.004505791067318394;0.00497637494374452
bandwidth blocking probability;2;all;all;all; ;0.005614079453549494;0.005994148260130672;0.006401093673626458;0.005775163589743752;0.00586397110095826;0.005456914289092442;0.005497428199929367;0.006175798399259649;0.005948106603190642;0.006964083253519855
bandwidth blocking probability;3;all;all;all; ;0.00911315985970092;0.00796263013790871;0.007615593740851076;0.008367445763888703;0.008081246086491503;0.007851022824081993;0.007382217472518519;0.007234681368014345;0.008457196642911405;0.008547593449143414
bandwidth blocking probability;4;all;all;all; ;0.013541556607023685;0.014973121500901214;0.013421702487082316;0.013711882038073166;0.013779595337417771;0.01450503701548694;0.0133450785246254;0.014102042172832244;0.013585615291780538;0.015314835266584387
bandwidth blocking probability;5;all;all;all; ;0.032528552990442244;0.026179999349753704;0.028469876287342686;0.031056997527911075;0.03080138551451098;0.029992822599959633;0.03109315896672698;0.02920570706122366;0.028275605206186487;0.029474660233431874


bandwidth blocking probabilities per pair;1;all;8;14; ;3.390669549275079E-4;0.0014444794746231741;1.7300823201080534E-4;0.0;0.0023612146301355023;0.00420177671444419;0.0;7.941623762067606E-4;0.0;2.643629097941661E-4
bandwidth blocking probabilities per pair;1;all;13;12; ;0.0;0.004345319211495925;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;2;13; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.999309183098373E-4
bandwidth blocking probabilities per pair;1;all;13;4; ;0.0011434359559029138;0.0;0.0010480917710186904;0.0;0.0011461814341794001;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;6;7; ;0.0;0.0;0.0;0.003556952769695926;0.0036759502822488943;0.0016378242070761448;0.0;7.374186239954789E-4;0.0;0.0027495898879731874
bandwidth blocking probabilities per pair;1;all;11;7; ;0.0;0.0;0.001168463552638799;0.0032374993898513964;0.014138375205431205;6.0132638499815546E-5;0.0;0.0;0.004392094656501156;0.0
bandwidth blocking probabilities per pair;1;all;6;14; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3202707390698337E-5
bandwidth blocking probabilities per pair;1;all;8;1; ;0.0012303524783059139;0.0027830101785680044;0.008347765361479005;0.001145514729273106;0.006564472653423959;0.010599052017932912;0.005226550110571653;0.005041704736773059;0.0011733670614703473;0.0
bandwidth blocking probabilities per pair;1;all;11;2; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.7969459421716633E-4;0.0
bandwidth blocking probabilities per pair;1;all;10;14; ;4.9003525879426856E-5;0.0016660982803430576;1.0797638418749692E-4;0.0029310783514553945;0.0;0.0;0.0;0.008292457990986168;0.0;0.0
bandwidth blocking probabilities per pair;1;all;7;9; ;0.0;0.003021736423531018;0.0035758135426829257;0.0;0.007663441801596118;0.0;0.0;0.0;0.0041288743082499415;0.0
bandwidth blocking probabilities per pair;1;all;4;7; ;0.0020600875162659917;0.0;0.0012153424897350014;0.0;0.0029021153641431915;9.96806606726793E-4;0.0029407974797118165;0.001555977747740314;0.0013900766136810446;1.421270320230988E-4
bandwidth blocking probabilities per pair;1;all;8;11; ;1.0834471731527538E-5;0.0;0.0;0.0;0.0;0.001289961292142052;0.0013512902796537518;0.0;5.717221270169195E-4;0.0
bandwidth blocking probabilities per pair;1;all;12;9; ;0.0012180948453561556;0.0;9.070222418510977E-4;0.0;7.479299217793025E-5;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;12;5; ;0.0;0.007154781721953488;5.871265036684253E-4;0.0;0.0;0.0;0.001238090443666707;0.004361956616925464;0.0019428094114861132;0.0010036940313850543
bandwidth blocking probabilities per pair;1;all;5;9; ;0.0037895272950215345;0.0;0.01466697884293149;0.0;0.0030757129370328753;0.002620548389445829;0.0;0.0;0.0;4.0294048036368E-4
bandwidth blocking probabilities per pair;1;all;13;9; ;9.978104747842655E-4;0.0;0.0;0.0;0.0;0.0;5.397006344097927E-5;0.005739281079981982;0.0;0.001605515684184127
bandwidth blocking probabilities per pair;1;all;9;5; ;0.0;0.002723944744679019;0.0;0.0025459695017843727;0.0;0.0;0.0;0.0;0.0;0.0034401507186563344
bandwidth blocking probabilities per pair;1;all;8;3; ;0.0;0.001116347749949021;0.007724108110388745;0.0;0.003213633302783432;0.0053310168579254625;0.012071828717189821;0.014163567915960676;0.0013539684813565825;0.0013579360515387309
bandwidth blocking probabilities per pair;1;all;9;2; ;0.0;0.0024068327123544855;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;4;3; ;0.011320075939331414;0.010833479278219128;0.015721320252862523;0.010843583551651138;0.0061159354645528565;0.003993516326426256;0.014713902096535733;0.010297938471234981;0.010224190935644084;0.008698956506035613
bandwidth blocking probabilities per pair;1;all;11;13; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;5;7; ;0.0012191987527257935;0.001529833039675043;0.0;0.01375129209633118;0.018152337344390406;0.003193393672936666;9.421666815247727E-5;1.5335599394815128E-4;1.532424705057867E-4;1.4499547668951864E-4
bandwidth blocking probabilities per pair;1;all;5;11; ;0.010281632139344445;0.0;0.0;0.00882904633854054;3.0830792645762195E-4;0.0;3.991964991234521E-4;0.0027829528983548193;5.009798061396658E-4;0.0026596138396864726
bandwidth blocking probabilities per pair;1;all;13;7; ;0.008328115049934371;3.8948431983761294E-4;0.0;0.0023676822259512983;0.0;0.0;2.359440548298009E-5;0.0034678629531522003;0.0;0.0030893147386434417
bandwidth blocking probabilities per pair;1;all;11;4; ;0.0034654948492050695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;12;7; ;0.0010971020594938233;0.0;0.0;0.001090322867357554;0.002390877050216428;0.0;0.0;2.485445487004181E-4;0.0;3.846572763573354E-4
bandwidth blocking probabilities per pair;1;all;3;13; ;0.0;0.0;0.0;0.0;0.003767125442306375;0.0;7.553331852538059E-4;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;14;11; ;6.352429710839085E-4;0.0;0.0;0.0;0.0;3.6087574627249435E-4;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;7;5; ;0.024421090104905858;0.006882562213504145;0.004440542130054927;7.634654783744702E-4;9.764425741407974E-4;0.006998023862769041;3.103410904322529E-4;0.003894236525087869;0.0;6.381006796513654E-4
bandwidth blocking probabilities per pair;1;all;14;6; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;12;4; ;0.0;0.0;0.0;0.0;0.011810774090681845;0.0;0.0;2.7478233085903E-6;0.0;0.0
bandwidth blocking probabilities per pair;1;all;13;14; ;0.0;0.0;0.0;0.0;0.0;0.001733599412302369;0.0;0.0;0.0;0.0
bandwidth blocking probabilities per pair;1;all;9;4; ;0.0;0.00189797960047124;2.930151506378105E-4;0.003241481188102637;0.013251549689776989;0.0024267777419707125;0.004269612833170711;0.0025055721370445417;0.0;0.0
bandwidth blocking probabilities per pair;1;all;13;1; ;0.0;0.007812181184410919;1.3036410943812496E-4;0.0013602803505347613;0.0022636749706614226;1.2582583164419213E-5;0.0;0.0117327520027516;0.008029656681225036;0.004456673219606584
bandwidth blocking probabilities per pair;1;all;2;1; ;3.3841361933082905E-4;0.003737481549147375;0.0029409632434144305;1.966830408513172E-4;6.745902697973959E-4;0.0014016640652859574;2.913102330630922E-4;8.44423331574256E-4;0.002130934759964991;7.385854457734877E-4
bandwidth blocking probabilities per pair;1;all;10;9; ;0.001782902173480652;0.0042036028865768595;0.0;1.6968308069407835E-4;0.0;0.006462096630297384;0.0;0.0;0.0010345798262671338;0.0
bandwidth blocking probabilities per pair;1;all;7;10; ;0.0;0.0021995597635934634;0.0;0.0;3.6226314280644975E-4;0.0;0.0;0.0;5.120163637122524E-4;0.0
bandwidth blocking probabilities per pair;1;all;9;3; ;2.9994195133113905E-4;0.0;0.0;7.171648702952722E-5;0.0;0.004415474586490339;0.01604153132309201;7.849816425745897E-5;5.041964258109834E-4;0.0014125508691005418
bandwidth blocking probabilities per pair;1;all;8;2; ;0.004347292102638812;0.002316949267575983;8.622412889688797E-4;0.0021989884843453514;7.751203835970901E-4;0.01303403434409046;0.004049474914116612;0.003681325832640928;0.003478108274194187;0.0
bandwidth blocking probabilities per pair;1;all;2;8; ;2.0808642915218033E-4;0.0018407328059790533;0.008410036583131305;0.0;0.0010323463239981753;0.026379625328646215;0.0;6.058192822390715E-4;2.2028595596091703E-4;4.6319757123151764E-4
