Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
blocking probability;1;all;all;all; ;0.004769286976785521;0.005124761782508665;0.004542178073129067;0.004739664076308592;0.004690292575513711;0.004719915475990639;0.004621172474400877;0.005174133283303546;0.004571800973605995;0.0046112981742419
blocking probability;2;all;all;all; ;0.005776465593001096;0.00584558569411393;0.005559230989503619;0.0054999851885497615;0.005736968392365191;0.005322247785688189;0.0059344543955447155;0.005904831495067787;0.0059344543955447155;0.005648099690934405
blocking probability;3;all;all;all; ;0.008294412133540036;0.00749459382066296;0.0072674849170065075;0.007425473719550127;0.007534091021298865;0.007692079823842485;0.007237862016529578;0.007119370414621864;0.007741451324637366;0.007909314427339963
blocking probability;4;all;all;all; ;0.01048650676883276;0.012244132197130528;0.011473936784730382;0.011543056885843216;0.011483811084889358;0.011720794288704789;0.011513433985366287;0.011187582080120072;0.011918280291884313;0.012797093006033197
blocking probability;5;all;all;all; ;0.021190248141162996;0.019847343319542226;0.019926337720814036;0.02086439623591678;0.020192943825106394;0.02013369802415254;0.02135811124386559;0.020795276134803947;0.019876966220019155;0.020123823723993562


blocking probability fragmentation;1;all;all;all; ;0.0;9.874300158976232E-6;0.0;0.0;0.0;0.0;9.874300158976232E-6;0.0;0.0;0.0
blocking probability fragmentation;2;all;all;all; ;9.874300158976232E-6;0.0;0.0;0.0;9.874300158976232E-6;9.874300158976232E-6;0.0;0.0;9.874300158976232E-6;0.0
blocking probability fragmentation;3;all;all;all; ;0.0;3.949720063590493E-5;1.9748600317952464E-5;0.0;1.9748600317952464E-5;1.9748600317952464E-5;9.874300158976232E-6;2.9622900476928698E-5;1.9748600317952464E-5;0.0
blocking probability fragmentation;4;all;all;all; ;2.9622900476928698E-5;2.9622900476928698E-5;2.9622900476928698E-5;1.9748600317952464E-5;0.0;9.874300158976232E-6;0.0;4.937150079488116E-5;2.9622900476928698E-5;9.874300158976232E-6
blocking probability fragmentation;5;all;all;all; ;5.9245800953857396E-5;6.912010111283363E-5;6.912010111283363E-5;2.9622900476928698E-5;4.937150079488116E-5;2.9622900476928698E-5;3.949720063590493E-5;9.874300158976232E-6;0.0;1.9748600317952464E-5


blocking probability per QoT;1;all;all;all; ;0.004068211665498208;0.004255823368518756;0.003821354161523802;0.004087960265816161;0.003900348562795612;0.003692988259457111;0.0038904742626366356;0.0042755719688367085;0.0038904742626366356;0.003920097163113564
blocking probability per QoT;2;all;all;all; ;0.003979342964067422;0.0038312284616827783;0.003811479861364826;0.0038509770620007307;0.004038588765021279;0.003683113959298135;0.0037621083605699447;0.004087960265816161;0.003959594363749469;0.003929971463272541
blocking probability per QoT;3;all;all;all; ;0.004640921074718829;0.004216326167882851;0.004255823368518756;0.0041274574664520655;0.004157080366928994;0.004117583166293089;0.003920097163113564;0.004097834565975136;0.004186703267405923;0.004512555172652138
blocking probability per QoT;4;all;all;all; ;0.005263001984734332;0.005964077296021645;0.0054308650874369275;0.005835711393954953;0.0052827505850522845;0.005983825896339597;0.005885082894749835;0.005855459994272906;0.005796214193319048;0.006043071697293454
blocking probability per QoT;5;all;all;all; ;0.011157959179643143;0.00993354595993009;0.010417386667719925;0.011157959179643143;0.010812358674078974;0.010624746971058426;0.011789914389817621;0.010950598876304642;0.010832107274396928;0.010674118471853308


blocking probability per QoT for other;1;all;all;all; ;7.010753112873126E-4;8.590641138309322E-4;7.20823911605265E-4;6.517038104924313E-4;7.899440127180986E-4;0.0010269272165335283;7.20823911605265E-4;8.985613144668372E-4;6.8132671096936E-4;6.912010111283363E-4
blocking probability per QoT for other;2;all;all;all; ;0.0017872483287746982;0.0020143572324311516;0.001747751128138793;0.0016490081265490308;0.0016885053271849357;0.0016292595262310783;0.0021723460349747713;0.0018168712292516269;0.0019649857316362705;0.0017181282276618644
blocking probability per QoT for other;3;all;all;all; ;0.003653491058821206;0.003238770452144204;0.0029919129481697985;0.0032980162530980616;0.003357262054051919;0.003554748057231444;0.003307890553257038;0.0029919129481697985;0.0035349994569134915;0.003396759254687824
blocking probability per QoT for other;4;all;all;all; ;0.005193881883621498;0.006250432000631956;0.006013448796816525;0.00568759689157031;0.006201060499837074;0.005727094092206215;0.005628351090616453;0.0052827505850522845;0.006092443198088335;0.006744147008580767
blocking probability per QoT for other;5;all;all;all; ;0.009973043160565995;0.009844677258499303;0.009439830951981278;0.009676814155796708;0.00933121365023254;0.009479328152617183;0.009528699653412064;0.009834802958340327;0.00904485894562223;0.009429956651822302


blocking probability per other;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per other;2;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per other;3;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per other;4;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
blocking probability per other;5;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0


blocking probability per lack of transponder;1;all;all;all; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
