Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;340296.8531336108;340101.14033690613;340217.04580826237;341606.4442542422;339254.1447580363;340568.28559872566;341457.8153008197;340269.2224685742;340794.0708447452;341738.055580267
Power Consumption Average;2;all;all;all; ;381662.05389768106;381423.9003937831;381866.33413249545;383374.28974574385;381896.87540430843;382728.1464846479;381850.8066114444;382180.89056510216;381487.2726580643;379797.3041914516
Power Consumption Average;3;all;all;all; ;421407.03491097846;423464.0562566562;421413.97739080567;421500.84157356975;422153.623568183;421538.9923195775;420465.60572985484;423765.4499173484;422358.8466633702;420937.3568447691
Power Consumption Average;4;all;all;all; ;459757.8043468629;463156.14722027717;459643.33085974585;463997.3888056954;464912.67349698185;459061.69000109617;459662.5855843223;462934.5693379295;462002.10662604583;461841.2785105594
Power Consumption Average;5;all;all;all; ;496654.96071549325;495748.22337345174;497639.2083783416;499007.5609437855;498307.53560475115;493741.1414143907;496666.35983153404;495800.7764328102;495039.65515764966;496068.09582949843


Energy Efficiency Average;1;all;all;all; ;8.852291012582958E7;8.881454006350902E7;8.842058557079431E7;8.860499220121498E7;8.823415050402474E7;8.849965525816834E7;8.886292843763304E7;8.825863195696062E7;8.899795814976661E7;8.888550955094974E7
Energy Efficiency Average;2;all;all;all; ;9.884763574031696E7;9.842903599469894E7;9.879823649946754E7;9.911421445898911E7;9.880440472349751E7;9.885033224821173E7;9.826079905174299E7;9.861793211977208E7;9.864827331618346E7;9.848758514892165E7
Energy Efficiency Average;3;all;all;all; ;1.065004231037619E8;1.0703610023513827E8;1.0694356244271927E8;1.065458064627784E8;1.0689067333817434E8;1.0631758519654112E8;1.063684982633513E8;1.0775303756768511E8;1.0647660310976635E8;1.0681735633343811E8
Energy Efficiency Average;4;all;all;all; ;1.1300985223320864E8;1.1326973390275453E8;1.1379839457221642E8;1.1392052837336844E8;1.1386734636888383E8;1.1304599149867903E8;1.1327144579242422E8;1.132985386490893E8;1.1342383363519736E8;1.1334195521880186E8
Energy Efficiency Average;5;all;all;all; ;1.1785738873422635E8;1.1815571462609933E8;1.1808848399518946E8;1.1815100067068356E8;1.1839155579259008E8;1.1752358946462385E8;1.1780082523952459E8;1.1813342832953186E8;1.1794238658187674E8;1.1800503489105639E8


Energy Efficiency Geral;1;all;all;all; ;1.8328106990469489E8;1.8298324186337712E8;1.8318873095985556E8;1.831241863430994E8;1.82853784931309E8;1.828826137118733E8;1.8326515710475436E8;1.8322865665453178E8;1.8335354648445758E8;1.83465241474909E8
Energy Efficiency Geral;2;all;all;all; ;1.8337430312215382E8;1.8309462100012207E8;1.8380634214060205E8;1.8323960027508184E8;1.8325373820881784E8;1.832630008226569E8;1.832158614482294E8;1.8336939288374949E8;1.8338469891991213E8;1.8332922610638136E8
