Metrics;LoadPoint;link; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
External Fragmentation (Vertical);1;all; ;0.24049494867920124;0.23960079658711542;0.23977227255478256;0.2429908920587974;0.2371338117369126;0.24050810476251913;0.24368831070204394;0.24190014689348086;0.24132284859507783;0.24066258022947346
External Fragmentation (Vertical);2;all; ;0.3210060892409266;0.31850880523653846;0.32154790011375184;0.32415317294122026;0.31961697647175014;0.32345572789084936;0.3210644443665467;0.3183376370386022;0.3161174899887909;0.31513902955904133
External Fragmentation (Vertical);3;all; ;0.4058579870703027;0.4073778646372596;0.40819187832890463;0.4036829399658287;0.4051189288753843;0.40640754117985467;0.4018774979793234;0.40947960063887284;0.4099529397570745;0.4031625545511393
External Fragmentation (Vertical);4;all; ;0.4852517363984919;0.49573536397702833;0.4904324398593171;0.4965906065924396;0.4971593827208984;0.48935149092508784;0.4877785672331678;0.4985405825308504;0.4968740594218717;0.49716044693255845
External Fragmentation (Vertical);5;all; ;0.5630008062836367;0.5570431615551427;0.5638398001161145;0.563373182199841;0.5608257340007724;0.5563170357009285;0.5642257376482752;0.5636655604547056;0.5580771711448058;0.5630131752325961


External Fragmentation (Horizontal);1;all; ;0.1763484110329958;0.1755848191096519;0.17536564883469807;0.17929577828414583;0.1739547110214285;0.1773282464350138;0.1821919931179884;0.17699022186214772;0.17785974373686658;0.17675641612620302
External Fragmentation (Horizontal);2;all; ;0.24533207635014026;0.24442640650402042;0.24898340430844662;0.2461348408625552;0.24193982458040286;0.24913390521179854;0.24571926163746097;0.2430379272635307;0.24115394319643793;0.23874715047489495
External Fragmentation (Horizontal);3;all; ;0.32660071558348946;0.3302381983482462;0.32939693282765675;0.3244641128672319;0.32544565306887346;0.3278746424545519;0.3240812892378991;0.33371103173627265;0.3335849601978169;0.32513435424390963
External Fragmentation (Horizontal);4;all; ;0.4115506628797929;0.42503578101077044;0.4195957609548249;0.4291707381700792;0.42844380065587634;0.42126408076640914;0.4186327493415541;0.43224462290664795;0.42911414963481787;0.43196140880472766
External Fragmentation (Horizontal);5;all; ;0.508147866196969;0.5007690398908152;0.5060134777965262;0.5098272508088587;0.5042916377298446;0.5029503561391182;0.5104548462436531;0.5107406722551082;0.5079800328323419;0.5062387352100685


External Fragmentation Per Link;1;<14-12>; ;0.24386599134322226;0.23191180796597785;0.23815914053788426;0.2410393353400563;0.23000925527203755;0.23137847360333547;0.22777793030150886;0.24617669067309725;0.2432207345932286;0.23289557049011722
External Fragmentation Per Link;1;<4-11>; ;0.25817934202853043;0.26063102207940325;0.2630714158828847;0.27965675838407755;0.25599368037722975;0.2714860422328351;0.2688168735088182;0.26270453416986794;0.2657901526310993;0.2600010258987604
External Fragmentation Per Link;1;<6-14>; ;0.21961720505683624;0.21211139244958713;0.20847106792253117;0.20880052568634114;0.20885319685215464;0.2085946398059232;0.21077514480119922;0.22187703793416033;0.21755948643552414;0.20945791020485055
External Fragmentation Per Link;1;<12-11>; ;0.2802791925429509;0.2799731143275884;0.2768478960980231;0.2890363778081299;0.28000224589777806;0.2962208068249711;0.2926821156795462;0.2908606101546294;0.2847377230478472;0.28567854336108767
External Fragmentation Per Link;1;<12-14>; ;0.2657512301826025;0.27499244054977035;0.2789104554530219;0.28614237505461165;0.27251241468085047;0.27714767632392795;0.27680745123293155;0.2845456449390207;0.27759439950893827;0.27147479288776966
External Fragmentation Per Link;1;<14-13>; ;0.2727194907023822;0.2639161587525068;0.28054714297149336;0.26572022450954574;0.27016585571015583;0.26181784009513215;0.27250819750046373;0.2728437173251017;0.2658450414421828;0.2735905620408466
External Fragmentation Per Link;1;<6-10>; ;0.2115052310514946;0.21945303368670144;0.2156802994121454;0.22993290227485672;0.2170594470393942;0.21309807785625404;0.224095085279998;0.22884857035431397;0.22211154085161605;0.21867520455522668
External Fragmentation Per Link;1;<11-4>; ;0.25186214670627194;0.25968103263460623;0.2600575070081647;0.26208870745299206;0.26223726994300434;0.2667538289045198;0.27619951114574776;0.25890865942439556;0.2606840263912278;0.2651506550541015
External Fragmentation Per Link;1;<1-2>; ;0.2256733771474753;0.23201775747074882;0.23426404085340213;0.22939246039753614;0.22331298201931135;0.23670430436678289;0.23731424256205574;0.2288170583373876;0.24142745779246358;0.23125577386202062
External Fragmentation Per Link;1;<2-1>; ;0.22592849310205945;0.2309267610652056;0.2276387565589907;0.23206711707062436;0.23130998047086757;0.2302876059802246;0.22638184096743924;0.2307783780524589;0.23304671085925577;0.23546856130289423
External Fragmentation Per Link;1;<1-3>; ;0.1524894369932819;0.15699020550664422;0.1517614205994937;0.15976789327078306;0.14036054665682376;0.14338932662391166;0.15615222388649055;0.15756803034205577;0.1576981202235937;0.1471281165699168
External Fragmentation Per Link;1;<3-1>; ;0.15220104177003954;0.1575040457710559;0.170607392865064;0.15747628715885068;0.17387251393621442;0.14843429192852728;0.15517225503620707;0.16527267146720287;0.15249990137635777;0.16970365229178347
External Fragmentation Per Link;1;<2-3>; ;0.22476725718760457;0.23625039391088734;0.23588821471015142;0.22846998352106782;0.2389879738222239;0.23594491899265524;0.23481888242111;0.23519392792386978;0.23333852895650806;0.2315903283694618
External Fragmentation Per Link;1;<3-2>; ;0.23116147214630697;0.2333712438628681;0.2363215461688039;0.23568094410615265;0.22339237150589178;0.2355556787366747;0.22753224772728717;0.23705993463197186;0.24295128997207424;0.23495911039532985
External Fragmentation Per Link;1;<13-9>; ;0.24348159545329567;0.24333094965867572;0.25022606547956905;0.23771294476310886;0.23264189116998915;0.23763312546035248;0.24837813414409454;0.253909558814907;0.23765548629955432;0.24296635353576662
External Fragmentation Per Link;1;<2-4>; ;0.25703843370372587;0.2619312763140845;0.25558314077146654;0.2758933523342489;0.25934721212540374;0.2690625342417397;0.26163964316447497;0.25944234510730063;0.26748163643148415;0.25908813188193913
External Fragmentation Per Link;1;<4-2>; ;0.2532606175730814;0.258437055194808;0.26340160587846834;0.2567249963104723;0.25275404750858926;0.26326046291663224;0.2716165318294883;0.25712226306228947;0.26004519813939;0.2613664453596429
External Fragmentation Per Link;1;<12-9>; ;0.25561577678812;0.2478530347369047;0.2513141839089474;0.24553232098897776;0.246646747305084;0.25702521588289373;0.25085259430312545;0.25234727056682876;0.24735841525620098;0.24742213770219898
External Fragmentation Per Link;1;<14-6>; ;0.22745123381267643;0.2081493039057317;0.21268008040724162;0.21874176318534289;0.2250286930726449;0.206502537922291;0.22646887542747285;0.22173643239257879;0.21697079297586347;0.215073231591312
External Fragmentation Per Link;1;<1-8>; ;0.24004870474525455;0.2366554177842829;0.24150531714233098;0.2445787003401753;0.23069646339277441;0.23243857653506203;0.2485200362546081;0.2375717385105405;0.24929059836494588;0.23713533938837958
External Fragmentation Per Link;1;<3-6>; ;0.20452412465184383;0.2032479475851171;0.2025022587972987;0.20604662049516076;0.2009140018453226;0.1959652482991143;0.20055031912296345;0.20962939627212707;0.20154055480684338;0.20089036582989905
External Fragmentation Per Link;1;<4-5>; ;0.26359278987946844;0.2611964818713603;0.24959021727911443;0.26815621893676134;0.26115925667442286;0.277707419209898;0.2712855369257547;0.2616598776680601;0.2642564733767121;0.25590856199202977
External Fragmentation Per Link;1;<5-4>; ;0.27199705352681575;0.2716145758065802;0.2673443711243808;0.2574426200160495;0.2563674322834153;0.26610547731511197;0.2676000336218451;0.2671378020273646;0.26211133305889645;0.26976880073595294
External Fragmentation Per Link;1;<6-3>; ;0.20795563902236125;0.1980955218147923;0.2064774820972216;0.21400719996377637;0.2069136289233534;0.20167080617349364;0.2158134890551326;0.20459076935988882;0.20954170215113638;0.20217585620190284
External Fragmentation Per Link;1;<8-1>; ;0.2397523617068825;0.23690063176355813;0.24665467749589665;0.23428019968348382;0.24062101633684788;0.24089174998602858;0.2416490880826636;0.24028403009834132;0.23364764881908984;0.24986775117865168
External Fragmentation Per Link;1;<10-9>; ;0.21272035262101274;0.21482905547459524;0.20705105412811287;0.2205853979442355;0.21030315710235742;0.21236613443097588;0.22075796233644096;0.22114875357668123;0.2172846076385835;0.22106367557622683
External Fragmentation Per Link;1;<5-6>; ;0.19509744679351473;0.20605073957693132;0.20410467797278095;0.21148479710372312;0.2040650041097149;0.2058780621761682;0.21227446122049157;0.20559255751680677;0.19940639694924295;0.2013247744414793
External Fragmentation Per Link;1;<6-5>; ;0.20819870439802005;0.205835673186434;0.20438855088372263;0.21037160729530963;0.20450150452402222;0.1906119980175065;0.19665975365435823;0.20497670041539318;0.20503592077219476;0.2040917507237984
External Fragmentation Per Link;1;<10-7>; ;0.24147390474980013;0.2358613054846094;0.23247305368564958;0.23602437565048026;0.22770333647994295;0.22992104562611893;0.24206931714159785;0.23068525704672788;0.2272861593981899;0.2426487758755424
External Fragmentation Per Link;1;<5-7>; ;0.26305644790696486;0.26046087426866865;0.2539511135477961;0.26697573574170974;0.2645851026414424;0.2718666855363441;0.2629441720102726;0.2532559704197736;0.26474062892709693;0.255749639478261
External Fragmentation Per Link;1;<7-5>; ;0.26388019433456283;0.25915037622446735;0.25835712023891017;0.2634109284402444;0.25510982530243453;0.25432445227258127;0.2607535117011382;0.2589989394956709;0.2608920113396161;0.2693219887064884
External Fragmentation Per Link;1;<10-6>; ;0.22907281578013255;0.2218683997210287;0.2285188559763832;0.23310014252803404;0.21940099867399523;0.2223093157588583;0.2278976057178618;0.22583560873460737;0.2200710752839275;0.22134043777770657
External Fragmentation Per Link;1;<13-11>; ;0.29185467417515004;0.29085959408329043;0.2963378549612036;0.29393425074532464;0.28875483457495227;0.2950795547147493;0.301676192823574;0.2946811773698336;0.2915934285836003;0.2981247678530738
External Fragmentation Per Link;1;<7-8>; ;0.2587315387399979;0.25911632339765533;0.2552162729338522;0.2603769544293444;0.25612436701548164;0.2583480556082271;0.2609814298564251;0.25190435363911784;0.2531145160048942;0.2509302843720185
External Fragmentation Per Link;1;<8-7>; ;0.26246916444385854;0.2581523440597918;0.26141367118390346;0.26107316208492737;0.24976837760186618;0.26273119273406803;0.25646379250439416;0.26214430559693597;0.25771268733823155;0.2653686481479692
External Fragmentation Per Link;1;<13-14>; ;0.25244528982748593;0.24309543585905835;0.23799652914141342;0.2439480451858147;0.25053849233953507;0.25140740196841604;0.25216259515524114;0.250192833817308;0.24685897800655188;0.2472022770607129
External Fragmentation Per Link;1;<8-9>; ;0.23940331269133197;0.2403333767338136;0.2342454749255911;0.24268740225317703;0.23777811695783002;0.23778934897962095;0.2424159176963052;0.2394273935877032;0.24573026327390257;0.23544003196105254
External Fragmentation Per Link;1;<9-8>; ;0.2417543854255585;0.24109909717463582;0.24344260802425938;0.2415128514962235;0.23252729139789263;0.24887637462253717;0.24958230627415987;0.24844722405832598;0.24271649566373657;0.24681386044681883
External Fragmentation Per Link;1;<11-13>; ;0.28319713466836466;0.27901436704263605;0.2785074798102317;0.29272580863935665;0.27549733352997663;0.2956557212044986;0.28859591568358123;0.27930940995592274;0.2850068021299018;0.28342837924618747
External Fragmentation Per Link;1;<11-12>; ;0.2997754780158994;0.30098039532718573;0.2990321784840519;0.3073575760211244;0.2914656771818281;0.2927024887064609;0.2998728063213671;0.2963232767240594;0.30408978623579735;0.29390776752333714
External Fragmentation Per Link;1;<9-10>; ;0.21930817437557984;0.21962553021882894;0.21231997161929309;0.2155998238811489;0.21399740319330576;0.21161894314807436;0.21279322268083298;0.20781659427646051;0.20688520468669022;0.21310799898194016
External Fragmentation Per Link;1;<7-10>; ;0.2388726132933802;0.23863453809760105;0.2289628439929624;0.2364908001663472;0.2286836550232829;0.24123022898310018;0.2358289285774054;0.2397272225946789;0.24486749717735817;0.2385875059803898
External Fragmentation Per Link;1;<9-13>; ;0.2441062810212017;0.23940049303946517;0.24706765865149477;0.23599509210501218;0.23799755277865733;0.2460877008692626;0.25108831961804123;0.24232137921477756;0.24522948951399692;0.2403106386634323
External Fragmentation Per Link;1;<9-12>; ;0.2556405897988148;0.25092452439337826;0.24108732482506948;0.25355566982268035;0.2439255611741742;0.24847523797509133;0.256059175934239;0.24393055566257207;0.25127843549801804;0.2516975445987165
External Fragmentation Per Link;2;<14-12>; ;0.3102419487710224;0.31997512464526007;0.3120902078730548;0.3107378743144089;0.32426254634008844;0.34394108593551576;0.3191091188255694;0.3059051939344068;0.32312474991928286;0.3233469011174492
External Fragmentation Per Link;2;<4-11>; ;0.3434967708847936;0.35397584914968183;0.3436198012999544;0.360844375550536;0.3429963705420155;0.3593113342057684;0.3645884446223142;0.3521391264132106;0.3486533752380091;0.3429479699353228
External Fragmentation Per Link;2;<6-14>; ;0.2883142736825546;0.2703393864728583;0.28590681112169397;0.2984976959240793;0.28504686289804027;0.29710071169508717;0.2908554591845794;0.29021900666823164;0.2785806624350534;0.28989467614402864
External Fragmentation Per Link;2;<12-11>; ;0.38340627409777317;0.37195400327488576;0.37619620699494954;0.37804214605719527;0.37112018778984474;0.3880643359390099;0.3920505473259011;0.3932339163006556;0.37805942267901227;0.36938442438295155
External Fragmentation Per Link;2;<12-14>; ;0.3612321750655155;0.3554363968518593;0.35492636547604056;0.3616353728127028;0.35762525312967014;0.3558507821774389;0.3684187059485476;0.3653510780243687;0.3582863899318106;0.3543880808756386
External Fragmentation Per Link;2;<14-13>; ;0.35527969442222995;0.35345691307393906;0.3473195754345034;0.35022214482382563;0.3568309968376182;0.36646704153284626;0.3545557334244782;0.34145289027279796;0.35204517112693645;0.34432621593175716
External Fragmentation Per Link;2;<6-10>; ;0.30391810882479064;0.29688880463174205;0.2959647949653064;0.30559866401243896;0.29819912446620095;0.2945258494612424;0.2913603968317883;0.2884408343770175;0.29060353169033026;0.30237302231603747
External Fragmentation Per Link;2;<11-4>; ;0.35391804245936437;0.3508743463585612;0.364690408628775;0.34376093966743415;0.346349556216527;0.3493356965939231;0.3555381956977772;0.347495430760061;0.35125399598657586;0.3421617099864826
External Fragmentation Per Link;2;<1-2>; ;0.28353300864873743;0.31087314227917534;0.2957969339212928;0.30519491329504433;0.30519250112435997;0.31364046882531205;0.3030746183644198;0.3123861372964206;0.2897012091127522;0.30219173030308283
External Fragmentation Per Link;2;<2-1>; ;0.3097535334167912;0.29909534458907794;0.3052186155518897;0.3044889813300651;0.3171750418857721;0.3061015195649968;0.30397156167079553;0.28439245322523576;0.30472982351539096;0.3020572696406127
External Fragmentation Per Link;2;<1-3>; ;0.22655307244329367;0.2028499799252803;0.2253984964369578;0.22316702052302353;0.2129080100799364;0.2183380209479287;0.22207083676087894;0.1992641230917113;0.21631237303794512;0.20934786290151192
External Fragmentation Per Link;2;<3-1>; ;0.24170310629400357;0.2345797039593096;0.2373616889408011;0.22154832550503176;0.22604884050577354;0.21887873548538767;0.22976493911259027;0.21745025819204122;0.22216110869619274;0.21278792815133774
External Fragmentation Per Link;2;<2-3>; ;0.3162389850719403;0.30882450387278254;0.31995929807833495;0.3064321656068064;0.32454629801217116;0.3154002981605434;0.3068471565023397;0.30975264229077376;0.3161771002515067;0.30424143093473754
External Fragmentation Per Link;2;<3-2>; ;0.3205421045686297;0.3156778311998348;0.3117309853294897;0.33593911378071495;0.31918166008647414;0.3119289606397865;0.3143212069837569;0.3128659560003133;0.322193584137762;0.3123773940793413
External Fragmentation Per Link;2;<13-9>; ;0.3275527491850457;0.32106448004555976;0.3293108867285146;0.318659279364257;0.32268762925844474;0.3287766680103545;0.323834019020212;0.3299959085795296;0.30680760020073816;0.3121390135832709
External Fragmentation Per Link;2;<2-4>; ;0.3519267986442732;0.35814147110284383;0.3494076011566556;0.35616512812294104;0.3498174407155671;0.3593954821792941;0.3695048877680829;0.3532988129408408;0.33892160721322023;0.344641199038621
External Fragmentation Per Link;2;<4-2>; ;0.34998661010357773;0.35164415764087253;0.36794998750562796;0.34135034354146254;0.34549167222498395;0.34836693705254984;0.3492153635823082;0.34894376153817264;0.356175168654029;0.3378363943630091
External Fragmentation Per Link;2;<12-9>; ;0.3266639751552041;0.3358513960856624;0.3353949877102359;0.34406504227362644;0.3289392870169064;0.32920843676533396;0.3296091820682475;0.33089486369545273;0.3323682980008752;0.32426908523800574
External Fragmentation Per Link;2;<14-6>; ;0.2851875526526613;0.2872759718644656;0.2901503236840308;0.29557112424803367;0.2877926320941099;0.291171058918871;0.2905998723738966;0.29067109729065277;0.28230894543107743;0.2954482244156594
External Fragmentation Per Link;2;<1-8>; ;0.32962012493431586;0.31663326274155773;0.32473065885057406;0.3260302457128119;0.30455452993020204;0.3151299896768771;0.33184807912302666;0.3301757784587026;0.31886372054797646;0.3164813383344917
External Fragmentation Per Link;2;<3-6>; ;0.28051476576213596;0.267985357874309;0.2819435192091292;0.29181983477268747;0.27659846419630363;0.2792911232816859;0.27387706330038114;0.2624451497470725;0.2659190999450562;0.2749274373258666
External Fragmentation Per Link;2;<4-5>; ;0.3561930313692125;0.3459690003288305;0.3432894966103663;0.3581878839512143;0.3494416179809631;0.34804834480257235;0.34213347215972834;0.33928302863830073;0.3382463048196206;0.34005261187628255
External Fragmentation Per Link;2;<5-4>; ;0.33085409711891894;0.34947104919195054;0.35294101824050106;0.35172094963887;0.3430378116112633;0.3640209418577371;0.3409582680806963;0.3483464438848193;0.3463562479332101;0.3386985515645184
External Fragmentation Per Link;2;<6-3>; ;0.27923115807447546;0.277611341068732;0.28365220659020973;0.28367473359016765;0.2802382558270095;0.2885356006733746;0.2807006670640769;0.2734946114722624;0.2734537830834402;0.2819232143207324
External Fragmentation Per Link;2;<8-1>; ;0.31743225887020476;0.31311607605270736;0.3274078055448149;0.3103699728003329;0.3177524122856974;0.32937865076927936;0.3052966013188965;0.3157403604657041;0.32153694171627234;0.30439590192106525
External Fragmentation Per Link;2;<10-9>; ;0.28365049867168757;0.2826445406774967;0.27989051692671923;0.2896167166597016;0.28623910325536434;0.2855193688775361;0.29813652725058964;0.2876319146959006;0.28330877731148013;0.28743076370760645
External Fragmentation Per Link;2;<5-6>; ;0.2764059523269397;0.2724082616855379;0.2672486884771432;0.27341233801362624;0.26704992325984084;0.2772534464264255;0.2695169767015869;0.2662468855626855;0.2665444867321517;0.2769161876851792
External Fragmentation Per Link;2;<6-5>; ;0.27507913186192584;0.27529221688724226;0.26972333829201284;0.2776127253333537;0.2677817134767568;0.26646367426565254;0.24973106920967775;0.2580618569684368;0.2607930609037572;0.27539972353721864
External Fragmentation Per Link;2;<10-7>; ;0.3170690955146849;0.31020062241482077;0.31272740688012635;0.3270705456269691;0.3190438516474875;0.317880454317829;0.3121757101073461;0.31488388948900164;0.3127667445915188;0.31535262831854804
External Fragmentation Per Link;2;<5-7>; ;0.3496363564733471;0.3412418237941012;0.33585456878900993;0.3578416335113405;0.34743809584328417;0.3491173396903275;0.337834007209685;0.3363753624671958;0.33238931708639546;0.32746520039575794
External Fragmentation Per Link;2;<7-5>; ;0.33755058224269796;0.35170116337073737;0.3553453831474067;0.3396353584367473;0.33941741231435385;0.3588046997322187;0.3469421586245396;0.3517516641082803;0.33708177884503465;0.3373074550700222
External Fragmentation Per Link;2;<10-6>; ;0.30068415229985757;0.2986304661037412;0.30740480274660636;0.30116872971067166;0.30924640346856125;0.30582930452072693;0.2939449371830981;0.3008673134269789;0.29836981126163303;0.29400483078393563
External Fragmentation Per Link;2;<13-11>; ;0.3894852294885535;0.38936050885521634;0.3932205718572895;0.38484923999980525;0.39237875229875874;0.3872642998881813;0.38761209526991064;0.38001516263272167;0.3839961336565832;0.38399055403226323
External Fragmentation Per Link;2;<7-8>; ;0.34301071248646686;0.3345905007704233;0.32663000206661125;0.35144938179030716;0.3343983489394473;0.33427842275263947;0.33313520945419756;0.32991358660871595;0.33458576224944325;0.32197439158772884
External Fragmentation Per Link;2;<8-7>; ;0.34006981041043893;0.3367003920595056;0.350025188800758;0.33465402368434133;0.3412315719202134;0.3414900931246725;0.32693042749926615;0.34384968590524384;0.32549365760555776;0.3313851386294175
External Fragmentation Per Link;2;<13-14>; ;0.3257283547502602;0.32746264515958834;0.33391480500126297;0.3444795457676372;0.32942655814079935;0.32719560963710675;0.3357125849221744;0.3300103121818869;0.32111090126686237;0.3333098724627067
External Fragmentation Per Link;2;<8-9>; ;0.3252359262735929;0.31319341555920804;0.31816236198848274;0.33001979212777466;0.31317754713984636;0.3156723697148696;0.3214546947685761;0.3214474480396208;0.3211499212023606;0.308429779580238
External Fragmentation Per Link;2;<9-8>; ;0.3148569541215789;0.3229903120947603;0.32894817613671434;0.3093689633375906;0.31714175657294125;0.32834649573767943;0.3112523199825185;0.32770505060302757;0.3259834909341702;0.30952356720990865
External Fragmentation Per Link;2;<11-13>; ;0.37476621707911345;0.36479193746071864;0.37255997548323233;0.3654128061114036;0.3743118970323304;0.3786925712078939;0.3816061192519999;0.36856615196330744;0.3589407899228364;0.3562332640554738
External Fragmentation Per Link;2;<11-12>; ;0.3831263909152079;0.39927135027341043;0.39027132633907063;0.40090093873947596;0.3861686146825624;0.3944782739947295;0.40165127732146566;0.3916148877915984;0.38908232374248986;0.3868117208863456
External Fragmentation Per Link;2;<9-10>; ;0.29075420865184703;0.2828410759321093;0.28548080257183783;0.29546410006906554;0.28951373673273706;0.28475506433803915;0.28181480119554014;0.2752924264387978;0.2790833321364883;0.2840911534136974
External Fragmentation Per Link;2;<7-10>; ;0.3025988152724001;0.3071744807494542;0.3094905610602632;0.31753729811507814;0.3195864998591475;0.31358336860861447;0.3153950273589258;0.31831597717184584;0.28812980445738073;0.3076178829807288
External Fragmentation Per Link;2;<9-13>; ;0.3295166806037773;0.31569034418073894;0.3266302053207125;0.3307551775920082;0.3200016777258847;0.3180138757291901;0.3205978898712676;0.328473145467381;0.3286263500636493;0.3164084164161818
External Fragmentation Per Link;2;<9-12>; ;0.33174863663505616;0.3186364780973103;0.3222202412362862;0.34776602356717196;0.31575849739134193;0.32720521948064174;0.3472873218304576;0.33219444461722064;0.3288929002329315;0.3298251811633995
External Fragmentation Per Link;3;<14-12>; ;0.4140456523606758;0.39094869794932163;0.4046751692588143;0.40596817041305616;0.3959504159337477;0.3998859667504549;0.41063662600095113;0.40619468988839164;0.4045089104927387;0.4005778361759959
External Fragmentation Per Link;3;<4-11>; ;0.45502583069069014;0.46867282827312984;0.45910943898791046;0.4688413500976134;0.44981134732422295;0.44204891932474466;0.4512282655104635;0.46715061103206396;0.4740532805465869;0.4528292677405065
External Fragmentation Per Link;3;<6-14>; ;0.364564417610083;0.3672354012087448;0.3675453214587334;0.359492443391173;0.36196698039007724;0.3636863798809141;0.37322251329381784;0.35492104643645933;0.35594833899581885;0.36855554266982
External Fragmentation Per Link;3;<12-11>; ;0.47616410794935665;0.484394101905324;0.47543366406741927;0.4732346959794382;0.46464162711043244;0.4655063114455878;0.4844325501861969;0.4873405039923059;0.47402231150329927;0.4769334101129198
External Fragmentation Per Link;3;<12-14>; ;0.4496216384136519;0.45861188859324237;0.4560771811849229;0.4558239094086885;0.4496504604645252;0.459802558915342;0.4405098331298514;0.4771821720898915;0.4549598165501307;0.4397848870839796
External Fragmentation Per Link;3;<14-13>; ;0.43858463074977916;0.4474385914798725;0.4463018843807512;0.44447078294608955;0.4491040123965627;0.452367645784224;0.44748656043930213;0.44611261200180496;0.45557260634398855;0.4376165548059889
External Fragmentation Per Link;3;<6-10>; ;0.38550518036599996;0.38260102954132824;0.37426029072297967;0.3756223343287743;0.3915211036158317;0.3793480787485546;0.37954623469742943;0.3820641000814997;0.3835423630354044;0.37257775369354607
External Fragmentation Per Link;3;<11-4>; ;0.4575546376730296;0.454685973974716;0.46078925473970384;0.4574954117338533;0.4445427369897841;0.4522493119245426;0.44517657719840675;0.45979867723762885;0.46910481127437337;0.4529373055150606
External Fragmentation Per Link;3;<1-2>; ;0.38367911801132787;0.3907835702327807;0.38110218831174947;0.37473660502790934;0.3853154007844386;0.37159080037621134;0.3906558404815639;0.37421787551955404;0.37719091910777813;0.3743041022620423
External Fragmentation Per Link;3;<2-1>; ;0.3640604680626887;0.3795295859777236;0.3799667053298899;0.3788073974953578;0.36142730834302744;0.389478970296571;0.39152919124440794;0.3759527266248161;0.37780448390330806;0.3687066561749934
External Fragmentation Per Link;3;<1-3>; ;0.281375064250031;0.30109729019500914;0.2833664941948678;0.27412595044632077;0.2837597347879657;0.28043496998493483;0.25337483954549606;0.2695415174979363;0.2819998574424399;0.27589414870028217
External Fragmentation Per Link;3;<3-1>; ;0.28621955776360913;0.29153335740165237;0.2941324893187919;0.28313044062775755;0.29179819084683123;0.2933049911978782;0.2847108542120943;0.27635514036175496;0.28997040809006813;0.2967430905188262
External Fragmentation Per Link;3;<2-3>; ;0.38826470348423825;0.3992745176301928;0.4065803321896927;0.38786149430396727;0.3909445470576711;0.40224245346094856;0.3750016206702268;0.3858010277780681;0.38908130053017903;0.39857574638111526
External Fragmentation Per Link;3;<3-2>; ;0.3909164929273675;0.4135995435030809;0.3957714472065136;0.3905972959851144;0.3968053863143373;0.38879577046109626;0.3882884618884666;0.38457295424039317;0.369910159718233;0.4002847983345723
External Fragmentation Per Link;3;<13-9>; ;0.4003206800516293;0.4062636649699929;0.40550089514605975;0.4085351402800842;0.42197729067017625;0.4059385440199039;0.40645143872589923;0.4155078771959542;0.4175070097982576;0.407962384392443
External Fragmentation Per Link;3;<2-4>; ;0.4475049790864352;0.4745524108739668;0.4605629744713183;0.4658470171649855;0.45903740298850243;0.4464532987360323;0.45063340070527746;0.46724093235313324;0.47177471797306836;0.45555228526258973
External Fragmentation Per Link;3;<4-2>; ;0.4547758333045213;0.4523700752097896;0.46290523710620773;0.45314504482702994;0.44707205513430065;0.46596999931698524;0.4497021621997454;0.4694653441998367;0.4633608511790285;0.44410606870645486
External Fragmentation Per Link;3;<12-9>; ;0.41661129216644843;0.41691875264419365;0.42018949103850345;0.4134492691787628;0.42805998414354;0.425296280015783;0.4171679582416034;0.425756305569438;0.4336109761864018;0.4141862130757365
External Fragmentation Per Link;3;<14-6>; ;0.3799136189789703;0.3751824725878021;0.3733943894458604;0.3893263944035908;0.35965431310043466;0.38667466177166077;0.3676367430526106;0.3834258789929733;0.37899296268461574;0.3726372484903541
External Fragmentation Per Link;3;<1-8>; ;0.4086877924976198;0.41586998449862567;0.40923661092610975;0.3906015650408406;0.3904033261021949;0.386697305722229;0.4076883126727465;0.4049986979413186;0.3975732835701609;0.4038631296105673
External Fragmentation Per Link;3;<3-6>; ;0.35685482548277775;0.36367501177306594;0.35516329740885366;0.3580211816079947;0.36879271751062914;0.3539852234294133;0.36146347167354836;0.3605336864024975;0.35477929442284956;0.3530646104566423
External Fragmentation Per Link;3;<4-5>; ;0.4204732369765556;0.4444027955254484;0.42890800056630424;0.4162628132091937;0.43954500050924916;0.43503583223666936;0.4252572395781625;0.44011986014034177;0.4385987366075584;0.43245384105587525
