Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.3038198233951781;0.30102030688607895;0.3027387340918334;0.3010030458464377;0.3025456854302665;0.30183044793888586;0.3044194236397004;0.3017300419855284;0.3045432000793572;0.3026109556970815
Percentage of cicuits by modulation;1;16QAM;all; ;0.05949995039190396;0.059670087539948784;0.05886145635979487;0.057861160993322946;0.059207523958808704;0.058653703060667695;0.05852884281533654;0.05912713773833984;0.058119234202956054;0.057526337717992974
Percentage of cicuits by modulation;1;32QAM;all; ;0.029318384760392897;0.029497588185084463;0.02866693779572079;0.029873106267300307;0.02919700787714042;0.029812986755295402;0.02966122712167055;0.02986630140249531;0.030036702708064675;0.029908933992024284
Percentage of cicuits by modulation;1;BPSK;all; ;0.4384859609088203;0.4417194354566568;0.4388124547429399;0.4410226900677626;0.43910593464156034;0.43916860955404535;0.43715093497346363;0.4416520263228419;0.43821049499057635;0.43846596432752016
Percentage of cicuits by modulation;1;64QAM;all; ;0.00982240301617224;0.009825912618853842;0.01010782339579221;0.010040379788278948;0.009851385940197226;0.010347735502753112;0.010445910421110064;0.009717218036903593;0.009780775716694773;0.009771243775172113
Percentage of cicuits by modulation;1;8QAM;all; ;0.1590534775275325;0.15826666931337713;0.16081259361391884;0.1601996170368974;0.16009246215202683;0.16018651718835258;0.1597936610287188;0.15790727451389094;0.15930959230235095;0.1617165644902089
Percentage of cicuits by modulation;2;QPSK;all; ;0.30423685046877486;0.30407922050833824;0.3047562307615927;0.3052345208308511;0.3032713621737576;0.302529433954772;0.30406667196439924;0.3030047181524708;0.30440440241576605;0.30271794719019673
Percentage of cicuits by modulation;2;16QAM;all; ;0.059639679008422056;0.05931605764742106;0.059725945784927015;0.059533738432821004;0.05891232669924125;0.05939404768995572;0.05790090591226955;0.05910106779240129;0.05983788938334393;0.06035689814401048
Percentage of cicuits by modulation;2;32QAM;all; ;0.03084776736055935;0.030164579215542157;0.02986793764273657;0.030352674848087693;0.029803757994676838;0.0309230249965255;0.02985934520025429;0.029798857710454433;0.030425540368722186;0.029751442388854132
Percentage of cicuits by modulation;2;BPSK;all; ;0.4336266486572382;0.4348586128465152;0.4338993148644623;0.43476706779459073;0.43726413220514043;0.43531478944547025;0.4362782104259377;0.43582815992053636;0.43483788938334395;0.43889335756348
Percentage of cicuits by modulation;2;64QAM;all; ;0.009931670109645638;0.010736881834705654;0.010465693575613147;0.010574288097223878;0.009921344297461566;0.010363928762880458;0.010161713286713286;0.010141544574124658;0.010509376986649714;0.00955303323700857
Percentage of cicuits by modulation;2;8QAM;all; ;0.16171738439535993;0.1608446479474777;0.16128487737066827;0.15953770999642558;0.16082707662972232;0.1614747751503961;0.16173315321042595;0.1621256518500124;0.1599849014621742;0.15872732147645008
Percentage of cicuits by modulation;3;QPSK;all; ;0.30722969541883643;0.30525100980957875;0.30307250067139463;0.30266312511813454;0.3058203163864292;0.3000278623599419;0.30643524965187985;0.3041610311082823;0.30299833812656113;0.3013675451867187
Percentage of cicuits by modulation;3;16QAM;all; ;0.059163820656557106;0.06026026225202459;0.05965962779872087;0.061499587150943585;0.06112824594567705;0.0612673393436424;0.059150586831112;0.06009825761794892;0.05920050950850342;0.05981766064177084
Percentage of cicuits by modulation;3;32QAM;all; ;0.02979100494857268;0.030791730505203254;0.030913991863691974;0.030719949065369425;0.03130036812257487;0.030459529922184408;0.02983887010145216;0.030909380221179093;0.030640169570798795;0.030018313559996814
Percentage of cicuits by modulation;3;BPSK;all; ;0.4299184530980853;0.43121356228983027;0.4339198504033341;0.43388943603824076;0.42941995821311313;0.4343542898083468;0.430664412174259;0.433427480308696;0.4344654638816189;0.4370073254239987
Percentage of cicuits by modulation;3;64QAM;all; ;0.010604084314916412;0.009839425353682074;0.010453862756994937;0.010445578535828334;0.0102477365436275;0.010727008577626524;0.01080167097672568;0.010323016946455566;0.01044890485525779;0.01003264591129867
Percentage of cicuits by modulation;3;8QAM;all; ;0.16329294156303206;0.16264400978968105;0.16198016650586353;0.16078232409148338;0.16208337478857826;0.163163969988258;0.1631092102645713;0.16108083379743815;0.16224661405725999;0.16175650927621626
Percentage of cicuits by modulation;4;QPSK;all; ;0.3058247098621908;0.3037097757739946;0.30620011786916523;0.30799968033245423;0.3063430226750574;0.3068061467138261;0.3051434964587891;0.3041941282204913;0.3024403893430336;0.3078308010842494
Percentage of cicuits by modulation;4;16QAM;all; ;0.06012314017423237;0.060480041586276526;0.05918430542098271;0.060047550547430675;0.06002397362900809;0.05877944967328098;0.059666157211783394;0.06040543239464749;0.06013031399276478;0.059763745661502145
Percentage of cicuits by modulation;4;32QAM;all; ;0.031054475057628404;0.03124968760309098;0.0314151292065807;0.030678094781427315;0.031065827589651384;0.03127310512958855;0.031026801322584834;0.03023766726582784;0.03092958647292787;0.03022695219900577
Percentage of cicuits by modulation;4;BPSK;all; ;0.43031204159224035;0.4315076024911779;0.43132123343089174;0.428414448973068;0.428169014084507;0.4279319784984913;0.4305892694816546;0.42999800279608547;0.4297663542062239;0.42743831081148664
