Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.012708603882031289;0.012637455785090543;0.012586248219083518;0.012645749845865702;0.012512202447856984;0.012722685449403186;0.012683363751108078;0.012744737070183046;0.012601881352357552;0.012620272904928726
Relative Fragmentation per spectrum size (c);1;all;3; ;0.02662811231911246;0.026665302104894525;0.02674387348188385;0.026884527882991567;0.026650386904138325;0.026566633665430286;0.026868700857178244;0.02668651603743035;0.026704189757219422;0.026611644527926588
Relative Fragmentation per spectrum size (c);1;all;5; ;0.05064451371670976;0.05096534594042388;0.05075381064130041;0.05114423001580919;0.05062567587471163;0.05090139535851299;0.05111242893033482;0.05068398487691081;0.05075202880236733;0.05089684674611293
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.016465384138633243;0.016644233773327556;0.016370611987936816;0.016861474032390758;0.016680212140822423;0.01664583098495825;0.016498726334565544;0.016356889842896308;0.016322302264146184;0.016412989255720337
Relative Fragmentation per spectrum size (c);2;all;3; ;0.03461947319239287;0.034653680447551106;0.03451058378769427;0.03518873010058483;0.03475075764318398;0.03495579654230307;0.03453929232561013;0.0346087710468009;0.03423804529835755;0.03421783697421017
Relative Fragmentation per spectrum size (c);2;all;5; ;0.06550856362361811;0.06578974633175345;0.06570833249272726;0.06657887936078487;0.06567690933828355;0.06626310114908336;0.06584391112415598;0.06530077527217816;0.06506585245894166;0.0650796417989139
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.02072057038941414;0.021039322668211437;0.020996509679469373;0.02065928690989481;0.020819881176626732;0.020741733695457544;0.020686967614272817;0.021029151064165606;0.021148612525565585;0.020836519969267792
Relative Fragmentation per spectrum size (c);3;all;3; ;0.04332798940208383;0.043832324298071816;0.04378292393060294;0.043070141603708915;0.04358272277225005;0.04351629758783466;0.04331736082359785;0.0437810752791696;0.043910050291401985;0.04315828773622788
Relative Fragmentation per spectrum size (c);3;all;5; ;0.08170948702145446;0.08293325085368393;0.08239256620104042;0.08164054771608506;0.08229327860924958;0.08189435494543337;0.08163604083937821;0.08281731290782864;0.08263717968866857;0.08160576983755524
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.025524280802015464;0.02585772311754512;0.02560000544382399;0.02605717686791104;0.02614945350255531;0.025434609723715956;0.025451143626781532;0.02578244759208087;0.025502577463410496;0.025683809499318883
Relative Fragmentation per spectrum size (c);4;all;3; ;0.052856552705528914;0.053982546478093404;0.053096955777463754;0.05395471298674089;0.05422921432708189;0.05319404237773882;0.0530368328516226;0.0539653769552843;0.05355156101440232;0.05350698261587843
Relative Fragmentation per spectrum size (c);4;all;5; ;0.099959252212907;0.10177909438421627;0.10053637052398406;0.10181702278769722;0.10200106561538291;0.10011324267810165;0.10015420158567949;0.10220368521627524;0.10090589443549682;0.10104358772148193
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.03053901785774341;0.030506244992403925;0.030839790737341763;0.03052051609825045;0.030466619142613244;0.029831381629475604;0.03082087186404595;0.030570785833065852;0.03038204916015679;0.030576417704533287
Relative Fragmentation per spectrum size (c);5;all;3; ;0.06326925113844661;0.06271816035811047;0.06352628919245687;0.06312364323014105;0.06302370386226878;0.062460246072435714;0.06321290342516976;0.06315414951273568;0.06257601833732981;0.06307998111225563
Relative Fragmentation per spectrum size (c);5;all;5; ;0.11911372119577167;0.11830180795379387;0.11991452305527582;0.11879821509302715;0.11921795887063781;0.1180124446960489;0.11907434843141054;0.1188663192913203;0.11816139081402265;0.11860900472548798


