Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
bandwidth blocking probability;1;all;all;all; ;0.025615762;0.018150082;0.02679123;0.020327896;0.020686989;0.023361253;0.021650703;0.020737087;0.024876808;0.019560414;;0.022175822;0.002845266;0.001763482
bandwidth blocking probability;2;all;all;all; ;0.023074869;0.014684564;0.018302253;0.01886544;0.020778965;0.016983096;0.018703205;0.018289326;0.018584655;0.01565006;;0.018391643;0.002386348;0.001479046
bandwidth blocking probability;3;all;all;all; ;0.015798845;0.016442937;0.017930658;0.012785533;0.016035886;0.015652975;0.015534879;0.013384187;0.014501759;0.01431949;;0.015238715;0.001518432;0.000941116
bandwidth blocking probability;4;all;all;all; ;0.012251107;0.016533594;0.013670865;0.013600739;0.019079634;0.015188833;0.012768967;0.015447309;0.016537022;0.013591552;;0.014866962;0.002099172;0.001301056
bandwidth blocking probability;5;all;all;all; ;0.01963163;0.014177138;0.017171517;0.017230774;0.019382881;0.018299927;0.017181954;0.015643785;0.017338522;0.017642868;;0.0173701;0.001611597;0.00099886
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
bandwidth blocking probabilities per pair;1;all;2;6; ;0.001690219;2.76E-04;0.004474204;0.008216662;0.008902467;0;0.02046154;0.005822746;0.007809929;0.006624055;;;;
bandwidth blocking probabilities per pair;1;all;1;19; ;0.084547469;0.021821176;0.034202547;0.079631259;0.05158271;0.062212467;0.084599659;0.033183394;0.04731385;0.124940409;;;;
bandwidth blocking probabilities per pair;1;all;1;6; ;0.040727636;0.017655373;0.045062069;0.010711473;0.001487038;0.015096582;0.043980473;0.021333616;0.002782367;0.023003524;;;;
bandwidth blocking probabilities per pair;1;all;24;4; ;0.00459271;0.041852144;0.047142733;0.003449913;0.00662093;0.015256898;0.006262307;0.011154722;4.10E-04;0.089244812;;;;
bandwidth blocking probabilities per pair;1;all;11;18; ;0.024247506;0.010653863;0.135463081;0.065776108;0.024214097;0.030045813;0.041696242;0.012188891;0.008014133;0.024017044;;;;
bandwidth blocking probabilities per pair;1;all;5;10; ;0.017822937;0.008391606;2.90E-04;0.012653465;0.035178874;0;0.04671416;0.013730614;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;10; ;0.02256457;0;0.054788597;0.008690855;0;0.002160104;0.008848698;0.014225789;0.007070755;0.032622463;;;;
bandwidth blocking probabilities per pair;1;all;13;17; ;0;0;0;0.015119257;0.001905846;0.019504224;0.006504964;0;0.01914614;0;;;;
bandwidth blocking probabilities per pair;1;all;16;8; ;1.82E-04;0;0.006256884;0.002110354;0.060590826;0.032764383;0.059769962;0.058929827;0.053575004;0.010904667;;;;
bandwidth blocking probabilities per pair;1;all;22;21; ;0.031353655;0;0.013688566;0;0;0;2.51E-04;0;0.011329266;0;;;;
bandwidth blocking probabilities per pair;1;all;22;23; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;6;12; ;0.073944974;0.042770212;0.024938359;0.003527483;0.018549163;0.004868433;0.142483425;0.02968389;0.030493294;0.011185942;;;;
bandwidth blocking probabilities per pair;1;all;16;12; ;0.004419876;0.009324955;0.026486008;0;0.007170345;0.037582255;0.006586681;0.019767744;0.001364088;0.013091093;;;;
bandwidth blocking probabilities per pair;1;all;24;11; ;0.058692449;0.028809881;0.04190814;0.031400287;0.005350633;0.004958551;0.001706914;0;0.098991186;0.006042948;;;;
bandwidth blocking probabilities per pair;1;all;12;10; ;0.016022502;0;0.01157535;0.020922327;0.001926013;5.61E-04;0.071612868;0.017684555;0.017496596;0.021754214;;;;
bandwidth blocking probabilities per pair;1;all;9;8; ;0.025884916;0;5.81E-04;0.007300803;2.38E-04;0.047748016;0;0;0.009931633;0;;;;
bandwidth blocking probabilities per pair;1;all;22;1; ;0.051596045;0.120310666;0.115313484;0.081441947;0.083992567;0.040248557;0.046371587;0.053816515;0.102176499;0.03601813;;;;
bandwidth blocking probabilities per pair;1;all;22;12; ;0.019132469;0.006441833;0.015645667;0;0.038369413;0.045238763;0.001151941;7.81E-04;0.046677522;2.71E-04;;;;
bandwidth blocking probabilities per pair;1;all;13;2; ;0.027969817;0.061210772;0.02690912;0.026659685;0.077426888;0.021309973;0.023543635;0.025303849;0.034380015;0.068367325;;;;
bandwidth blocking probabilities per pair;1;all;18;15; ;0.027823037;0.0378089;0.04636202;0.018408522;0.018887736;0.019500943;0.022489597;1.03E-04;0.001262058;0.04578311;;;;
bandwidth blocking probabilities per pair;1;all;21;17; ;0.033060574;0.001789201;0.00649768;0;2.57E-06;0.001957325;0.019200893;0;0.024111231;0.00174392;;;;
bandwidth blocking probabilities per pair;1;all;1;14; ;0.036590387;0.053601813;0.056103957;1.84E-04;0.006997396;0.034715062;0.016785861;0.028137135;0.038618494;0.070683802;;;;
bandwidth blocking probabilities per pair;1;all;20;5; ;0.011139007;0.04679584;0.073694395;0.021016095;0.015637524;0.041968207;0.017335694;0.009144013;0.015185229;0.029174387;;;;
bandwidth blocking probabilities per pair;1;all;11;13; ;0;0;0;0.009940762;0;0.01441806;0.002514403;0.041066159;0;0.011369661;;;;
bandwidth blocking probabilities per pair;1;all;9;10; ;0.041491026;0.009902812;0.037018973;0.010611415;0.00456815;0.010525033;0.036555535;0.004758248;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;24; ;0;0.05045975;0.058474623;0.009506083;0.00336805;0.039517645;0.004636647;0.00335417;0.001044188;0.054949493;;;;
bandwidth blocking probabilities per pair;1;all;5;24; ;0.036220178;0;0.002757267;0.01007204;0.00843081;0.047883088;0.002170491;0;2.77E-04;0;;;;
bandwidth blocking probabilities per pair;1;all;24;15; ;0.011014482;0.001773321;0;0.021681269;0.009488872;0.003237558;0.086654448;0.038823573;0.004786054;0.056152399;;;;
bandwidth blocking probabilities per pair;1;all;21;22; ;0;0.026270132;0.003331925;0;0.006874035;0.04463417;0;0.006523801;0;0.016757942;;;;
bandwidth blocking probabilities per pair;1;all;17;9; ;0.007339281;0.024760968;0.085469602;0.022691733;0.016703946;0.107499825;0.020722498;0.021676122;0.047020985;0.025359296;;;;
bandwidth blocking probabilities per pair;1;all;14;13; ;0.0118307;0.006108597;0.001251104;0;0;0.002269091;0.002025129;0;0;2.89E-04;;;;
bandwidth blocking probabilities per pair;1;all;19;10; ;0.03763597;0;0.01858328;0.003491835;0.041068717;0.065086743;0.003330278;0.001355654;0.016989344;0.010462187;;;;
bandwidth blocking probabilities per pair;1;all;10;11; ;0.012011416;0.021926754;0.008637198;0.018126971;0.018406102;0.029826209;0.054760467;0.010104583;0.003959329;0.00184731;;;;
bandwidth blocking probabilities per pair;1;all;13;1; ;0.039919388;0.024138478;0.074588522;0.042111254;0.023397236;0.068757328;0.063012095;0.026807158;0.029047253;0.010110508;;;;
bandwidth blocking probabilities per pair;1;all;3;18; ;0.033370934;0.020415083;0.005289396;0;2.70E-04;0.004584792;0.016832654;0.007297973;0.00867794;0.020383904;;;;
bandwidth blocking probabilities per pair;1;all;8;5; ;0.004195754;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;4; ;0.018735694;0.025610245;0.021019045;0.020774123;0.037360885;0.02112821;0.014439596;0.008884214;0.016594879;5.80E-04;;;;
bandwidth blocking probabilities per pair;1;all;8;24; ;0;0.006479106;0.007963506;0.002193341;0.035549475;0.011311807;0.028446688;0.016510656;0.013589135;0.018562749;;;;
bandwidth blocking probabilities per pair;1;all;15;20; ;0;0.004418587;0;0;0;3.25E-04;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;19;6; ;0.066636459;0.043877972;0.087536121;0.041051324;0.062188295;0.018582323;0.121613459;0.054292224;0.040323073;0.012826602;;;;
bandwidth blocking probabilities per pair;1;all;16;11; ;0.039564045;0.032372384;0.040565411;0.041173387;0.056022277;0.091652718;0.065170306;0.005235467;0.025273223;0.02760868;;;;
bandwidth blocking probabilities per pair;1;all;16;5; ;0.001220223;0.004396624;0.033900625;0.011147443;0.014491608;0.013599777;0.01465581;0.02963455;0.009658931;0.030433499;;;;
bandwidth blocking probabilities per pair;1;all;8;22; ;0.035035132;0.008915265;0.006186812;0.017421428;7.45E-04;0.01001474;3.11E-04;0.014054352;0.024495258;0.002750965;;;;
bandwidth blocking probabilities per pair;1;all;24;8; ;0.006444894;0.007185;0.019800097;9.52E-04;0.008593365;0.058129944;0.015112296;0.014778938;0.011518835;0.037990626;;;;
bandwidth blocking probabilities per pair;1;all;19;23; ;0.029992828;0.003326217;0.04672695;0.055473855;3.60E-04;0.003971036;0.020049096;0.025791225;0.006079808;0.007452349;;;;
bandwidth blocking probabilities per pair;1;all;5;9; ;0.054103532;0.003293785;0;0.016149865;0.00131865;0;6.79E-05;0.009299702;6.00E-04;0.0193022;;;;
bandwidth blocking probabilities per pair;1;all;4;5; ;0;0;0;0;0;0;0.030371836;3.40E-04;0;0;;;;
