Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probability;1;all;all;all; ;0.019121343;0.015058298;0.020334479;0.015250859;0.016800978;0.017619364;0.017051308;0.016974283;0.0199301;0.016762466;;0.017490348;0.001798535;0.001114723
blocking probability;2;all;all;all; ;0.018630311;0.011726987;0.013893302;0.013719997;0.015732263;0.012728306;0.013440783;0.013662228;0.015337512;0.011746243;;0.014061793;0.002070188;0.001283092
blocking probability;3;all;all;all; ;0.011390004;0.012709049;0.014576895;0.009801373;0.012747562;0.011717358;0.011158931;0.010667899;0.011717358;0.010985625;;0.011747205;0.001330815;0.000824832
blocking probability;4;all;all;all; ;0.00822237;0.012381695;0.010821948;0.010504222;0.014018467;0.01046571;0.009060012;0.011101162;0.012150621;0.00966658;;0.010839279;0.00169692;0.001051742
blocking probability;5;all;all;all; ;0.012843842;0.008973359;0.010995253;0.011698102;0.013642972;0.012651281;0.010754552;0.010099843;0.011688474;0.010908601;;0.011425628;0.001384346;0.00085801
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability fragmentation;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;0;0;#NÚM!
blocking probability fragmentation;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;0;0;#NÚM!
blocking probability fragmentation;3;all;all;all; ;0;0;0;0;0;0;9.63E-06;0;0;0;;0.000000963;3.04527E-06;1.88745E-06
blocking probability fragmentation;4;all;all;all; ;0;0;9.63E-06;9.63E-06;0;9.63E-06;0;2.89E-05;9.63E-06;9.63E-06;;0.000007705;8.85202E-06;5.48644E-06
blocking probability fragmentation;5;all;all;all; ;5.78E-05;3.85E-05;1.93E-05;4.81E-05;1.93E-05;2.89E-05;5.78E-05;6.74E-05;5.78E-05;9.63E-05;;0.00004912;2.3775E-05;1.47357E-05
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT;1;all;all;all; ;9.63E-06;0;0;0;0;0;0;0;0;0;;0.000000963;3.04527E-06;1.88745E-06
blocking probability per QoT;2;all;all;all; ;2.89E-05;0;0;9.63E-06;9.63E-06;1.93E-05;5.78E-05;9.63E-06;9.63E-06;2.89E-05;;0.000017342;1.74714E-05;1.08287E-05
blocking probability per QoT;3;all;all;all; ;9.63E-05;6.74E-05;1.54E-04;1.25E-04;1.73E-04;2.98E-04;2.31E-04;3.27E-04;2.70E-04;1.16E-04;;0.00018577;9.03275E-05;5.59845E-05
blocking probability per QoT;4;all;all;all; ;8.38E-04;7.80E-04;8.28E-04;7.12E-04;8.28E-04;0.001039831;7.80E-04;6.35E-04;5.39E-04;6.26E-04;;0.000760583;0.000141091;8.74475E-05
blocking probability per QoT;5;all;all;all; ;0.002676603;0.002522554;0.002561066;0.002416645;0.003206147;0.002387761;0.002666975;0.002416645;0.002647719;0.00229148;;0.00257936;0.000256204;0.000158794
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT for other;1;all;all;all; ;0.019111714;0.015058298;0.020334479;0.015250859;0.016800978;0.017619364;0.017051308;0.016974283;0.0199301;0.016762466;;0.017489385;0.001797567;0.001114123
blocking probability per QoT for other;2;all;all;all; ;0.018601427;0.011726987;0.013893302;0.013710368;0.015722635;0.012709049;0.013383014;0.0136526;0.015327884;0.011717358;;0.014044462;0.002068933;0.001282314
