Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;414699.7981750924;414365.56082781847;412672.6881613375;416595.7776936988;414000.67716858006;413956.16340776277;413676.5405540028;412607.48297872837;414846.92734910606;415618.1663978582
Power Consumption Average;2;all;all;all; ;441910.4986412866;446108.24363940675;446216.2443867286;444427.83596892224;442731.52740515483;445966.13116758945;445006.1498529701;447296.62396253215;443333.3223646509;446864.6617960166
Power Consumption Average;3;all;all;all; ;475749.4732878883;475701.5975402209;475978.9022192691;471915.86647353537;471509.59147472435;475603.03626489633;474103.5830324517;475224.17508621904;476535.69908071065;474027.4757093447
Power Consumption Average;4;all;all;all; ;503389.1812595413;502913.11171503935;500951.9054587279;503117.1553457891;502536.0073385284;503092.50182741793;504554.6332776797;501357.6913031693;503451.61220530764;503587.9230875377
Power Consumption Average;5;all;all;all; ;531301.3382047473;533691.322152838;531187.7992391927;533519.6752843591;531200.6897688237;529569.252799947;529646.4106967809;529767.1021507115;531567.5673766461;530342.8122547902


Energy Efficiency Average;1;all;all;all; ;1.0368395676963873E8;1.0400102850582713E8;1.0375276822610176E8;1.0442497601867685E8;1.0341723555878901E8;1.0332147295719433E8;1.0340919285937248E8;1.030512985275644E8;1.0344566299412216E8;1.0406237800130083E8
Energy Efficiency Average;2;all;all;all; ;1.0933240609275912E8;1.0962698003749627E8;1.096731729609693E8;1.0882641297666408E8;1.0881544350784521E8;1.1020753821916787E8;1.093152034883976E8;1.0929456674180861E8;1.0925797022193909E8;1.09614783016846E8
Energy Efficiency Average;3;all;all;all; ;1.1433441853666785E8;1.1486954498619618E8;1.1455791971395238E8;1.1349591458023557E8;1.1399412126025502E8;1.1421738437502396E8;1.1449237967678122E8;1.146793857276002E8;1.1451347583006673E8;1.1448239031804374E8
Energy Efficiency Average;4;all;all;all; ;1.1799769670663877E8;1.1854945589351007E8;1.177158568671007E8;1.1819460436548567E8;1.1817293688477495E8;1.1810750644698031E8;1.1856979012072165E8;1.1802492045094323E8;1.1848618156574965E8;1.1823240313609193E8
Energy Efficiency Average;5;all;all;all; ;1.2184849625210385E8;1.2231553214132077E8;1.2154702575089823E8;1.2285620433169761E8;1.2188295841502322E8;1.2159970468832988E8;1.2174424375275898E8;1.2208695102271336E8;1.2237068355160774E8;1.2195392296433447E8


Energy Efficiency Geral;1;all;all;all; ;1.8685365517644432E8;1.8689886273099032E8;1.8667349399442118E8;1.8666514213267773E8;1.8640300641097295E8;1.8616392353807765E8;1.8670421860773274E8;1.8640743415834048E8;1.8673052980860725E8;1.8661130457890552E8
Energy Efficiency Geral;2;all;all;all; ;1.8677589983636132E8;1.871335093230974E8;1.8658338396128136E8;1.866919998840567E8;1.8679627934943703E8;1.8664152706735492E8;1.8649137171421167E8;1.8671668427436307E8;1.8682878985405737E8;1.868863448396227E8
Energy Efficiency Geral;3;all;all;all; ;1.868522469315278E8;1.872160749548111E8;1.871605303180867E8;1.8681891500143185E8;1.867047025970405E8;1.8715347426634064E8;1.8656144382745874E8;1.869623945685878E8;1.8703438573555407E8;1.865062156310546E8
Energy Efficiency Geral;4;all;all;all; ;1.8673564969417623E8;1.8673663732808855E8;1.865536599568943E8;1.865474469745562E8;1.8670104206763327E8;1.866633063762737E8;1.867465089181977E8;1.8637394124451652E8;1.8663150993680006E8;1.865530354040446E8
Energy Efficiency Geral;5;all;all;all; ;1.866270591652819E8;1.8662266588909444E8;1.8654738375735095E8;1.8707197414406607E8;1.8652932429540962E8;1.8677033681645998E8;1.864920915634067E8;1.8665530233788517E8;1.8682999702839983E8;1.8647988139830738E8


Energy Efficiency Established;1;all;all;all; ;1.584842907504614E8;1.584837518396642E8;1.584331749196677E8;1.5842087918631697E8;1.580185219989618E8;1.5798319055289546E8;1.5836625344865745E8;1.580527374949159E8;1.5826834342131513E8;1.5832037931952852E8
Energy Efficiency Established;2;all;all;all; ;1.5846033938893688E8;1.5865352997200558E8;1.581264723586065E8;1.582284614989165E8;1.585251649736238E8;1.582798845257181E8;1.5816199109328043E8;1.582604544360737E8;1.5860748568803018E8;1.5847822174381986E8
Energy Efficiency Established;3;all;all;all; ;1.5850620560970762E8;1.5878983343039766E8;1.5878931933019146E8;1.5825767824039435E8;1.581871138534643E8;1.5867078718288496E8;1.5813842294866768E8;1.5844941003856567E8;1.5860746063187E8;1.5809691107913682E8
Energy Efficiency Established;4;all;all;all; ;1.582801936217205E8;1.5838373359484774E8;1.5829924247078162E8;1.5824534691269344E8;1.5833926436750713E8;1.5820963996805328E8;1.5839074484123698E8;1.581872638065439E8;1.5823191454551202E8;1.5817267987138996E8
Energy Efficiency Established;5;all;all;all; ;1.5831196361039358E8;1.5822630290680543E8;1.5822889307224864E8;1.58755184816552E8;1.582364790203454E8;1.5855579588582674E8;1.5824883256252915E8;1.583167391718835E8;1.584852176893699E8;1.581706805346746E8


Average Power Consumption Established;1;all;all;all; ;3447025.082478428;3430813.3204227807;3427315.617400653;3440307.3084715814;3427962.3989484254;3401281.378012205;3408117.927263202;3409181.7403273336;3430798.453632461;3433904.716248986
Average Power Consumption Established;2;all;all;all; ;3410139.816487384;3458140.712255808;3446168.108431729;3437773.3059818544;3414299.4326124564;3447066.426651342;3446687.414614291;3435604.5017685485;3435719.7418648857;3452898.6237195884
Average Power Consumption Established;3;all;all;all; ;3469323.339869596;3470532.11589816;3463861.802359847;3428490.4566170247;3421064.2624649666;3465582.527767219;3440783.7490230165;3446259.9976790175;3476831.4963871096;3438308.5348638813
Average Power Consumption Established;4;all;all;all; ;3447157.4627775303;3442230.292023077;3404705.3402410806;3443306.0741494456;3451703.129703378;3434018.864066362;3448940.8695356203;3412419.27511119;3429352.526993441;3434233.0717874006
Average Power Consumption Established;5;all;all;all; ;3425095.7522576847;3434389.6317999745;3427920.9456377947;3457724.7464528377;3445227.1392447073;3418169.9203843814;3415470.4005192094;3415412.567350307;3434958.190394152;3429138.58260985


Average Data Transmitted Established;1;all;all;all; ;5.462993253956443E14;5.4372816688209825E14;5.430004947165465E14;5.450165084791797E14;5.416815517498457E14;5.37345284066517E14;5.3973086745187744E14;5.388305066764166E14;5.4298678786881925E14;5.436570972236574E14
Average Data Transmitted Established;2;all;all;all; ;5.403719126843178E14;5.4864623113928956E14;5.44930406141041E14;5.439535811875528E14;5.412523808242398E14;5.4560127596285406E14;5.451349441715472E14;5.4372032971251106E14;5.449308697859176E14;5.472092337487634E14
Average Data Transmitted Established;3;all;all;all; ;5.4990927863592775E14;5.510852165983143E14;5.5002425785057025E14;5.425849395335598E14;5.4116828198656356E14;5.498867077280769E14;5.441201157779042E14;5.4605786347174906E14;5.514514146868642E14;5.4358595869901225E14
Average Data Transmitted Established;4;all;all;all; ;5.4561675065298625E14;5.4519328554389806E14;5.389622761963879E14;5.4488716423036356E14;5.4654013437225494E14;5.432948881274425E14;5.4628031323913044E14;5.398012680905491E14;5.426330159976618E14;5.432018482675686E14
Average Data Transmitted Established;5;all;all;all; ;5.4223363409353225E14;5.434107741811747E14;5.4239613676744406E14;5.489317311678857E14;5.451606119394197E14;5.419706521995386E14;5.404942035340388E14;5.4071698058957144E14;5.443900965585011E14;5.423891832591095E14


