Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.4938307959598339;0.49618275838473497;0.4968992933730381;0.49682730570302797;0.49416361464188485;0.4946242882204777;0.49809975316381305;0.49710088148873655;0.49723458391048503;0.49698399952997396
Percentage of cicuits by modulation;1;16QAM;all; ;0.10855247013555562;0.10720534902589468;0.1083036038957848;0.10709920902629083;0.10671967723613858;0.10725941607127105;0.10643341300003918;0.10557296767874633;0.107492656665979;0.10592232819568752
Percentage of cicuits by modulation;1;32QAM;all; ;0.00850044661699893;0.009247402222895629;0.008707531129915186;0.008946117971431085;0.00919524471689614;0.008967686924818441;0.00854131567605689;0.009040156709108717;0.008674466810094997;0.009038209200759876
Percentage of cicuits by modulation;1;BPSK;all; ;0.17621249153390853;0.17600367550024926;0.1749663393971558;0.17603809188591987;0.17664858301180986;0.17593327648897905;0.17640951298828508;0.17694417238001958;0.17686874343029482;0.17608350796106617
Percentage of cicuits by modulation;1;64QAM;all; ;0.002620807444271033;0.002609996187646018;0.0027812994466884845;0.002366077102826582;0.0026537926712234864;0.0025775974439642075;0.002507542216824041;0.0025563173359451517;0.0026033224288507066;0.002712441981159789
Percentage of cicuits by modulation;1;8QAM;all; ;0.21028298830943196;0.20875081867857945;0.2083419327574176;0.20872319831050362;0.21061908772204704;0.21063773485048956;0.2080084629549818;0.20878550440744367;0.20712622675429548;0.2092595131313527
Percentage of cicuits by modulation;2;QPSK;all; ;0.4972137194882662;0.4946173705489795;0.4969927748486624;0.4969152072473106;0.4950943470052529;0.49239816268614506;0.4941981320815482;0.494582405997423;0.4949251980052801;0.4966826768508325
Percentage of cicuits by modulation;2;16QAM;all; ;0.10834118201083118;0.10507087534706999;0.10753759031439172;0.1056443897772311;0.10851128349098592;0.10839566612379438;0.10815189280451268;0.10870329155441022;0.10988559694925198;0.10629073585144627
Percentage of cicuits by modulation;2;32QAM;all; ;0.00899654658190095;0.009128549856300842;0.008640890451083773;0.008678420117534509;0.009077658981306674;0.008708711637296302;0.008695482448007651;0.008902424739369802;0.009093575828688765;0.00848572235807605
Percentage of cicuits by modulation;2;BPSK;all; ;0.1755847264735892;0.17747576598957573;0.17727982815856277;0.1772291532439134;0.17634917684805682;0.17837742951599847;0.17723754965013125;0.17769708328452619;0.17519311626087808;0.17775201426302817
Percentage of cicuits by modulation;2;64QAM;all; ;0.002845145592967585;0.002766817672560768;0.0024799843780511617;0.0026455026455026454;0.0026020013890383355;0.00272086287436245;0.0022934212966125678;0.002830814884229433;0.002747628825657573;0.0026986740449908907
Percentage of cicuits by modulation;2;8QAM;all; ;0.20701867985244488;0.2109406205855132;0.20706893184924818;0.20888732696850779;0.20836553228535934;0.20939916716240334;0.20942352171918763;0.20728397954004138;0.20815488413024347;0.20809017663162613
Percentage of cicuits by modulation;3;QPSK;all; ;0.4925886248539151;0.49441697629287223;0.491465475969477;0.495464047838981;0.49721569354099415;0.49333632094772323;0.49207431064028667;0.4937472629069145;0.4901798413966448;0.4916570939039349
Percentage of cicuits by modulation;3;16QAM;all; ;0.10930074016361511;0.10753537540348927;0.1096639928089185;0.10654868977587632;0.10840753274363901;0.1090544200455936;0.10736680168250506;0.10701182424212934;0.10922003779981684;0.10954810069897393
Percentage of cicuits by modulation;3;32QAM;all; ;0.009037787300350604;0.008601269711243089;0.009291737095623797;0.008935777140356848;0.009440310515998791;0.008524443232079185;0.008665680012463;0.008924139944528247;0.008582896557099156;0.00924826230018886
Percentage of cicuits by modulation;3;BPSK;all; ;0.1759933774834437;0.17637478911285998;0.17946438167446677;0.17924060479362147;0.17770799403153922;0.17681156596457728;0.18043114192241783;0.1795825020680259;0.17839954796095317;0.17654445980413153
Percentage of cicuits by modulation;3;64QAM;all; ;0.00292169848071679;0.0028378338843216993;0.0027161965432002267;0.002615586562302494;0.0027501731048674163;0.002737564055102001;0.002395232902321234;0.002783319546494088;0.002854470705141944;0.0025018983275247758
Percentage of cicuits by modulation;3;8QAM;all; ;0.2101577717179587;0.2102337555952137;0.2073982159083137;0.20719529388886188;0.20447829606296142;0.2095356857549247;0.20906683284000624;0.20795095129190794;0.2107632055803441;0.210500184965246
Percentage of cicuits by modulation;4;QPSK;all; ;0.4953450669358988;0.4942043538025093;0.4938728233679518;0.49121356011364964;0.4920659720526917;0.49411341169144546;0.4922659878354482;0.490448836530036;0.4907651972203;0.49281054647624417
Percentage of cicuits by modulation;4;16QAM;all; ;0.10922346591074567;0.10809440712830362;0.11029891277898364;0.10942669209512318;0.1103635493667425;0.10793375885420721;0.10965585589086882;0.11102132216921429;0.10798140369002251;0.10871192603466882
Percentage of cicuits by modulation;4;32QAM;all; ;0.009261326680192992;0.009300330483441708;0.009460866856792455;0.0089713151442027;0.008778696768775572;0.008912586596092472;0.008744486115699267;0.00930775971180995;0.009649028761902906;0.008895672717020388
Percentage of cicuits by modulation;4;BPSK;all; ;0.17834363987612734;0.17765191027228325;0.17697271727386873;0.1798544350601331;0.17778081576454735;0.17892309488596558;0.1773770428091176;0.17756790964852498;0.1799982456311342;0.1777676236401287
Percentage of cicuits by modulation;4;64QAM;all; ;0.0025240512964886564;0.0024079472006395194;0.0025209511480547794;0.0027439380375977895;0.002470534240823381;0.0025200435899431772;0.0026913585044985523;0.0027845389932820565;0.0027387647293886023;0.0026930069318192866
Percentage of cicuits by modulation;4;8QAM;all; ;0.20530244930054656;0.20834105111282256;0.2068737285743486;0.20779005954929358;0.20854043180641949;0.20759710438234608;0.20926526884436758;0.2088696329471327;0.20886735996725178;0.2091212242001186
Percentage of cicuits by modulation;5;QPSK;all; ;0.4904368520126013;0.4898329949189263;0.49353102092074647;0.49018003273322425;0.48890147004275425;0.4933153906912793;0.49426741673641794;0.49118797050985274;0.49128583814747345;0.49452934877835103
Percentage of cicuits by modulation;5;16QAM;all; ;0.11147090091583844;0.10811125899874674;0.10990936614713642;0.11176057984568623;0.1102727290474982;0.10943061365786112;0.10876335818426021;0.11037407356974731;0.10961626513653323;0.1095979752749927
Percentage of cicuits by modulation;5;32QAM;all; ;0.009499751289878962;0.0091323313676152;0.008771332054789187;0.008933442444080742;0.009331745504948948;0.009224858360393568;0.008467482919043078;0.00898710292372634;0.009556839326247698;0.009179402316752653
