Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;418926.29968207073;418679.0998120675;417488.2467854991;419362.4457371616;416704.9243726849;418841.7451456323;417460.0339947734;417674.0418795983;419215.2074124471;417956.10539806716
Power Consumption Average;2;all;all;all; ;449578.48234983126;450576.8687049188;450245.54581380624;444851.8688884321;449146.99557627854;448013.8012568407;448079.2672909566;448680.8281632586;447774.4794013379;448104.9642746665
Power Consumption Average;3;all;all;all; ;478674.95767713414;476044.34517334745;477681.6266144877;477336.17413014773;477133.6745988478;478669.6101924671;478798.12181932066;478209.3509856372;474219.97054003115;477725.0254496722
Power Consumption Average;4;all;all;all; ;505411.29816218535;506579.7802399213;509429.08053916885;506831.46427198;505650.0881070186;506276.2441886005;505589.0933133122;507800.25989332114;505409.1869067875;508441.3018801693
Power Consumption Average;5;all;all;all; ;535630.6586191504;534079.6960472992;536204.8125848579;536352.0155400806;535785.5769130553;537168.8191477356;534175.7188787191;535490.6624861527;534690.1855636693;536888.2357043391


Energy Efficiency Average;1;all;all;all; ;1.0482803906881182E8;1.0448048810814992E8;1.04169537171921E8;1.0452748925590913E8;1.0444411672812916E8;1.0509189670526141E8;1.0430803919147865E8;1.0390509478878221E8;1.0513913687742037E8;1.0413256275142741E8
Energy Efficiency Average;2;all;all;all; ;1.1057137418743767E8;1.108880139879126E8;1.1107744549629688E8;1.0976801907442005E8;1.1046655955845286E8;1.1025872546292037E8;1.10595958545731E8;1.10639941511552E8;1.1003900156748612E8;1.0967723742141995E8
Energy Efficiency Average;3;all;all;all; ;1.1543500988180459E8;1.1488697854606564E8;1.1501356444936088E8;1.1498221693142462E8;1.1493269244097234E8;1.1485840883295119E8;1.1549927095780078E8;1.1501564077079202E8;1.1395228090532902E8;1.1490381240822874E8
Energy Efficiency Average;4;all;all;all; ;1.1855806737671022E8;1.1938157960431002E8;1.1916244856658539E8;1.1938003022716865E8;1.1907091956196393E8;1.1907353067993048E8;1.1844417262958731E8;1.1909607732958764E8;1.190264142665126E8;1.185827550254747E8
Energy Efficiency Average;5;all;all;all; ;1.2257272770784768E8;1.225344590943353E8;1.2290498378544275E8;1.2239836475090444E8;1.2271453210362975E8;1.2250922857700677E8;1.2300052764426617E8;1.2187162261300185E8;1.2275338654676329E8;1.2279213069263998E8


Energy Efficiency Geral;1;all;all;all; ;1.8680449666580203E8;1.8718059383814207E8;1.8697102911219454E8;1.8680604374804115E8;1.8700014610204196E8;1.8704149235236368E8;1.8689283973290712E8;1.8682390815378934E8;1.8703587241062883E8;1.8718229505037045E8
Energy Efficiency Geral;2;all;all;all; ;1.8702615955189487E8;1.8694099645758623E8;1.8736558804226115E8;1.868930111002896E8;1.8712146476286116E8;1.868522534288008E8;1.870333776055997E8;1.872835692312273E8;1.8671790832453004E8;1.871847509170597E8
Energy Efficiency Geral;3;all;all;all; ;1.8715334943246874E8;1.8702779636348742E8;1.870091394268189E8;1.8717876131029287E8;1.8679194537793323E8;1.8680591997654182E8;1.87263290781261E8;1.8707360970981228E8;1.8643428992630887E8;1.8722435347740456E8
Energy Efficiency Geral;4;all;all;all; ;1.8683391650262016E8;1.8705503952781093E8;1.8709387276012155E8;1.8685248595038864E8;1.8674132529703745E8;1.8695266818337294E8;1.8670633393507564E8;1.871885249906262E8;1.8696001588145784E8;1.8677313381922254E8
Energy Efficiency Geral;5;all;all;all; ;1.8691141195888567E8;1.868991461737224E8;1.8678918700882202E8;1.8683726270847675E8;1.870882417987521E8;1.8692277617584032E8;1.8721186255766904E8;1.8648995687345988E8;1.8686024487030268E8;1.8688128215352276E8


Energy Efficiency Established;1;all;all;all; ;1.583433862711057E8;1.5869939081143835E8;1.583967615394162E8;1.582104475160328E8;1.5834407953077754E8;1.5844921331132627E8;1.583949365286319E8;1.5835443313619125E8;1.584298895402835E8;1.5842238677846017E8
Energy Efficiency Established;2;all;all;all; ;1.584100621421733E8;1.583202841813466E8;1.5876692278934854E8;1.5840942325170588E8;1.5856893616233557E8;1.5823619433852687E8;1.5839031041003442E8;1.5859620901927307E8;1.5826973602527183E8;1.5863213470124105E8
Energy Efficiency Established;3;all;all;all; ;1.588658960975438E8;1.583862876982069E8;1.5855464947870773E8;1.585924655325405E8;1.5832690743928656E8;1.5838057650891778E8;1.5881466356502232E8;1.5865225888689113E8;1.57985326849874E8;1.5875200825461528E8
Energy Efficiency Established;4;all;all;all; ;1.5829757273919573E8;1.58583958829535E8;1.584378904289995E8;1.5830211738547343E8;1.5809880600619876E8;1.5844698924479443E8;1.5806176612029836E8;1.5872405763429838E8;1.5836374784911215E8;1.5829382099738333E8
Energy Efficiency Established;5;all;all;all; ;1.5843995679811245E8;1.5833386047811377E8;1.5835170166706124E8;1.5831623402666086E8;1.5862524915241733E8;1.5849644592441574E8;1.5861682158898517E8;1.5790047504935578E8;1.583246263848322E8;1.5853270130240226E8


