Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.495961025581776;0.4975303530680429;0.49717416211740467;0.4979058952658791;0.497212674388377;0.5016271591149795;0.49754965675938495;0.4988542489072038;0.49806957241751154;0.49878685178409815
Percentage of cicuits by modulation;1;16QAM;all; ;0.10699671682889961;0.10462059868478062;0.10654419764497464;0.10485928578993482;0.10533106110934597;0.10427297760489881;0.1065634537804608;0.10789316593171709;0.10544659792226298;0.1062371223354066
Percentage of cicuits by modulation;1;32QAM;all; ;0.008954103001068716;0.008636543071990448;0.0088385661881517;0.009175548559159662;0.008453443478428314;0.008877163929059713;0.008491955749400653;0.008829023126841386;0.00885782232363787;0.008001001328686141
Percentage of cicuits by modulation;1;BPSK;all; ;0.1773875200985914;0.17791086163237405;0.17841772334710146;0.1780903690438366;0.17757045338571;0.17761067570429995;0.1762802923081367;0.1764167838092854;0.1781481374502951;0.1778995205176099
Percentage of cicuits by modulation;1;64QAM;all; ;0.0024744134099727528;0.0024552045522380876;0.0026669747648344453;0.0025803221551466836;0.0026380905616051917;0.0023300148273670833;0.002840279984209969;0.0026862567637827117;0.0024744134099727528;0.002830679170437696
Percentage of cicuits by modulation;1;8QAM;all; ;0.20822622107969152;0.20884643899057395;0.2063583759375331;0.20738857918604314;0.2087942770765335;0.20528200881939496;0.20827436141840694;0.20532052146116964;0.20700345647631976;0.20624482486376153
Percentage of cicuits by modulation;2;QPSK;all; ;0.4925719457362102;0.4933614472911431;0.49555664673656646;0.49498859073972445;0.4944541795844486;0.4931687543928905;0.49624023954632546;0.4966542464592781;0.4949163312857445;0.4962594956818116
Percentage of cicuits by modulation;2;16QAM;all; ;0.10804617621289583;0.10808468848386817;0.10615907493525124;0.10629386788365443;0.1062082378540756;0.106555877567133;0.10650568537400229;0.10559101893840925;0.10677629932025187;0.10569692768358319
Percentage of cicuits by modulation;2;32QAM;all; ;0.008809681984922445;0.008790425849436276;0.008723029375234684;0.009137036288187324;0.009050470817045695;0.00869431259086664;0.008694145172005431;0.008973359136554886;0.008867535768616049;0.009040755610756478
Percentage of cicuits by modulation;2;BPSK;all; ;0.180526270182837;0.1800352387279397;0.18018928781182905;0.17905317581814506;0.180142881900984;0.1823013450669645;0.1805936666570386;0.17944792659561154;0.17824613429358188;0.17946718273109769
Percentage of cicuits by modulation;2;64QAM;all; ;0.002618834426119022;0.0025321818164312604;0.0026092063583759376;0.002811395780980715;0.0025418343571277273;0.0023492937676317387;0.00267660283257753;0.0029173045261546462;0.002416668271360074;0.0028980483906684766
Percentage of cicuits by modulation;2;8QAM;all; ;0.2074270914570155;0.20719601783118147;0.20676275478274264;0.20771593348930803;0.2076023954863184;0.20693041661451364;0.2052896604180507;0.2064161443439916;0.2087770310604456;0.20663758990208256
Percentage of cicuits by modulation;3;QPSK;all; ;0.49278850782769446;0.49497410024840655;0.4943820224719101;0.4951618959591;0.49381396647506814;0.49278376322655804;0.49519068755355716;0.4948393060021952;0.4946756272746529;0.49371768579763725
Percentage of cicuits by modulation;3;16QAM;all; ;0.10806647281970307;0.10551501030213167;0.10755514475799852;0.10770919384188787;0.10710262557407355;0.10753588862251234;0.10867409325925997;0.10821089522635806;0.10715179757755483;0.10720853431924747
Percentage of cicuits by modulation;3;32QAM;all; ;0.009002330014827368;0.008877163929059713;0.008501583817143738;0.009040755610756478;0.008905962662353292;0.009098524017214985;0.008646171325136481;0.0086846007201864;0.009079355298376692;0.008732657442977769
Percentage of cicuits by modulation;3;BPSK;all; ;0.17855423542777918;0.180113997419653;0.18085362448610187;0.17912057229234665;0.17832144266967062;0.17913020036008973;0.17637034112900896;0.17827501877491286;0.17786100787583525;0.1795249511375562
Percentage of cicuits by modulation;3;64QAM;all; ;0.0026862567637827117;0.002599603319789721;0.0025610660196605144;0.0025225537486881756;0.002830651916466884;0.002647718629348276;0.00269591088088888;0.0029077044539870213;0.002618859640677052;0.0025032976132020063
Percentage of cicuits by modulation;3;8QAM;all; ;0.20890219714621325;0.20792012478095934;0.20614655844718524;0.20644502854722085;0.20902535070236755;0.2088039051442766;0.20842279585214854;0.20708247482236045;0.20861335233290326;0.20831287368937929
Percentage of cicuits by modulation;4;QPSK;all; ;0.4924467808555501;0.4922157072297161;0.49326028768943403;0.4901839959176207;0.4928317655327794;0.4950414973715122;0.4906463321875933;0.49147434601349854;0.4914309372051376;0.49103145489731664
Percentage of cicuits by modulation;4;16QAM;all; ;0.10795952360320807;0.10882604970008569;0.1077487435250621;0.10903996687880918;0.10794234602016156;0.10768134640195644;0.10620721527396666;0.10885493390331494;0.1074406423908648;0.10812320075484051
Percentage of cicuits by modulation;4;32QAM;all; ;0.009319969575305932;0.008366790868740552;0.008857907608172382;0.008742453856596798;0.00886762114749521;0.00873274152240473;0.008617120630060753;0.009214060830132001;0.008674972559742736;0.009040755610756478
Percentage of cicuits by modulation;4;BPSK;all; ;0.1799004457795365;0.17843697948258763;0.1810671853035759;0.18173327813134862;0.18207989524460577;0.1797770118041247;0.18149870502488855;0.17991007384727958;0.18141379907954785;0.18011226326988436
Percentage of cicuits by modulation;4;64QAM;all; ;0.00280176771323763;0.0025803221551466836;0.0028691918122123587;0.002561115336844436;0.0025803718431364996;0.0026381159615643836;0.0026092063583759376;0.0025321818164312604;0.0026958849242263772;0.002599578290632853
Percentage of cicuits by modulation;4;8QAM;all; ;0.20757151247316177;0.20957415056372336;0.2061966840615432;0.2077391898787803;0.20569800021182158;0.20612928693843754;0.2104214205251148;0.20801440358934364;0.20834376384048064;0.20909274717656914
Percentage of cicuits by modulation;5;QPSK;all; ;0.4945501463564936;0.4912140498175411;0.4904196113924782;0.4912284080186408;0.49265789144271227;0.48852727360261905;0.49274497154796404;0.4905151661049591;0.4910888801163115;0.48807024976410096
Percentage of cicuits by modulation;5;16QAM;all; ;0.10889115698659682;0.10910946571794453;0.10964971403262147;0.10866760384370969;0.10773882314425197;0.10847816667469068;0.10751114491762871;0.10918632643235436;0.10824290624789377;0.11143099231643205
Percentage of cicuits by modulation;5;32QAM;all; ;0.008945077800030812;0.009224044136762342;0.008887134356525255;0.009175990294440486;0.008993481170500611;0.009195512974820663;0.009195158821093983;0.008830043331728455;0.00852116812216563;0.009368560919717306
Percentage of cicuits by modulation;5;BPSK;all; ;0.17818903096595287;0.17921412684504953;0.17956247953937107;0.1791195671012344;0.1791859647771369;0.18094458620191614;0.17980146159697283;0.18155994222436206;0.17997477349098298;0.1802557337903676
Percentage of cicuits by modulation;5;64QAM;all; ;0.0026093822215375135;0.002590049971596106;0.0026478460975562787;0.002734502878930848;0.002416877702136674;0.002696066631361032;0.002609306848708345;0.002561386615310544;0.0024937655860349127;0.0025900749099732326
Percentage of cicuits by modulation;5;8QAM;all; ;0.20681520566938838;0.2086482635111064;0.20883321458144774;0.20907392786304377;0.20900696176326153;0.21015839391459246;0.20813795626763207;0.2073471352912855;0.20967850643661118;0.20828438829940882


Average of slots by modulation;1;QPSK;all; ;3.0310120062004757;3.04857453712173;3.039590614559564;3.0514620220867874;3.0404282564532124;3.067069765650575;3.0432974206406516;3.048468159673413;3.0521456148965465;3.072297856771485
Average of slots by modulation;1;16QAM;all; ;0.49431462599770853;0.48609198833055717;0.4919461213329097;0.48488874767722867;0.48361784273514147;0.48339142323467676;0.49123364431992145;0.5001251660857676;0.4877579118646679;0.48718491844948103
Average of slots by modulation;1;32QAM;all; ;0.037443555452856166;0.035768960437507824;0.03724136603025139;0.03977354784668265;0.035363892820349886;0.036846970017908376;0.035883808478476456;0.03857041073732453;0.03690438365924343;0.0331978972097591
Average of slots by modulation;1;BPSK;all; ;1.5782424925141774;1.5635320283840903;1.574439405755659;1.5783772854625806;1.5939169867999192;1.583245075195933;1.5728989149167654;1.5695538310450405;1.5832587158083244;1.5965897055708536
Average of slots by modulation;1;64QAM;all; ;0.009926537843120264;0.009974870259288858;0.010465709636733003;0.01043682543350375;0.01095674109163032;0.00958964780189097;0.011361119936839876;0.010918333943116828;0.009993934317321857;0.011573048853286092
Average of slots by modulation;1;8QAM;all; ;1.1416288765007752;1.1400718267684693;1.1195132048949097;1.1294301146702868;1.1421006518201862;1.1238855404286456;1.130922465170465;1.1206504785195741;1.1234510846018313;1.1275731258785697
Average of slots by modulation;2;QPSK;all; ;3.020517412360513;3.032042209448986;3.0483232720025417;3.0267756563935184;3.0270743871675876;3.0078181415545777;3.039215119917584;3.045829602457083;3.014808110762358;3.0573062592068396
Average of slots by modulation;2;16QAM;all; ;0.4936984296621511;0.4976459374368158;0.4911181075070044;0.49065596025533637;0.4952436887408292;0.4915704643706492;0.49337107535888625;0.489818318361688;0.4928847894321311;0.4894428237197077
Average of slots by modulation;2;32QAM;all; ;0.03759760453674552;0.03695252399795885;0.03813677633035826;0.03879148493688801;0.039542854942134754;0.03724208316885068;0.03764574487546094;0.037626488739974775;0.0381563998382469;0.03656740128823546
Average of slots by modulation;2;BPSK;all; ;1.5977393296939237;1.5955633863839866;1.6026303881074107;1.5853865187795462;1.5950106872580925;1.6204253762239917;1.6076273552660716;1.6037568720333517;1.574262001501993;1.5919913732513022
Average of slots by modulation;2;64QAM;all; ;0.010918228820657983;0.010571618381906935;0.010889344617428728;0.011649961969132415;0.009955517898750264;0.010244461347377744;0.011178186649721268;0.010966369159373405;0.009608904122778301;0.012728305556357894
Average of slots by modulation;2;8QAM;all; ;1.1405505329135497;1.1266090908215631;1.1286887534540693;1.1310283739156388;1.133927711771389;1.1331298562501806;1.1207648537015107;1.1241828177503057;1.144239471606555;1.1231622425695387
Average of slots by modulation;3;QPSK;all; ;3.0172825479963796;3.037135814831218;3.0283835437066133;3.021836457641316;3.0197760511442957;3.014567266495287;3.041988811969844;3.02124935009917;3.019959176599719;3.0244167797964625
Average of slots by modulation;3;16QAM;all; ;0.5026092314802334;0.4869634707592767;0.4979540356045945;0.4987339090917844;0.4979540356045945;0.4955277625333372;0.5045300931052079;0.5022626177042614;0.4930966089618917;0.4988398178369583
