Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.013425296416624584;0.013490451579340035;0.013296791864758468;0.013517819537072404;0.013394640034555278;0.013485752876447208;0.013406585391551552;0.01332107116049947;0.01356934305460741;0.01346780954108489
Relative Fragmentation per spectrum size (c);1;all;3; ;0.027828617506165002;0.027830247738419932;0.027758914436660925;0.02802157419735638;0.027721505256201668;0.028024819754386903;0.027717168037683548;0.027731793386844433;0.028074129259247457;0.02785191152322616
Relative Fragmentation per spectrum size (c);1;all;5; ;0.05300314979973367;0.05313872499982609;0.05264292675130676;0.05344792247491323;0.05271943880890945;0.05331853863615527;0.0528013668036858;0.052667771315637574;0.05328316829171345;0.05309429855728917
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.015742783419074365;0.015562132059861941;0.01569912705211718;0.01536728637714565;0.015479295704205169;0.01563591793809368;0.015692358762081565;0.015600572152052752;0.015513917055713476;0.01545514517730303
Relative Fragmentation per spectrum size (c);2;all;3; ;0.0325380687727082;0.03252548081560972;0.03252910041931334;0.031973639335691195;0.03233969033597354;0.03253228667269603;0.03245396672177733;0.03238523940812998;0.03232287079524393;0.03208335809175921
Relative Fragmentation per spectrum size (c);2;all;5; ;0.06161941079322884;0.06182283665335469;0.0617301605268806;0.0604849837232986;0.06128777363081733;0.06166245103125033;0.061441318891163194;0.06159191650271738;0.06120252732344876;0.061062023474144037
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.01771540618395357;0.01784488740965521;0.0177546842453232;0.01779872975174031;0.017759648464979048;0.017847787101281515;0.017770079291329573;0.017816781591832913;0.017682505883619755;0.017744342174990595
Relative Fragmentation per spectrum size (c);3;all;3; ;0.036763585157678746;0.037052590302369105;0.03702564073870925;0.03682538202874061;0.03668487423112404;0.037104245208007584;0.036706028925011853;0.036877214488065094;0.03666964819791819;0.036990801990513876
Relative Fragmentation per spectrum size (c);3;all;5; ;0.06963445518351274;0.0702232005834666;0.06985459828343812;0.06981250720224112;0.06965319569356146;0.07002006654839447;0.06960290353460719;0.06959379469484167;0.06935269949868572;0.06982604593257273
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.020461909835773607;0.020357231878937846;0.02072011529537977;0.020504874768265298;0.020654436714686825;0.0204218508882451;0.020645458780678368;0.02026206376231245;0.02021535098587666;0.020516976695023014
Relative Fragmentation per spectrum size (c);4;all;3; ;0.04197308870950822;0.04204398374305636;0.04291425717166247;0.04234499953482803;0.04254305047058832;0.04212911889521241;0.04233463456889176;0.042238998234151594;0.04188028196248258;0.042404387964126766
Relative Fragmentation per spectrum size (c);4;all;5; ;0.07913715167657051;0.07905709713155723;0.08090833874969473;0.07983962693583015;0.08025116348563625;0.07925502170571559;0.07987065495880778;0.0797653638094716;0.0792974058808038;0.07981977641036989
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.02326895152114268;0.023099223500212797;0.02318310163059382;0.023151330317307477;0.023258572092569464;0.022940906699440693;0.02296315824598335;0.0234930410232198;0.023152170715257204;0.02309357250510791
Relative Fragmentation per spectrum size (c);5;all;3; ;0.04787522661332733;0.04748861845231407;0.04752566909082034;0.047807176716224704;0.047807571335085695;0.04765785322038118;0.04747873146172721;0.048342373573024316;0.047603548194131325;0.04753373192941488
Relative Fragmentation per spectrum size (c);5;all;5; ;0.09011227543359172;0.08930322492729259;0.09013044032743052;0.09047497680068813;0.09017394108455729;0.09004658916365833;0.0895125100160617;0.09118728096720284;0.08965864075396143;0.08971333647564615


