Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
bandwidth blocking probability;1;all;all;all; ;9.52E-04;8.14E-04;0.001217616;9.24E-04;9.56E-04;6.98E-04;7.35E-04;8.12E-04;7.31E-04;7.26E-04;;8.56E-04;0.000159994;9.91632E-05
bandwidth blocking probability;2;all;all;all; ;5.34E-04;4.00E-04;5.13E-04;3.99E-04;7.70E-04;6.56E-04;6.16E-04;5.93E-04;6.77E-04;3.95E-04;;5.55E-04;0.00013014;8.066E-05
bandwidth blocking probability;3;all;all;all; ;5.04E-04;6.12E-04;7.67E-04;6.97E-04;1.81E-04;3.67E-04;5.35E-04;6.81E-04;7.87E-04;7.02E-04;;5.83E-04;0.000191542;0.000118717
bandwidth blocking probability;4;all;all;all; ;0.00103721;5.84E-04;9.95E-04;6.60E-04;9.33E-04;6.95E-04;0.001231293;5.88E-04;9.34E-04;2.71E-04;;7.93E-04;0.000282241;0.000174932
bandwidth blocking probability;5;all;all;all; ;0.001718282;0.001916708;0.001725053;0.001273223;0.001782237;0.00198596;0.00155906;0.001620907;0.001923906;0.001918179;;1.74E-03;0.000217184;0.000134609
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
bandwidth blocking probabilities per pair;1;all;2;6; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;19; ;0.042534437;0;0.002255131;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;6; ;0;0;0;0;0.004460581;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;4; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;18; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;13;17; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;8; ;0;0;0;0;0;0;0;8.41E-04;0;0;;;;
bandwidth blocking probabilities per pair;1;all;22;21; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;22;23; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;6;12; ;0;0;0;0;0;4.66E-05;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;12; ;0;0;0;0;0;0;0.003253454;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;11; ;0.00261751;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;10; ;0;0;0;0;0;5.62E-05;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;9;8; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;22;1; ;0.025395711;0.001941642;0.008242287;0;0.001227745;0;0;0.05070256;0.005811234;0.00329156;;;;
bandwidth blocking probabilities per pair;1;all;22;12; ;0;0;0.0051428;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;13;2; ;0;0;0;0;0;0;0;0;0.009704534;0;;;;
bandwidth blocking probabilities per pair;1;all;18;15; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;21;17; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;14; ;0;0.002299999;0;0.011956942;0;0.013668143;0.004038054;0;0.004558638;0;;;;
bandwidth blocking probabilities per pair;1;all;20;5; ;0;0;0.002155045;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;13; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;9;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;15; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;21;22; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;17;9; ;0;0;0;0.006788211;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;13; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;19;10; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;11; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;13;1; ;0;0;0;0.001114024;0.006743633;0.00255077;0;6.22E-04;0;0;;;;
bandwidth blocking probabilities per pair;1;all;3;18; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;8;5; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;4; ;0;0.004125365;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;8;24; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;15;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;19;6; ;0;0.005671086;0;0;0.033419997;0;0;0;0;0.009571066;;;;
bandwidth blocking probabilities per pair;1;all;16;11; ;0;0;0;0;1.63E-04;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;5; ;0;8.42E-04;0;4.68E-04;0;0;0;0;0.003967192;0;;;;
bandwidth blocking probabilities per pair;1;all;8;22; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;8; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;19;23; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;5;9; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;4;5; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;23;21; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;12; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;1;23; ;0;0;0.004583465;0.003388045;0;0;0;0;0.050779744;0;;;;
bandwidth blocking probabilities per pair;1;all;18;9; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;24;17; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;10;2; ;0.002360675;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;6; ;0.005209088;0.021329389;0;0.004593267;0.008375334;2.35E-06;0;0.005780712;0;0.023297949;;;;
bandwidth blocking probabilities per pair;1;all;14;12; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;8;23; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;14; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;14;9; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;4;23; ;0;0;0;0.007989807;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;7;20; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;9; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;12;17; ;0;0;0.004912911;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;7;1; ;0;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;21;24; ;0;0;0;0;0;0;0;0;0;0;;;;
