Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
blocking probability;1;all;all;all; ;6.84E-04;5.20E-04;8.09E-04;7.70E-04;5.58E-04;6.26E-04;4.91E-04;5.97E-04;4.04E-04;4.91E-04;;5.95E-04;0.000129158;8.00516E-05
blocking probability;2;all;all;all; ;4.04E-04;3.75E-04;3.27E-04;3.66E-04;4.91E-04;3.27E-04;4.24E-04;4.14E-04;4.04E-04;3.47E-04;;3.88E-04;5.0347E-05;3.12048E-05
blocking probability;3;all;all;all; ;3.18E-04;3.37E-04;4.53E-04;3.95E-04;1.44E-04;3.37E-04;3.37E-04;2.89E-04;4.62E-04;3.75E-04;;3.45E-04;9.0068E-05;5.58237E-05
blocking probability;4;all;all;all; ;5.30E-04;2.21E-04;3.85E-04;3.75E-04;4.43E-04;3.27E-04;5.49E-04;3.27E-04;4.43E-04;2.02E-04;;3.80E-04;0.000116004;7.18986E-05
blocking probability;5;all;all;all; ;7.03E-04;6.84E-04;7.03E-04;6.45E-04;8.18E-04;7.51E-04;6.45E-04;7.70E-04;7.32E-04;7.41E-04;;7.19E-04;5.46628E-05;3.38797E-05
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability fragmentation;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability fragmentation;5;all;all;all; ;0;0;9.63E-06;9.63E-06;2.89E-05;0;9.63E-06;0;2.89E-05;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT;1;all;all;all; ;0;0;0;0;0;0;9.63E-06;0;0;0;;;;
blocking probability per QoT;2;all;all;all; ;9.63E-06;0;0;0;0;0;0;0;9.63E-06;1.93E-05;;;;
blocking probability per QoT;3;all;all;all; ;1.93E-05;2.89E-05;2.89E-05;2.89E-05;1.93E-05;2.89E-05;9.63E-06;1.93E-05;2.89E-05;1.93E-05;;;;
blocking probability per QoT;4;all;all;all; ;1.83E-04;8.67E-05;2.12E-04;1.93E-04;1.54E-04;1.25E-04;2.31E-04;1.73E-04;1.83E-04;5.78E-05;;;;
blocking probability per QoT;5;all;all;all; ;4.33E-04;4.62E-04;3.66E-04;4.24E-04;6.07E-04;4.91E-04;4.72E-04;5.68E-04;4.62E-04;5.49E-04;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per QoT for other;1;all;all;all; ;6.84E-04;5.20E-04;8.09E-04;7.70E-04;5.58E-04;6.26E-04;4.81E-04;5.97E-04;4.04E-04;4.91E-04;;;;
blocking probability per QoT for other;2;all;all;all; ;3.95E-04;3.75E-04;3.27E-04;3.66E-04;4.91E-04;3.27E-04;4.24E-04;4.14E-04;3.95E-04;3.27E-04;;;;
blocking probability per QoT for other;3;all;all;all; ;2.98E-04;3.08E-04;4.24E-04;3.66E-04;1.25E-04;3.08E-04;3.27E-04;2.70E-04;4.33E-04;3.56E-04;;;;
blocking probability per QoT for other;4;all;all;all; ;3.47E-04;1.35E-04;1.73E-04;1.83E-04;2.89E-04;2.02E-04;3.18E-04;1.54E-04;2.60E-04;1.44E-04;;;;
blocking probability per QoT for other;5;all;all;all; ;2.70E-04;2.21E-04;3.18E-04;2.12E-04;1.83E-04;2.60E-04;1.64E-04;2.02E-04;2.41E-04;1.93E-04;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per other;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per other;5;all;all;all; ;0;0;9.63E-06;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per lack of transponder;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transponder;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
blocking probability per lack of transmitters;1;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;2;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;3;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;4;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
blocking probability per lack of transmitters;5;all;all;all; ;0;0;0;0;0;0;0;0;0;0;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
