Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;417803.87588014547;419342.15887544805;417062.741103948;418007.286735035;420575.5787221619;417780.48219115066;418975.02360936406;420077.4496712068;418943.7524377344;416231.06601099356
Power Consumption Average;2;all;all;all; ;447934.59319142;448702.3514188967;449252.07983093255;449072.7166767883;446695.83100198535;447290.79842310905;449561.92212971795;445898.6958166097;447820.14577645005;448123.77207166905
Power Consumption Average;3;all;all;all; ;478562.64171648544;478822.34683784953;477668.3253310487;477605.8216221369;477713.03670662723;475877.52898163634;476602.93169559713;478044.22803038807;478347.5548516683;477780.68268721434
Power Consumption Average;4;all;all;all; ;507180.5598226533;508918.13248182804;509054.8476731886;507164.3929260573;510145.4164229756;509109.105994817;508679.9033578841;510425.65379180847;506522.733808574;507465.5908439025
Power Consumption Average;5;all;all;all; ;539467.6564851778;533722.0651970174;538095.1948898056;535892.836943295;533213.3181433224;534596.2045902745;536287.0834287531;535073.039198174;536912.8073487212;537754.1664431033


Energy Efficiency Average;1;all;all;all; ;1.043963976066231E8;1.0464039263688335E8;1.041299565545236E8;1.0464272974388503E8;1.0482468104044168E8;1.0478288726381078E8;1.0524332754953986E8;1.0494484446385257E8;1.0460026561851777E8;1.0414673621859336E8
Energy Efficiency Average;2;all;all;all; ;1.1003674956312202E8;1.1059103733693719E8;1.1018822330490279E8;1.106776634192821E8;1.1005229165154667E8;1.1023335779146045E8;1.1010444408373062E8;1.0962770079817586E8;1.100717818581046E8;1.1057470382872868E8
Energy Efficiency Average;3;all;all;all; ;1.1499406021905531E8;1.1540935988984795E8;1.1481545350612667E8;1.1515371360915917E8;1.1484344567108215E8;1.1412367630464575E8;1.1423984541911024E8;1.1532925300222786E8;1.1537861350498737E8;1.1445984138852523E8
Energy Efficiency Average;4;all;all;all; ;1.1850626200941652E8;1.1950634035936002E8;1.1927089710806908E8;1.187344212870678E8;1.1930889826488413E8;1.197931769959021E8;1.199350109767746E8;1.19518125450979E8;1.1858419727901232E8;1.1871211150618485E8
Energy Efficiency Average;5;all;all;all; ;1.2275038500587179E8;1.22359524333144E8;1.2333129134097226E8;1.22700398912629E8;1.2241871305749105E8;1.2280489516686487E8;1.2228974712944928E8;1.2166961284776129E8;1.2288720143633668E8;1.2269092816186063E8


Energy Efficiency Geral;1;all;all;all; ;1.8688496704222122E8;1.872391352434066E8;1.8687385057696864E8;1.868988274471239E8;1.8698972875833338E8;1.8705249118014008E8;1.870636755066084E8;1.8686703723823902E8;1.868979527755359E8;1.8643324139201236E8
Energy Efficiency Geral;2;all;all;all; ;1.868972227511409E8;1.870913217960572E8;1.866654555130206E8;1.870768595311905E8;1.8696681014046532E8;1.8695606340833348E8;1.870081423751422E8;1.8697122307125834E8;1.870120583541125E8;1.869848632172721E8
Energy Efficiency Geral;3;all;all;all; ;1.869923527575879E8;1.8698907352181846E8;1.8671064661685142E8;1.8711954761542925E8;1.8711049121396875E8;1.8687437374157906E8;1.8692187421597213E8;1.8713430030754232E8;1.869125318937516E8;1.8700255011840782E8
Energy Efficiency Geral;4;all;all;all; ;1.8675570378967202E8;1.8692615588011408E8;1.8706527161445647E8;1.8677340812902132E8;1.8674818541637233E8;1.871109749764474E8;1.8712967983201498E8;1.8698533355147874E8;1.869791362602983E8;1.8696291601820776E8
Energy Efficiency Geral;5;all;all;all; ;1.872730651893848E8;1.8642118976953512E8;1.871355344589332E8;1.8694569353813288E8;1.8677242258557764E8;1.8692064894784546E8;1.8674247177242208E8;1.8684277392758724E8;1.869792465720219E8;1.8687507067234978E8


Energy Efficiency Established;1;all;all;all; ;1.5839141825424105E8;1.5849306324201882E8;1.5824727414136183E8;1.5835329003908098E8;1.5834291321084598E8;1.5850137096557888E8;1.5846726594624493E8;1.5829842091829634E8;1.5814587521358627E8;1.5790673082919535E8
Energy Efficiency Established;2;all;all;all; ;1.5835674281075448E8;1.5857859795112982E8;1.581507865411657E8;1.5848164458747658E8;1.5840427936370635E8;1.5849791382492024E8;1.5840170360342646E8;1.5847904148865348E8;1.5846592916356015E8;1.5837179997644424E8
