Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.5005106366579313;0.49944609812251345;0.5006504206053248;0.498328242583082;0.49606473676605173;0.5001734137459296;0.496869340731322;0.5007080856639146;0.49709596324443034;0.49953762570801064
Percentage of cicuits by modulation;1;16QAM;all; ;0.10500809310929551;0.10501016289531737;0.10460690505786334;0.10637580335893161;0.1071528346418766;0.1054066552342049;0.10620159519130737;0.10535543973564802;0.10559520713535797;0.10452548838284591
Percentage of cicuits by modulation;1;32QAM;all; ;0.00876753507014028;0.00850600622296718;0.008363927191435647;0.008662305001782566;0.00880497085882183;0.008237152931655715;0.00917042345778908;0.008737873430891803;0.008899933539457335;0.008332370053558356
Percentage of cicuits by modulation;1;BPSK;all; ;0.17675736087559735;0.17872246144361278;0.1771456653080103;0.1776784251756068;0.17894128413852897;0.17732518931000596;0.17741686895541942;0.17605803412298532;0.18056077286868746;0.17913150695487998
Percentage of cicuits by modulation;1;64QAM;all; ;0.002360490211191614;0.002697261316456184;0.0027943996376916334;0.0024763207847142595;0.0024565290689273155;0.0026397425769282643;0.002697183369937965;0.002379553183495342;0.0026198938557709904;0.0028609409316841983
Percentage of cicuits by modulation;1;8QAM;all; ;0.206595884075844;0.20561800999913302;0.20643868219967432;0.20647890309588277;0.20657964452579355;0.20621784620127556;0.20764458829422416;0.2067610138630649;0.20522822935629592;0.20561206796902093
Percentage of cicuits by modulation;2;QPSK;all; ;0.49760645726779745;0.49653259361997226;0.4933689046412852;0.49488080905369614;0.4949235155858668;0.4963834766779994;0.49360906963079976;0.49890194567520707;0.49623871856368174;0.49468827954193034
Percentage of cicuits by modulation;2;16QAM;all; ;0.10693404995135859;0.10880913854214826;0.10722437854549308;0.10666024560558632;0.10718414056178477;0.10710880389871809;0.10689758136757241;0.10603929878636101;0.1067703065853729;0.10633072322228322
Percentage of cicuits by modulation;2;32QAM;all; ;0.008668766434536365;0.009063415010016953;0.009255602962563446;0.008841801107633036;0.008775478750048164;0.00873551705207601;0.008562979801385102;0.008110190714698517;0.007994529045183538;0.008302272048696388
Percentage of cicuits by modulation;2;BPSK;all; ;0.1784032132227584;0.17656803821852365;0.18034460507180075;0.17934986756561522;0.17792740723615766;0.17830278631210933;0.1818356948150146;0.17693122712386825;0.1792893537916221;0.1815231105589105
Percentage of cicuits by modulation;2;64QAM;all; ;0.0025717340422457885;0.002677608260132532;0.0026678480963892555;0.0024271610883698533;0.0025237930104419527;0.002590798331872598;0.002494726398828731;0.002542862646888846;0.0025813660049508287;0.0028220019840696545
Percentage of cicuits by modulation;2;8QAM;all; ;0.20581577908130338;0.20634920634920634;0.20713866068246828;0.20784011557909945;0.20866566485570068;0.20687861772722457;0.2065999479863994;0.2074744750529763;0.20712572600918888;0.2063336126441099
Percentage of cicuits by modulation;3;QPSK;all; ;0.4944621015120871;0.49414416149786183;0.4924385451182862;0.4947506308874805;0.49289345967182807;0.49354702007165696;0.493710752398197;0.4939373802163089;0.49373404613976785;0.4966867005701957
