Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.013280919310973744;0.013297060860823367;0.013159976475440816;0.013185441866390287;0.013275587005808128;0.013312789428408354;0.013290595590075054;0.013255389839052596;0.013341689236060826;0.013305766501523719
Relative Fragmentation per spectrum size (c);1;all;3; ;0.02761656005215648;0.02761154205669308;0.02756577479367843;0.02768843508718438;0.027858692614076478;0.027530135818635657;0.02756591950726532;0.027880032961838254;0.02779611368968261;0.02740772023373315
Relative Fragmentation per spectrum size (c);1;all;5; ;0.05247492421132735;0.052709530030871955;0.05243017917859758;0.05242278456684919;0.05287472711729029;0.05205191178052369;0.052527288494472545;0.05273070544058721;0.05276000020749683;0.05215309842245844
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.015385708752010696;0.01527015796005444;0.01559369747510294;0.015446534468780406;0.015313988595547579;0.015353680546082582;0.015549588983302453;0.015245662382324414;0.015278067137319239;0.015399291593146276
Relative Fragmentation per spectrum size (c);2;all;3; ;0.03188805130478122;0.03173528278412778;0.03231604535270623;0.03207590657521815;0.031709335839078936;0.03186051533378524;0.03222002857846559;0.03147375337088327;0.03180181571170654;0.03196683898890961
Relative Fragmentation per spectrum size (c);2;all;5; ;0.06042836750140162;0.060502813508859846;0.061073645116452274;0.06079816753890928;0.06006129174063108;0.06011003020452222;0.06128384201260401;0.05964414894458652;0.0602267250490577;0.06078294019816096
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.01784363106025671;0.017649967417345272;0.017726132361883848;0.01772108122910951;0.017562959935840956;0.017361390143017463;0.0175276204014528;0.01759107568517952;0.01770381230808407;0.017605578459935614
Relative Fragmentation per spectrum size (c);3;all;3; ;0.03692731762259898;0.036627356130641595;0.03684682106763428;0.036900062636290504;0.036375937474695114;0.03627861033442935;0.03643780527107008;0.03640568172793373;0.036508511572937774;0.03657974109431715
Relative Fragmentation per spectrum size (c);3;all;5; ;0.06955345198708718;0.06905317598187653;0.06975932581067348;0.0695562486160683;0.06873874552944723;0.06870653755448301;0.06907324446712969;0.0689961333977046;0.06925685529436539;0.06930803053380596
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.020210128840035126;0.020493916588600527;0.020209358507767804;0.02024251835403486;0.02049507104309676;0.02025719103293638;0.02011197715096959;0.02079290202789681;0.020051845024486287;0.020040410541943228
Relative Fragmentation per spectrum size (c);4;all;3; ;0.04179779902789503;0.042349727522643654;0.04218651882234523;0.04151723155475659;0.04249824013716068;0.04180188038764611;0.041793423471402205;0.04255464151899098;0.041701172514645495;0.0413383310445749
Relative Fragmentation per spectrum size (c);4;all;5; ;0.07898055225516981;0.08004566832898186;0.08001708105686639;0.07848522565888921;0.08031922199814709;0.07896721775310911;0.07902774741679663;0.08017098498927262;0.0783770494997007;0.07816275487387708
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.023150350301564614;0.022805507485877525;0.023007460488600664;0.022721844925777574;0.02270647253256951;0.022897524304649513;0.022916674699013734;0.023028565515918656;0.022732596548280998;0.02299324464691551
Relative Fragmentation per spectrum size (c);5;all;3; ;0.04763192709893601;0.04711585405067531;0.047338148157215876;0.046906919654617886;0.04695896016124379;0.04697556151749395;0.04720341478028999;0.04751078624134321;0.04714527992583107;0.047276189775555595
Relative Fragmentation per spectrum size (c);5;all;5; ;0.08953941852713201;0.0885323976167566;0.08912695561670755;0.08817077191583432;0.08816994104860182;0.08870972799594418;0.08878703431332216;0.08948975472064857;0.08850792398519586;0.08915677295282522


