Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Power Consumption Average;1;all;all;all; ;419181.5129745819;419199.98723857594;420470.99626353796;419983.0456141381;420960.72682860884;419241.6046840518;421135.8533755079;419646.317859292;418698.38324236026;418206.59947874566
Power Consumption Average;2;all;all;all; ;449629.2237485864;449345.5975302005;448497.1580023749;449825.6156723734;447147.68969258154;450955.58936097997;448981.304190133;446776.10172091244;449157.3173210864;448623.5668549919
Power Consumption Average;3;all;all;all; ;477586.48727745994;477955.7797005656;478926.07600705465;480487.44409501564;474925.4618630326;477771.04320112977;477978.4897967605;480214.1718019;477597.1656543653;476089.9760403692
Power Consumption Average;4;all;all;all; ;508904.56082474743;508543.2282420105;509713.01048264204;507689.1880194162;508492.0985172688;507948.1184521711;506912.34350596083;508040.9773935006;507406.0384283099;508113.5641027134
Power Consumption Average;5;all;all;all; ;536051.2732218246;537477.5099646666;537305.2507693704;536770.8041318;534699.7859087444;537020.5072534105;535593.2018599543;536486.4762377392;535761.8222774252;537201.6877781211


Energy Efficiency Average;1;all;all;all; ;1.0436643398896703E8;1.051859984887412E8;1.0433695634275307E8;1.0470698586310524E8;1.0547068551088257E8;1.0430983802140778E8;1.0507782902663893E8;1.0503350559602404E8;1.0501185179770723E8;1.042769515010237E8
Energy Efficiency Average;2;all;all;all; ;1.1032895457786629E8;1.0990441840369403E8;1.1008286597042482E8;1.1106328496763647E8;1.102098855443248E8;1.1061153945773666E8;1.1038865437963916E8;1.0985097451537456E8;1.1055332728018273E8;1.102471964657434E8
Energy Efficiency Average;3;all;all;all; ;1.145568014058409E8;1.1511325749927147E8;1.1498523357238838E8;1.1525594871910626E8;1.1463284568920417E8;1.1527534852367774E8;1.1497494629315795E8;1.1550464320787211E8;1.1492682216646124E8;1.1452197798732941E8
Energy Efficiency Average;4;all;all;all; ;1.1921017803877102E8;1.1910074188307501E8;1.193409371506981E8;1.1923068827913484E8;1.1909151111005394E8;1.1913188185372068E8;1.1916343976124994E8;1.1906060706801791E8;1.19576507557671E8;1.1903551648723295E8
Energy Efficiency Average;5;all;all;all; ;1.2229125214810902E8;1.2276806137684938E8;1.2295716926214293E8;1.2306655021270181E8;1.2290298657945628E8;1.2284974015495868E8;1.2229965897390117E8;1.2300644474871138E8;1.2248977807995306E8;1.2288255339722316E8


Energy Efficiency Geral;1;all;all;all; ;1.870517504596386E8;1.8676798401154938E8;1.870933437709386E8;1.8711406086046797E8;1.8720473457491973E8;1.8683046866019976E8;1.870715218650141E8;1.8713377922913638E8;1.869112241525603E8;1.8682775173005244E8
Energy Efficiency Geral;2;all;all;all; ;1.867651856899249E8;1.8689656674622002E8;1.867751436329211E8;1.867657792541048E8;1.87029845668852E8;1.8702502591064325E8;1.8668365250013757E8;1.8697035972483337E8;1.8702027284613013E8;1.8700956013384005E8
Energy Efficiency Geral;3;all;all;all; ;1.8664799611966372E8;1.8698142581728584E8;1.8678246207204455E8;1.8713820127575454E8;1.8735540457594538E8;1.8714080377736846E8;1.869992858189846E8;1.8690624597612742E8;1.8697124462094936E8;1.8680728603719833E8
Energy Efficiency Geral;4;all;all;all; ;1.868687648781891E8;1.8721634127987254E8;1.871529973360671E8;1.8735679334627706E8;1.8703429260926592E8;1.868258499920753E8;1.8675457618655857E8;1.8703285193396267E8;1.8672067254428318E8;1.8705550757100454E8
Energy Efficiency Geral;5;all;all;all; ;1.8679645970664695E8;1.8694644617597055E8;1.8727336787489176E8;1.8695218243589616E8;1.8703213972010934E8;1.868355432911706E8;1.8686909866894168E8;1.8675894860648224E8;1.869975536978964E8;1.8717743045041484E8


Energy Efficiency Established;1;all;all;all; ;1.5846680080653504E8;1.581846977188584E8;1.5843431783295667E8;1.5836303116192153E8;1.584959303566377E8;1.5829145586383376E8;1.584998872654626E8;1.5867381139073607E8;1.5832661079183903E8;1.5814823266807917E8
Energy Efficiency Established;2;all;all;all; ;1.582218419971773E8;1.5831142636463404E8;1.581977747604009E8;1.5821728771559587E8;1.5843776289839804E8;1.5839125161494556E8;1.5815976535935658E8;1.5839891913882747E8;1.5846927562911612E8;1.5843340618468353E8
Energy Efficiency Established;3;all;all;all; ;1.582092724707935E8;1.5855406389018685E8;1.5823911078141072E8;1.5863713965879422E8;1.5872218425785974E8;1.586582776478741E8;1.582734349916621E8;1.583586143445814E8;1.585107332260132E8;1.5827730432396626E8
Energy Efficiency Established;4;all;all;all; ;1.583571087111744E8;1.5872375899309316E8;1.586031609887303E8;1.588005183725182E8;1.5836155890186346E8;1.5834282681043917E8;1.581354868840295E8;1.584549557291422E8;1.5837711018263084E8;1.5844201651807368E8
Energy Efficiency Established;5;all;all;all; ;1.5823084933443424E8;1.5852768250710452E8;1.587059861193652E8;1.5841963793754464E8;1.5829230463525742E8;1.5837068079315025E8;1.5834471760823798E8;1.5827429531791928E8;1.5847801057783055E8;1.5868545916737047E8


