Metrics;LoadPoint;Modulation;Bandwidth; ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Percentage of cicuits by modulation;1;QPSK;all; ;0.49849320739820724;0.4976459374368158;0.4953159450429893;0.49756891289487115;0.4990805195305354;0.4994223103733801;0.4946130960977441;0.49819473729817165;0.4971452779141754;0.5007702528354933
Percentage of cicuits by modulation;1;16QAM;all; ;0.10470523670604547;0.10407941230274496;0.10701597296438578;0.10457044375764228;0.10561990314163851;0.10482178275018775;0.10641903276431453;0.10660196605143314;0.10658270991594697;0.10530319077237103
Percentage of cicuits by modulation;1;32QAM;all; ;0.008771169713950108;0.00887707845912404;0.009242945033361255;0.008713401307491599;0.008482327681657569;0.00881939496639772;0.008636376765546922;0.009117780152701154;0.008905962662353292;0.008636459917968072
Percentage of cicuits by modulation;1;BPSK;all; ;0.17782078314703023;0.18054552631832319;0.17865842504067858;0.18111358231516517;0.17899540741168654;0.17736997169320828;0.18053589825058008;0.17575074858226702;0.17857177243099082;0.17790914867805357
Percentage of cicuits by modulation;1;64QAM;all; ;0.002628462493862107;0.002782511577751461;0.002628462493862107;0.0027439993067791225;0.00240701693577116;0.0024455527526910706;0.0028787922551823074;0.0027921396454945457;0.0026958589680636993;0.002628487801120718
Percentage of cicuits by modulation;1;8QAM;all; ;0.20758114054090485;0.20606953390524055;0.20713824942472295;0.2052896604180507;0.2054148252987108;0.2071209874641351;0.206916803866632;0.2075426282699325;0.20609841810846982;0.20475245999499336
Percentage of cicuits by modulation;2;QPSK;all; ;0.49743411994646797;0.4992827089531402;0.4957684642269143;0.4953448292462186;0.4962883798850409;0.4952100362978154;0.49493558760663187;0.4953255731107324;0.49494045040100904;0.49661573418830574
Percentage of cicuits by modulation;2;16QAM;all; ;0.10630349595139751;0.10532143304160288;0.10739146760636607;0.1075647728257416;0.10585097676747253;0.10583172063198637;0.10738287342820281;0.10595688551264647;0.10667899059337782;0.10627461174816825
Percentage of cicuits by modulation;2;32QAM;all; ;0.008992615272041054;0.008482327681657569;0.008915590730096377;0.00856898029134533;0.008905962662353292;0.009396994117250609;0.008800138645510389;0.008626748697803837;0.008934846865582546;0.008886706526867122
Percentage of cicuits by modulation;2;BPSK;all; ;0.17817702165352436;0.17812888131480892;0.17898577934394347;0.18029519655700296;0.17946718273109769;0.17958271954401472;0.17890084920375113;0.17912057229234665;0.17975602476339023;0.17641508525653987
Percentage of cicuits by modulation;2;64QAM;all; ;0.0023396204615695674;0.0027632554422652917;0.0027632554422652917;0.00240701693577116;0.002541809884174345;0.002464785342229668;0.0023781556295854114;0.002657346697091361;0.0025803221551466836;0.0024262730712573295
Percentage of cicuits by modulation;2;8QAM;all; ;0.20675312671499957;0.20602139356652513;0.2061754426504145;0.20581920414392035;0.20694568806986127;0.20751374406670325;0.2076023954863184;0.20831287368937929;0.2071093652214937;0.20938158920886168
Percentage of cicuits by modulation;3;QPSK;all; ;0.4908292654747119;0.49141657760704005;0.4946901206396888;0.4932844227491985;0.4969142042883414;0.49387173488152664;0.49204240201034055;0.4950367310784399;0.49146471794575547;0.493664670428068
Percentage of cicuits by modulation;3;16QAM;all; ;0.10730481499667832;0.10804617621289583;0.10665973445789165;0.10834464631293146;0.10762254123220011;0.10744923601282459;0.10790175519674956;0.10587986097070179;0.10824836563550061;0.10764283376018179
Percentage of cicuits by modulation;3;32QAM;all; ;0.00962806774308464;0.008463071546171399;0.008674889036519261;0.008982987204297969;0.008732657442977769;0.008992615272041054;0.008434187342942144;0.0090888959494719;0.009011871407527223;0.009300802988581002
