Metrics;LoadPoint;link;spectrum size (c); ;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10
Relative Fragmentation per spectrum size (c);1;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);1;all;2; ;0.013480762404110589;0.01346265153468704;0.013456536384058195;0.013500855245774556;0.013592604185368997;0.013455892669229067;0.013469452586282862;0.013377312335124675;0.013407299096907336;0.013524255934844494
Relative Fragmentation per spectrum size (c);1;all;3; ;0.02790047626816784;0.02793956791611358;0.0279829212538901;0.028079114345157807;0.02813859497005867;0.027824433090075585;0.028185525808250927;0.02770840530155186;0.027890926747928212;0.027928316465911866
Relative Fragmentation per spectrum size (c);1;all;5; ;0.05310827924049307;0.053063854306186944;0.05317955224148313;0.05334658535091885;0.053597966015884534;0.05281829737125374;0.05364217378415483;0.05279935554508435;0.05294021673275181;0.053110890333345734
Relative Fragmentation per spectrum size (c);2;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);2;all;2; ;0.015610590489400323;0.015700147792392618;0.015588496435619957;0.015757999937528373;0.01536002701983345;0.01568578214029471;0.015588981971509307;0.015285601158988379;0.015535793735155103;0.015628255474908464
Relative Fragmentation per spectrum size (c);2;all;3; ;0.03246071512162032;0.032540531564507626;0.03225881042564513;0.032547068744267604;0.03199800437321072;0.03246989074805259;0.0324693162539134;0.031829182319739045;0.0322757720034845;0.032349488844343695
Relative Fragmentation per spectrum size (c);2;all;5; ;0.06145810295026006;0.06162902583234859;0.06129691115500618;0.06187992300975814;0.06074505165792635;0.061750118979307156;0.061310074297606515;0.06053139921744062;0.061308099416951645;0.0612756118475434
Relative Fragmentation per spectrum size (c);3;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);3;all;2; ;0.017845792722918075;0.017431513462635728;0.018000606304978725;0.018111953824825847;0.017662463268646504;0.01800854418329842;0.01792868034887088;0.018161062564565646;0.017700199975464747;0.017680570191724344
Relative Fragmentation per spectrum size (c);3;all;3; ;0.03674481236654891;0.03652992921325293;0.03713001631204917;0.03717904855529766;0.03630912065134074;0.036649679952789144;0.037276377883888115;0.037496411869918866;0.036725936564732775;0.036816429411297195
Relative Fragmentation per spectrum size (c);3;all;5; ;0.0695488677599105;0.06934924799187399;0.07021729320069243;0.0704772367701336;0.06880104634898829;0.06913542742331698;0.07044212703849094;0.07120136827625681;0.06946801637738151;0.06930456594445884
Relative Fragmentation per spectrum size (c);4;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);4;all;2; ;0.02054438833095363;0.020609819259672056;0.020653826247065528;0.020074506373577744;0.02038650395315221;0.02040307410452781;0.020486876361743504;0.02031047719230118;0.020375324859318172;0.02048449919601713
Relative Fragmentation per spectrum size (c);4;all;3; ;0.04227783861590616;0.04232095243388245;0.04271104137041236;0.04198094164973181;0.04259649860238229;0.04205240612248631;0.042397716313992265;0.04223644581932137;0.04173863279107575;0.04270249753590971
Relative Fragmentation per spectrum size (c);4;all;5; ;0.07988246824299154;0.07968204039134985;0.08045775283574629;0.07933543702194687;0.07999261739817111;0.07976015990675768;0.07982621839180928;0.07954526429159087;0.07895359091264886;0.08050762313488392
Relative Fragmentation per spectrum size (c);5;all;1; ;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Relative Fragmentation per spectrum size (c);5;all;2; ;0.023525978999705478;0.023169669616520016;0.023111531094730443;0.023297328379856447;0.02311198028540079;0.02325657320838452;0.02321206448799024;0.0232214031306842;0.02319508263271535;0.023159588355806646
Relative Fragmentation per spectrum size (c);5;all;3; ;0.04796788849392364;0.04786236942843058;0.047753107458174265;0.047947565650287405;0.047813976346183146;0.04784333937589337;0.047731302248304366;0.04796607034756373;0.04762622564651167;0.047727444054784164
Relative Fragmentation per spectrum size (c);5;all;5; ;0.09030814435058995;0.090132487300126;0.0899227927674162;0.09003966298035457;0.09001307056565001;0.09029026160449705;0.08991145780884673;0.09009629182972527;0.08973238213094009;0.0901951788663135


