Metrics;LoadPoint;Bandwidth;src;dest;;rep1;rep2;rep3;rep4;rep5;rep6;rep7;rep8;rep9;rep10;;;;
bandwidth blocking probability;1;all;all;all; ;0.01122768;0.01077898;0.015465677;0.013669672;0.012550482;0.015373856;0.011677624;0.011836365;0.01284103;0.010298831;;0.01257202;0.001796044;0.001113179
bandwidth blocking probability;2;all;all;all; ;0.012742282;0.008924076;0.009756526;0.012320761;0.009311497;0.010704137;0.010146634;0.009745445;0.010872417;0.010582501;;0.010510628;0.001232527;0.000763914
bandwidth blocking probability;3;all;all;all; ;0.009290312;0.008979146;0.010042649;0.009540754;0.009859216;0.009861652;0.008454148;0.01285807;0.006622888;0.008671825;;0.009418066;0.001568374;0.00097207
bandwidth blocking probability;4;all;all;all; ;0.008860964;0.008498455;0.008538873;0.010491516;0.006691892;0.00893467;0.009780072;0.010096751;0.010025785;0.008988588;;0.009090757;0.001096517;0.000679616
bandwidth blocking probability;5;all;all;all; ;0.013090348;0.009532488;0.01355282;0.011177802;0.011943123;0.014233256;0.010888917;0.015606189;0.01104677;0.010746748;;0.012181846;0.001878034;0.001163996
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
bandwidth blocking probabilities per pair;1;all;2;6; ;0.004609792;0.016878912;0;0.018166854;0.046383844;0.012918379;0;0;0.002994129;7.93E-04;;;;
bandwidth blocking probabilities per pair;1;all;1;19; ;0.025849552;0.021303009;0.170067172;0.122554805;0.063630644;0.038572968;0.139408682;0.023517754;0.044705158;0.113977504;;;;
bandwidth blocking probabilities per pair;1;all;1;6; ;0.021055684;0.009141952;0;0.029147113;0.01280079;0.017530386;0.014040723;0;0;0.002488813;;;;
bandwidth blocking probabilities per pair;1;all;24;4; ;0.001010895;0.004099597;3.53E-05;4.12E-04;0.00387061;0.029961224;0;0.006674903;0.012922986;0.011550676;;;;
bandwidth blocking probabilities per pair;1;all;11;18; ;0;0.015354211;0.060546858;0.010371141;0.024837498;0.03383556;0.003204122;0.007810167;0.005842023;0.034544666;;;;
bandwidth blocking probabilities per pair;1;all;5;10; ;0.007778421;0;0.043612322;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;11;10; ;0.001584278;0;0.002383489;0.012260928;0.013379718;0.003118106;0.008263033;9.03E-04;4.76E-04;0;;;;
bandwidth blocking probabilities per pair;1;all;13;17; ;0;0;0;0.005048915;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;16;8; ;0;0;0.011727913;0.003769495;0;0.002014334;0;0;0.012143858;0.013881287;;;;
bandwidth blocking probabilities per pair;1;all;22;21; ;0.001071646;0;0.006083394;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;22;23; ;8.87E-04;0;0;0;0;0;0;0;0;0;;;;
bandwidth blocking probabilities per pair;1;all;6;12; ;0.007678488;0.037539624;0.022135338;0.077739383;0.016388433;0.022024626;0.05006214;0.003729707;0.00769208;0.01257167;;;;
bandwidth blocking probabilities per pair;1;all;16;12; ;0.003134315;0;0.019384816;0.043430713;0;0.014460237;0.022408258;0;0.017934155;0;;;;
bandwidth blocking probabilities per pair;1;all;24;11; ;0.002089775;0.008456217;0.013893893;0.010223786;0.006488623;0.032930297;0.007215119;0.081814758;0.009002119;0;;;;
bandwidth blocking probabilities per pair;1;all;12;10; ;5.51E-04;0;0.022932152;2.31E-04;0.008467949;0.006403525;0;0;0;0.006189489;;;;
